New Listing 1988,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Associated Property Dev.,,,,,1988-02-23 00:00:00
2) CT Land Development Ltd,,,,,1988-03-22 00:00:00
3) Ceylinco Insurance,,,,,1988-04-21 00:00:00
4) Ceylinco Housing & Real Estate Co. Ltd,,,,,1988-04-29 00:00:00
5) Union Assurance Ltd,,,,,1988-07-27 00:00:00
6) Union Carbide Lanka Ltd,,,,,1988-08-01 00:00:00
7) CTC Eagle Insurance Co. Ltd,,,,,1988-12-13 00:00:00
8) On'ally Holdings Ltd,,,,,1988-10-20 00:00:00
Value (Rs.),,,,,
Issues (No.),8,,,,
New Listing 1988 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
1) Banks Finance & Insurance,3,,,,
2) Chemicals & Pharmaceuticals,1,,,,
3) Land & Property,4,,,,
Total,8,,,,
