New Listing 1996,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Kegale Plantations Ltd ,4000000,10,766700,3233300,1996-01-08 00:00:00
2) Kelani Valley Plantations Ltd ,4000000,10,796100,3203900,1996-01-18 00:00:00
3) Capital Development & Inves. Co.  Ltd,10000000,40,280400,9719600,1996-01-22 00:00:00
4) Agalawatte Plantations Ltd,4000000,10,36600,3963400,1996-01-22 00:00:00
5) Horana Plantation Ltd,4000000,10,67800,3932200,1996-02-12 00:00:00
6) Connaissance de Ceylan Ltd,8300000,40,176800,5162700,1996-03-11 00:00:00
7) Tea Smallholder Factories Ltd,5850000,12,11165400,Nil,1996-08-01 00:00:00
8) Associated Hotels Co. Ltd,1040760,25,1048300,Nil,1996-09-25 00:00:00
9) Lanka Lubricants Ltd,11700000,50,2048200,9651800,1996-10-14 00:00:00
Value (Rs.),1573219000,,,,
Issues (No.),9,,,,
Exchange Approved Private Placements,,,,,
Company,No of Shares,Issue Price,No of Shares ,Approved Date,
,Offered ,(Rs.),Subscribed,,
7) Aitken Spence & Co. Ltd,1553077,188,1552691,1996-04-10 00:00:00,
Value (Rs.),291978476,,,,
Issues (No.),1,,,,
New Listing 1996 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
"1) Banks, Finance & Insurance",1,10000000,400000000,,
"2) Beverage, Food & Tobacco",1,5850000,70200000,,
3)  Hotels & Travels,2,9340760,358019000,,
4) Manufacturing ,1,11700000,585000000,,
5) Plantation,4,16000000,160000000,,
6) Diversified,1,1553077,291978476,,
Total,10,54443837,1865197476,,
