New Listing 2002,,,,,,
Equity (Initial Public Offers - IPO),,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Total Indexed,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,,
1) E-Channeling Ltd,6666667,15,3118400,Nil,10468407,2002-05-21 00:00:00
2) Touchwood Investment Ltd,800000,10,800000,Nil,2227200,2002-05-28 00:00:00
3) Tess Agro Ltd,2500000,10,2500000,Nil,9500000,2002-12-31 00:00:00
Value (Rs.) ,"Rs.79,776,000",,,,,
Issues (No.),3,,,,,
Equity (by way of Introduction),,,,,,
Company,No of Shares,Par value,Date Listed,,,
,Indexed,(Rs.),,,,
1) Lakdhanavi Ltd,12500007,15,2002-01-10 00:00:00,,,
2) Asha Central Hospitals Ltd,22333957,10,2002-02-21 00:00:00,,,
3) NDB Bank Ltd,61812507,10,2002-07-04 00:00:00,,,
4) Infrastructure Developers Ltd,4857487,10,2002-08-23 00:00:00,,,
New Listing 2002 by Sector,,,,,,
Equity,,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,,
"1) Banks, Finance & Insurance",1, (by the way of Introduction),,,,
2) Health Care,1, (by the way of Introduction),,,,
3) Information Technology,1,3118400,46776000,,,
4) Land & Property,2,800000,8000000,,,
5) Power & Energy,1, (by the way of Introduction),,,,
6) Trading,1,2500000,25000000,,,
,, (by the way of Introduction),,,,
Total,4,6418400,79776000,,,
De-Listings 2002,,,,,,
Company,Date of De-Listing,,,,,
Collettes Ltd,2002-01-24 00:00:00,,,,,
Mikechris Industries Ltd,2002-03-14 00:00:00,,,,,
Korea Ceylon Footwear Manufacturing Company Ltd,2002-07-24 00:00:00,,,,,
Kandy Textile Industries Ltd,2002-07-24 00:00:00,,,,,
Hayleys Photoprint Ltd,2002-08-21 00:00:00,,,,,
Haytech Marketing Ltd,2002-08-28 00:00:00,,,,,
Reckitt Benckiser (Lanka) Ltd,2002-10-16 00:00:00,,,,,
Coca-Cola Beverages (Sri Lanka) Ltd,2002-11-08 00:00:00,,,,,
Ocean View Ltd,2002-12-27 00:00:00,,,,,
