New Listing 2003,,,,,,
Equity - Initial Public Offers (IPO),,,,,,
Company (Offer for Subscription),No of Shares,Issue Price,No of Shares ,No of Shares ,Total Indexed,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,,
The Lanka Hospitals Corp. Ltd.,20554967,15,20554967,-,156612518,2003-01-10 00:00:00
Ceylon Leather Products Ltd.,2500000,10,2500000,-,12500000,2003-09-08 00:00:00
Ceylon Hospitals Ltd.,4500000,25,4500000,-,19500000,2003-11-14 00:00:00
,(Voting),,,,,
Hemas Holdings Ltd.,12000000,50,12000000,-,78000000,2003-10-15 00:00:00
Company  (Offer For Sale),No of Shares,Issue Price,No of Shares ,No of Shares ,Total Indexed,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,,
Sri Lanka Telecom Ltd.,"216,583,200 with an Over Subscription Option of 54,145,800 shares",15,216583200,-,1804860000,2003-01-14 00:00:00
HNB Assurance Ltd.,10000000,12,10000000,-,25000000,2003-11-28 00:00:00
Equity - Introductions,,,,,,
Company,No of Shares,Par value,Date Listed,,,
,Indexed,(Rs.),,,,
Land & Building Ltd.,2120479,10/-,2003-03-05 00:00:00,,,
Hayleys-Mgt Knitting Mills Ltd.,24588746,10/-,2003-04-23 00:00:00,,,
Housing Development Finance Corporation Bank of Sri Lanka,4122500,10/-,2003-11-12 00:00:00,,,
New Listing 2003 by Sector,,,,,,
Equity,,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,,
Bank Finance & Insurance,2,10000000,125000000,,,
Diversified Holdings,1,12000000,600000000,,,
Footwear & Textiles,2,2500000,25000000,,,
Health Care,2,25054967,420824505,,,
Land & Property,1,,,,,
Telecom,1,216583200,3248748000,,,
Total,9,272513167,4419272505,,,
De-Listings 2003,,,,,,
Company,Date of De-Listing,,,,,
Ceylon Strategic Holdings Ltd,2003-08-28 00:00:00,,,,,
