New Listings 2004,,,,,,
Equity - Initial Public Offers - (IPO),,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Total Indexed,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,,
1) Nawaloka Hospitals Limited,15000000,20/-,15000000,-,45000000,2004-09-09 00:00:00
2) Lanka IOC Ltd.,"100,000,000 with an option of issuing a further 33,333,333",27/-,132529900,-,532529905,2004-12-22 00:00:00
Equity (by way of Introduction),,,,,,
Voting,,,,,,
Company,No of Shares,Par value,Date Listed,,,
,Indexed,(Rs.),,,,
1) Crescat Developments Ltd.,101442503,10/-,2004-01-30 00:00:00,,,
(name changed to Asian Hotels & Properties Ltd. subsequently),,,,,,
2) John Keells Hotels Ltd.,12600000,10/-,2004-09-17 00:00:00,,,
3) Asiri Medical Services Ltd.,35230498,10/-,2004-11-12 00:00:00,,,
Non-voting,,,,,,
Company,No of Shares,Par value,Date Listed,,,
,Indexed,(Rs.),,,,
1) J L Morison Son & Jones (Ceylon) Ltd.,174249,10/-,2004-08-11 00:00:00,,,
New Listings 2004 by Sector,,,,,,
Equity,,,,,,
Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,
1) Healthcare,2,50230498,300000000,,,
2) Hotels & Travels,2,114042503,(by way of Introduction),,,
3) Power & Energy,1,133333333,3578307300,,,
Total,5,297606334,3878307300,,,
De-Listings 2004,,,,,,
Company,Date of De-Listing,,,,,
Asian Hotels Corporation Ltd.,2004-02-10 00:00:00,,,,,
Metalix Engineering Co. Ltd.,2004-03-26 00:00:00,,,,,
Pugoda Textile Mills Ltd.,2004-03-26 00:00:00,,,,,
Veyangoda Textile Mills Ltd.,2004-03-26 00:00:00,,,,,
Metal Recyclers Colombo Ltd.,2004-07-01 00:00:00,,,,,
Upali Enterprises Ltd.,2004-07-01 00:00:00,,,,,
Upali Investment Holdings Ltd.,2004-07-01 00:00:00,,,,,
