,New Listings 2006,,,,,,
,Equity - Initial Public Offers (IPO),,,,,,
,Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Total Indexed,Date Listed
,,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,,
1),Vallibel Power Erathna Ltd ,50000000,8/-,50000000, - ,249036577,2006-05-16 00:00:00
,Equity - Initial Public Offers (IPO) of a Listed Company,,,,,,
,Non-Voting,,,,,,
,Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Total Indexed,Date Listed
,,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,,
1),Seylan Merchant Bank Ltd,100000000,1/-,100000000,0,100000000,2006-09-22 00:00:00
,Equity - by way of an Introduction,,,,,,
,Voting,,,,,,
,Company,No of Shares,Par value,Date Listed,,,
,,Indexed,(Rs.),,,,
2),Amana Takaful Ltd,12500009,10/-,2006-11-27 00:00:00,,,
,New Listings 2006 by Sector,,,,,,
,Equity,,,,,,
,Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,
1),Power & Energy,1,249036577,400000000,,,
2),Banks Finance & Insurance ,2,100000000,100000000,,,
,Total,3,349036577,500000000,,,
,De-Listings 2006,,,,,,
,Company,Date of De-Listing,,,,,
,Mercantile Leasing Ltd.,2006-01-19 00:00:00,,,,,
,Lakdhanavi Ltd.,2006-01-04 00:00:00,,,,,
,Metal Packaging Ltd.,2006-03-23 00:00:00,,,,,
,Statcon Ltd.,2006-03-23 00:00:00,,,,,
