,New Listings 2008,,,,,,,,
,Equity - Initial Public Offers (IPO),,,,,,,,
,Company,No of Shares,Issue Price,No. of Shares,No. of Times,No. of Shares,No of Shares ,Total Indexed,Date Listed
,Voting (Offer for Subscription),Offered ,(Rs.),Applied For,Oversubscribed,allotted ,Devolved to Underwriters,,
1),Janashakthi Insurance Company PLC,33000000,12,74242800,2.25,33000000,,363000132,2008-07-21 00:00:00
,Equity - Initial Public Offers (IPO),,,,,,,,
,Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Total Indexed,Date Listed,,
,Non Voting (Offer for Subscription),Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,,,,
2),Ceylinco Insurance PLC  ,8500000,175,6414480, -,6414480,2008-08-14 00:00:00,,
,Equity - Introduction,,,,,,,,
,Voting,,,,,,,,
,Company,No of Shares,Par Value,Date Listed,,,,,
,,Indexed,(Rs.),,,,,,
3),Renuka Holdings Ltd.,7500000,65,2008-03-10 00:00:00,,,,,
,New Listings 2008 by Sector,,,,,,,,
,Equity,,,,,,,,
,Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,
,Banks Finance & Insurance ,2,369414612,1518534000,,,,,
,Investment Trust ,1,7500000,(Introduction),,,,,
,Total,3,376914612,1518534000,,,,,
,De-Listings 2008,,,,,,,,
,Company,Date De-Listed,,,,,,,
,Millers,2008-04-02 00:00:00,,,,,,,
,Associated Hotels PLC.,2008-06-24 00:00:00,,,,,,,
