New Listings 2011,,,,,,,,
Equity - Initial Public Offers ,,,,,,,,
Company (Offer for Subscription),No of Shares,Issue Price,No. of Shares ,No. of Times,No. of Shares,No of Shares ,Total Indexed,Date Listed
Voting,Offered ,(Rs.),applied for,Oversubscribed,allotted ,Devolved to Underwriters,,
Singer Finance Lanka,26666667,15,1468283000,55.0606118117424,26666667,-,106666667,2011-01-17 00:00:00
Panasian Power,200000000,3,3596058600,17.980293,200000000,-,500000000,2011-01-07 00:00:00
HVA Foods ,19928598,16,471630300,23.6660050044664,19928598,-,66428660,2011-02-15 00:00:00
Union Bank of Colombo ,15000000,25,5174685000,344.979,15000000,-,349250000,2011-03-29 00:00:00
Free Lanka Capital Holdings ,300000000,5,13823929000,46.0797633333333,300000000,-,1368000000,2011-04-18 00:00:00
Expolanka Holdings ,172000000,14,821658000,4.77708139534884,172000000,-,1954915000,2011-06-13 00:00:00
Vallibel One ,21311870,25,245780900,11.5325825467216,21311870,-,1086559353,2011-07-08 00:00:00
Softlogic Holdings ,139000000,29,583719800,4.19942302158273,139000000,-,779000000,2011-07-12 00:00:00
Browns Investments ,50000000,5,265048000,5.30096,50000000,-,1860000000,2011-07-26 00:00:00
Textured Jersey Lanka ,80000000,15,244465000,3.0558125,80000000,-,655002440,2011-08-09 00:00:00
Central Investments and Finance ,40000000,10,40934600,1.023365,40000000,-,83426733,2011-08-18 00:00:00
Trade Finance and Investments,6000000,20,17730000,2.955,6000000,-,56800400,2011-10-27 00:00:00
People's Leasing Company ,390000040,18,516220500,1.32364217193414,390000040,-,1560000160,2011-11-24 00:00:00
Equity - Introduction,,,,,,,,
Voting,,,,,,,,
Company,No of Shares,Reference Price provided by Company ,Date Listed,,,,,
,Indexed,(Rs.),,,,,,
Senkadagala Finance Company ,53368000,20,2011-03-22 00:00:00,,,,,
Swarnamahal Financial Services ,25000007,11.4,2011-05-26 00:00:00,,,,,
Chilaw Finance ,28083948,11,2011-05-26 00:00:00,,,,,
The Multi Finance Company ,17976325,14.8,2011-05-30 00:00:00,,,,,
Commercial Credit ,218074365,25.4,2011-06-01 00:00:00,,,,,
Mercentile Investments ,3006000,1562,2011-06-02 00:00:00,,,,,
A M W Capital Leasing ,20000000,22.35,2011-06-08 00:00:00,,,,,
Bimputh Lanka Investments ,20200002,10.56,2011-06-13 00:00:00,,,,,
Asscociated Motor Finance Company ,5608355,135,2011-06-23 00:00:00,,,,,
Abans Financial Services ,37000000,9.5,2011-06-27 00:00:00,,,,,
Orient Garments ,54916656,23,2011-06-29 00:00:00,,,,,
Lanka Orix Finance Company,2800000000,5,2011-07-07 00:00:00,,,,,
Nanda Investments and Finance ,100716730,1.7,2011-07-20 00:00:00,,,,,
Softlogic Capital ,27200000,40,2011-09-21 00:00:00,,,,,
Capital Alliance Finance,33920282,15,2011-10-04 00:00:00,,,,,
Entrust Securites ,33000014,20,2011-11-29 00:00:00,,,,,
Debt-Introduction,,,,,,,,
Company,"No. of Debentures
 listed ",Interest  Rate %,Date Listed,,,,,
Bartleet Finance ,2040000,Fixed (13%),2011-06-30 00:00:00,,,,,
DFCC Vardhana Bank,8333333,Fixed (11.50%),2011-11-28 00:00:00,,,,,
,1666667,Floating,2011-11-28 00:00:00,,,,,
New Listings 2011 by Sector,,,,,,,,
Equity,,,,,,,,
Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,
Banks Finance & Insurance,20,5579297988,8315000725,,,,,
Beverage Food & Tobacco,1,66428660,318857568,,,,,
Diversified,5,7048474353,8721796750,,,,,
Manufacturing,2,709919096,1200000000,,,,,
Power & Energy,1,500000000,600000000,,,,,
Total,29,13904120097,19155655043,,,,,
