New Listings 2012,,,,,,,,,
Equity - Initial Public Offers ,,,,,,,,,
Company (Offer for Subscription),No of Shares,Issue Price,No. of Shares ,No. of Times,No. of Shares,No of Shares ,Amount Raised,Total Indexed,Date Listed
Voting,Offered ,(Rs.),applied for,Oversubscribed,allotted ,Devolved to Underwriters,,,
Kalpitiya Beach Resort  ,16200000,17.5,37834000,2.33543209876543,16200000,-,283500000,161200010,2012-01-03 00:00:00
Waskaduwa Beach Resort  ,15600000,12.5,53132000,3.40589743589744,15600000,-,195000000,155600010,2012-01-03 00:00:00
Asia Asset Finance ,170160129,2.5,120507000,0.708197629539879,118316000,-,295790000,559471889,2012-01-12 00:00:00
Access Engineering ,20000000,25,30644400,1.53222,20000000,-,500000000,1000000000,2012-03-27 00:00:00
Mackwoods Energy ,25000000,14,28476100,1.139044,25000000,-,350000000,100000000,2012-04-25 00:00:00
Hikkaduwa Beach Resort,5757390,20,6212000,1.07896112648266,5757390,-,115147800,57573897,2012-12-17 00:00:00
Equity - Introduction,,,,,,,,,
Company,No of Shares,Reference Price provided by Company ,Date Listed,,,,,,
,Indexed,(Rs.),,,,,,,
PC Pharma  ,101000020,10,2012-01-18 00:00:00,,,,,,
AgStar Fertilizers       (Voting),307526310,9,2012-02-16 00:00:00,,,,,,
                                     (Non-voting),17473690,6,2012-02-16 00:00:00,,,,,,
Sanasa Development Bank ,25175322,125,2012-05-31 00:00:00,,,,,,
Taprobane Holdings ,732949140,6,2012-05-17 00:00:00,,,,,,
Ramboda Falls ,20000000,10,2012-06-18 00:00:00,,,,,,
PCH Holdings ,252000242,10,2012-06-28 00:00:00,,,,,,
Orient finance,115625000,14,2012-06-07 00:00:00,,,,,,
Commercial Leasing & Finance ,6377711170,5,2012-06-05 00:00:00,,,,,,
Beruwala Resorts ,600000000,4,2012-07-04 00:00:00,,,,,,
George Steuart Finance ,22500000,20,2012-09-12 00:00:00,,,,,,
Asia Siyaka Commodities ,260000000,2,2012-09-12 00:00:00,,,,,,
New Listings by Sector,,,,,,,,,
Equity,,,,,,,,,
Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,,
BANKS FINANCE AND INSURANCE,5,7100483381,295790000,,,,,,
CHEMICALS AND PHARMACEUTICALS,1,101000020,-,,,,,,
CONSTRUCTION AND ENGINEERING,1,1000000000,500000000,,,,,,
DIVERSIFIED HOLDINGS,2,984949382,-,,,,,,
HOTELS AND TRAVELS,5,994373917,593647800,,,,,,
MANUFACTURING,1,325000000,-,,,,,,
POWER AND ENERGY,1,100000000,350000000,,,,,,
SERVICES,1,260000000,-,,,,,,
Total,17,10865806700,1739437800,,,,,,
Debt-Introduction,,,,,,,,,
Company,"No. of Debentures
 listed ",Interest  Rate %,Date Listed,,,,,,
Nations Trust Bank ,1525000,Fixed (11.5),2012-07-13 00:00:00,,,,,,
,200000,Fixed (11),2012-07-13 00:00:00,,,,,,
,275000,Fixed (11.5),2012-07-13 00:00:00,,,,,,
Pan Asia Banking Corporation ,35000,Fixed (11.25),2012-10-30 00:00:00,,,,,,
,55300,Fixed (11.5),2012-10-30 00:00:00,,,,,,
,610000,Floating,2012-10-30 00:00:00,,,,,,
Singer (Sri Lanka),6440000,fixed,2012-12-28 00:00:00,,,,,,
Debt - Initial Public Offers ,,,,,,,,,
Name ,No of debentures offered,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount raised (Rs.),Total amount raised (Rs.),,
Bank of Ceylon ,50000000,39001400,Fixed (11),100,2012-01-03 00:00:00,3900140000,,,
,,10975600,Floating ,100,2012-01-03 00:00:00,1097560000,,,
,,23000,Fixed (10.5),100,2012-01-03 00:00:00,2300000,5000000000,,
Sampath Bank,15000000,2477900,Fixed (15),100,2012-11-07 00:00:00,247790000,,,
,,10776800,Fixed (16.5),100,2012-11-07 00:00:00,1077680000,,,
,,1745300,Floating,100,2012-11-07 00:00:00,174530000,1500000000,,
Bank of Ceylon ,60000000,4200,Floating,100,2012-12-26 00:00:00,420000,,,
,,397000,Fixed (15.25),100,2012-12-26 00:00:00,39700000,,,
,,59598800,Fixed (16),100,2012-12-26 00:00:00,5959880000,6000000000,,
De-Listings 2012,,,,,,,,,
Company,Date De-Listed,,,,,,,,
Ferntea,2012-06-20 00:00:00,,,,,,,,
Riverrina Hotels,2012-12-13 00:00:00,,,,,,,,
