New Listings 2013,,,,,,,,,
Equity - Initial Public Offers ,,,,,,,,,
No.,Company (Offer for Subscription),No. of shares offered,No. of shares alloted,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
1,Anilana Hotels and Properties ,"Tranch 1 - 40,000,000",41200800,12,494409600,2013-07-17 00:00:00,,,
,,"Tranch 2 - 40,000,000",,,,,,,
Equity - Introduction,,,,,,,,,
No. ,Name ,No. of shares listed ,Date listed ,,,,,,
1,Aitken Spence Plantation Managements Limited,21300000,2013-05-03 00:00:00,,,,,,
,New Listings by Sector,,,,,,,,
,Equity,,,,,,,,
,Sector,No of Issues,No of Shares Indexed,Value (Rs.),,,,,
,HOTELS AND TRAVELS,1,383684400,494409600,,,,,
,PLANTATIONS,1,21300000,-,,,,,
,Total,2,404984400,494409600,,,,,
Debentures - Initial Public Offers ,,,,,,,,,
No.,Name ,No of debentures offered,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),Total amount raised (Rs.)
1,Commercial Credit and Finance ,5000000,5000000,fixed (20% ),100,2013-03-06 00:00:00,500000000,500000000,500000000
2,Seylan Bank ,20000000,10909100,fixed (15.5% ),100,2013-03-08 00:00:00,2000000000,1090910000,
,,,8430200,fixed (15% ),100,2013-03-08 00:00:00,,843020000,
,,,660700,fixed (14.5% ),100,2013-03-08 00:00:00,,66070000,2000000000
3,People's Leasing and Finance PLC,60000000,19865000,Fixed (16.5%),100,2013-04-04 00:00:00,6000000000,1986500000,
,,,15835000,Fixed (16.75%),100,2013-04-04 00:00:00,,1583500000,
,,,24300000,Fixed (17%),100,2013-04-04 00:00:00,,2430000000,6000000000
4,Merchant Bank of Sri Lanka,20000000,6251100,Fixed (17.5%),100,2013-04-09 00:00:00,2000000000,625110000,
,,,4852400,Fixed (17.25%),100,2013-04-09 00:00:00,,485240000,
,,,7231900,Fixed (16.7%),100,2013-04-09 00:00:00,,723190000,
,,,1664600,Fixed (16.5%),100,2013-04-09 00:00:00,,166460000,2000000000
5,Senkadagala Finance Company,10000000,4142465,Fixes (17.00%),100,2013-06-11 00:00:00,1000000000,414246500,
,,,5852535,Fixed (17.25%),100,2013-06-11 00:00:00,,585253500,
,,,5000,Floating,100,2013-06-11 00:00:00,,500000,1000000000
6,Singer (Sri Lanka),15000000,6000000,Fixed (14.50%),100,2013-06-13 00:00:00,1500000000,600000000,
,,,9000000,Fixed (14.50%),100,2013-06-13 00:00:00,,900000000,1500000000
7,Hatton National Bank,40000000,40000000,Fixed (14.00%),100,2013-06-24 00:00:00,4000000000,4000000000,4000000000
8,Central Finance Company,2000000,300000,Fixed (14.25%),1000,2013-06-27 00:00:00,2000000000,300000000,
,,,300000,Fixed (14.5%),1000,2013-06-27 00:00:00,,300000000,
,,,1400000,Fixed (14.75%),1000,2013-06-27 00:00:00,,1400000000,2000000000
9,Lion Brewery (Ceylon) ,3000000,201200,Floating,1000,2013-06-27 00:00:00,3000000000,201200000,
,,,201200,Floating,1000,2013-06-27 00:00:00,,201200000,
,,,201200,Floating,1000,2013-06-27 00:00:00,,201200000,
,,,201200,Floating,1000,2013-06-27 00:00:00,,201200000,
,,,201200,Floating,1000,2013-06-27 00:00:00,,201200000,
,,,598200,Fixed (13.5%),1000,2013-06-27 00:00:00,,598200000,
,,,598200,Fixed (13.75%),1000,2013-06-27 00:00:00,,598200000,
,,,797600,Fixed (14%),1000,2013-06-27 00:00:00,,797600000,3000000000
10,Hayleys PLC,2000000,2000000,Fixed (14.25%),1000,2013-07-12 00:00:00,2000000000,2000000000,2000000000
11,Hatton National Bank,30000000,20000000,Fixed (8%),67.715,2013-09-10 00:00:00,2031450000,1354300000,1354300000
12,Softlogic Finance ,5000000,2178400,Fixed (17%),100,2013-09-11 00:00:00,500000000,217840000,
,,,1001600,Fixed (16.5%),100,2013-09-11 00:00:00,,100160000,
