New Listings 2019 (January to December),,,,,,,,,,,
,,IPO - Equity ,,,,,,,,,
No.,Date of Announcement,Name ,No. of shares offered,No. of shares alloted,No. of Shares listed ,Consideration (Rs.),Amount raised (Rs.),Date listed ,,,
No records for the period,,,,,,,,,,,
 ,,Introduction - Equity,,,,,,,,,
No.,Date of Announcement,Name ,Shares listed ,Reference Price,Date listed ,,,,,,
1,2019-05-14 00:00:00,Mahaweli Coconut Plantations Ltd,33832285,13,2019-06-03 00:00:00,,,,,,
2,2019-10-11 00:00:00,LAUGFS Power Limited -         Ordinary Voting ,335000086,8.8,2019-10-30 00:00:00,,,,,,
,,Ordinary Non-voting,52000000,6.9,,,,,,,
,,IPO - Debenture ,,,,,,,,,
No.,Date of Announcement,Name ,No of debentures offered,Types,No. of Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),Total amount raised (Rs.)
1,2018-12-28 00:00:00,Citizens Development Business Finance PLC,12500000,A,2591800,15,100,2019-02-11 00:00:00,1250000000,259180000,927770000
,,,,B,6685900,15.5,100,2019-02-11 00:00:00,,668590000,
2,2018-11-30 00:00:00,Sampath Bank PLC,70000000,A,70000000,13.9,100,2019-03-07 00:00:00,7000000000,7000000000,7000000000
3,2018-11-30 00:00:00,Seylan Bank PLC ,50000000,A,37734000,15,100,2019-04-29 00:00:00,5000000000,3773400000,5000000000
,,,,B,12266000,14.5,100,,,1226600000,
4,2019-03-14 00:00:00,DFCC Bank PLC ,100000000,A,38047600,13.5,100,2019-04-03 00:00:00,10000000000,3804760000,10000000000
,,,,B,17840700,13.75,100,,,1784070000,
,,,,C,44111700,13.9,100,,,4411170000,
5,2019-01-23 00:00:00,National Development Bank PLC ,65000000,A,12430000,13.5,100,2019-04-08 00:00:00,6500000000,1243000000,5561200000
,,,,B,43182000,13.95,100,,,4318200000,
6,2019-06-24 00:00:00,Bogawantalawa Tea Eatates PLC,10000000,A,3439800,13,85,2019-07-31 00:00:00,850000000,292383000,850000000
,,,,B,3280100,13.25,85,2019-07-31 00:00:00,,278808500,
,,,,C,3280100,13.5,85,2019-07-31 00:00:00,,278808500,
7,2019-06-17 00:00:00,Siyapatha Finance PLC,15000000,A,15000000,13.33,100,2019-08-20 00:00:00,1500000000,1500000000,1500000000
8,2019-08-13 00:00:00,Hayleys PLC,30000000,A,13988100,13,100,2019-09-04 00:00:00,3000000000,1398810000,3000000000
,,,,B,16011900,13,,,,1601190000,
9,2019-08-19 00:00:00,Senkadagala Finance Company PLC,17500000,A,17500000,12.875,100,2019-09-06 00:00:00,1750000000,1750000000,1750000000
10,2019-08-30 00:00:00,Hatton National Bank PLC,100000000,A,19225700,12.3,100,2019-10-02 00:00:00,10000000000,1922570000,10000000000
,,,,B,80774300,12.8,100,,,8077430000,
11,2019-09-05 00:00:00,L O L C Holdings PLC,50000000,A,49998400,15,100,2019-10-07 00:00:00,5000000000,4999840000,5000000000
,,,,B,1600,,100,,,160000,
12,2019-12-10 00:00:00,Abans PLC,3500000,A,2500000,12.5,100,2019-12-24 00:00:00,350000000,250000000,250000000
13,2019-10-07 00:00:00,Softlogic Capital PLC,15000000,A,2500600,14.75,100,2019-12-27 00:00:00,1500000000,250060000,1500000000
,,,,B,4598800,14.5,100,,,459880000,
,,,,C,7900500,15,100,,,790050000,
,,,,D,100,,100,,,10000,
14,2019-11-13 00:00:00,Citizens Development Business Finance PLC,12500000,A,3879000,13.43,100,2019-12-17 00:00:00,1250000000,387900000,1075200000
,,,,B,6873000,13.88,100,,,687300000,
15,2019-11-01 00:00:00,Nations Trust Bank PLC,45000000,A,27000000,12.8,100,2019-12-30 00:00:00,4500000000,2700000000,4500000000
,,,,B,18000000,12.9,100,,,1800000000,
No.,Date of Announcement,Name ,Debentures offered,Types,Debentures listed ,Interest  Rate %,Issue Price (Rs/-),Date Listed ,Amount to be raised (Rs.),Amount raised - based on type (Rs.),
No records for the period,,,,,,,,,,,
De-Listings 2019 (January to December),,,,,,,,,,,
No. ,Date De-listed ,Company Name ,,,,,,,,,
1,2019-04-08 00:00:00,Miramar Beach Hotel PLC,,,,,,,,,
2,2019-05-15 00:00:00,Vanik Incorporation PLC,,,,,,,,,
3,2019-05-15 00:00:00,Pelwatte Sugar Industries PLC,,,,,,,,,
4,2019-05-15 00:00:00,Touchwood Investments PLC,,,,,,,,,
5,2019-05-15 00:00:00,Orient Garments PLC,,,,,,,,,
6,2019-05-15 00:00:00,Central Investments & Finance PLC,,,,,,,,,
7,2019-06-19 00:00:00,Browns Capital PLC,,,,,,,,,
8,2019-07-19 00:00:00,PC House PLC,,,,,,,,,
9,2019-10-02 00:00:00,A I A Insurance Lanka PLC,,,,,,,,,
10,2019-11-20 00:00:00,Janashakthi Insurance PLC,,,,,,,,,
