Market Indices - Daily ,,,,,,,,,,,,,,,,,,,,,,,,
,,,S&P Sri Lanka 20,Banks Finance & Insurance,"Beverage, Food & Tobacco",Chemicals & Pharmaceuticals,Construction & Engineering,Diversified,Footwear & Textile,Healthcare,Hotels & Travels,Investment Trusts,IT,Land & Property,Manufacturing,Motors,Oil Palms,Plantations,Power & Energy,Services,,Stores & Supplies,Telecommunications,Trading
,All Share Price Index,Milanka Price Index,,,,,,,,,,,,,,,,,,,,,,
1985-01-02 00:00:00,96.09,81.69,,84.88,88.25,84.79,124.83,,104.95,,118.47,80.71,,81.31,102.14,78.51,97.27,,,93.09,,93.67,,93.44
1985-01-03 00:00:00,96.08,81.74,,85.07,88.25,84.79,124.55,,104.95,,118.47,80.71,,81.25,102.14,78.51,97.27,,,93.09,,93.67,,93.44
1985-01-04 00:00:00,96.05,81.55,,85.07,88.48,84.79,124.55,,103.84,,118.38,80.71,,81.25,102.14,78.51,97.27,,,93.09,,93.67,,93.03
1985-01-07 00:00:00,96.18,81.97,,86.82,88.48,84.32,124.55,,103.84,,118.38,80.71,,81.25,102.14,80.05,97.27,,,93.09,,93.67,,93.03
1985-01-08 00:00:00,96.34,82.19,,87.58,88.48,85.41,124.69,,102.73,,118.92,80.71,,81.25,102.14,80.05,97.27,,,93.09,,93.67,,93.03
1985-01-09 00:00:00,96.34,82.19,,87.58,88.48,85.41,124.69,,102.73,,118.92,80.71,,81.25,102.14,80.05,97.27,,,93.09,,93.67,,93.03
1985-01-10 00:00:00,96.32,82.17,,87.58,88.48,85.25,124.69,,102.73,,117.92,84.91,,81.25,102.14,93.16,97.27,,,93.09,,93.67,,93.03
1985-01-11 00:00:00,96.32,82.17,,87.58,88.48,85.25,124.69,,102.73,,117.92,84.91,,81.25,102.14,93.16,97.27,,,93.09,,93.69,,93.03
1985-01-15 00:00:00,96.27,82.4,,88.58,88.48,85.25,124.69,,102.73,,117.65,84.91,,80.92,102.06,93.16,97.27,,,93.09,,93.69,,93.03
1985-01-16 00:00:00,96.27,82.4,,88.58,88.48,85.25,124.69,,102.73,,117.65,84.91,,80.92,102.06,93.16,97.27,,,93.09,,93.69,,93.03
1985-01-17 00:00:00,96.27,82.39,,88.83,88.48,85.25,124.69,,101.62,,117.65,84.91,,80.92,102.12,93.16,97.27,,,93.14,,93.48,,93.03
1985-01-18 00:00:00,97.04,82.93,,91.22,88.51,85.14,124.69,,101.29,,117.65,84.91,,84.21,101.93,93.16,97.27,,,93.14,,93.48,,93.03
1985-01-21 00:00:00,97.08,82.93,,91.22,88.53,85.14,125.78,,101.29,,117.65,84.91,,84.21,101.93,93.16,97.27,,,93.14,,93.48,,93.03
1985-01-22 00:00:00,96.95,82.7,,91.6,88.53,85.84,125.78,,97.96,,117.65,84.91,,84.21,101.93,84.27,97.27,,,93.14,,93.34,,92.63
1985-01-23 00:00:00,96.91,82.5,,91.6,88.58,85.84,125.78,,95.74,,117.65,84.91,,84.21,101.9,84.39,97.27,,,93.73,,93.34,,92.63
1985-01-24 00:00:00,96.75,82.58,,90.93,88.54,85.72,125.78,,95.74,,117.74,84.91,,84.21,101.16,84.39,97.27,,,93.73,,93.34,,92.63
1985-01-25 00:00:00,96.74,82.54,,90.93,88.54,85.43,125.78,,95.74,,117.74,84.91,,84.21,101.16,84.39,97.27,,,93.73,,93.34,,92.63
1985-01-28 00:00:00,96.72,81.79,,91.18,87.22,85.43,125.78,,97.07,,117.74,84.91,,84.04,102.4,84.39,97.27,,,93.73,,93.34,,92.63
1985-01-29 00:00:00,96.87,82.53,,93.94,86.93,85.43,125.77,,97.07,,117.74,84.91,,84.04,102.31,84.39,97.27,,,93.73,,93.34,,92.63
1985-01-30 00:00:00,96.87,82.55,,94.02,86.93,85.43,125.77,,97.07,,117.74,84.91,,84.04,102.32,84.39,97.27,,,93.73,,93.34,,92.63
1985-01-31 00:00:00,96.71,81.99,,93.65,86.93,85.28,125.36,,92.63,,117.74,85.65,,84.04,102.28,84.39,97.27,,,93.73,,93.34,,92.63
1985-02-01 00:00:00,96.68,82.42,,93.65,87.61,85.28,125.36,,92.63,,117.05,92.3,,84.04,101.48,84.39,97.27,,,93.73,,93.34,,92.63
1985-02-06 00:00:00,96.7,82.49,,93.9,87.61,85.28,125.36,,92.63,,117.05,92.3,,84.04,101.48,84.39,97.27,,,93.73,,93.34,,92.63
1985-02-07 00:00:00,96.71,83,,95.19,87.61,85.28,125.23,,92.63,,117.05,92.3,,83.38,101.5,84.39,97.27,,,93.73,,93.34,,93.44
1985-02-08 00:00:00,99.05,84.77,,96.83,87.94,86.4,125.23,,91.47,,117.05,94.15,,93.26,103.21,79.94,97.27,,,93.73,,93.34,,93.44
