, Market Indices - Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASPI,SPI / MPI (Jan-99 onwards),S&P SL 20,TURNOVER- Rs Mn Equity,MARKET CAP.- RS. BN.,SHARES -'000,TRADES,BFI,BFT,C&P,C&E,DIV,F&T,HLT,H&T,INV,IT,L&P,MFG,MTR,OIL,PLT,P&E,SRV,,S&S,TLE,TRD
1994-01-31 00:00:00,1127.17,1734.43,,4500.2701185,145.68437514525,67250.243,43486,3195.93,930.55,1107.57,509.41,,864.06,0,745.64,3518.98,0,213.77,839.05,788.08,1001.13,,0,2241.47,,1214.25,0,1326.11
1994-02-28 00:00:00,1375.12,2093.75,,5511.57630775,175.838859156,68583.261,52404,3982.63,1039.2,1454.4,512.84,,1120.82,0,876.61,4003.06,0,302.65,1071.12,912.11,1001.13,,0,2717.54,,1280.45,0,1783.45
1994-03-31 00:00:00,1190.33,1755.91,,5468.70934925,154.5860344625,63733.285,46561,3437.59,913.56,1249.47,399.81,,1029.08,0,811.5,3377.42,0,241.02,906.28,839.81,1001.13,,0,2268.17,,1312.34,0,1494.27
1994-04-29 00:00:00,1050.85,1555.88,,2108.0852135,137.28779793575,29004,20170,2975.37,768.59,1175.44,424.08,,947.93,0,728.28,2977.02,0,215.41,760.12,807.79,1001.13,,0,2219.92,,1282.72,0,1333.9
1994-05-31 00:00:00,1014.93,1479.04,,1584.0173945,133.7715997995,26329.465,23337,2883.6,772.92,1024.33,378,,923.28,0,685.58,3219.09,0,212.85,773.19,714.72,993.46,,0,1935.95,,1251.7,0,1161.21
1994-06-30 00:00:00,981.73,1458.04,,2335.123459,133.1402334015,30484.03,28167,2810.74,799.14,940.15,338.78,,820.76,0,609.68,3259.39,0,194.11,760.01,700.73,993.46,,0,1776.38,,1198.38,0,1211.98
1994-07-29 00:00:00,976.47,1455.12,,2115.20569875,134.25243815625,30462.475,28144,2838.16,761.91,960.18,335.15,,800.09,0,589.23,3124.87,0,193.56,774.57,692.82,993.46,,0,1785.59,,1244.19,0,1210.53
1994-08-31 00:00:00,1048.58,1537.13,,2224.21861975,145.1065302865,35405.817,31017,3010.89,826.5,1011.84,331.24,,855.89,0,655.64,3127.24,0,221.82,872.52,700.95,993.46,,0,1864.4,,1240.29,0,1252.64
1994-09-30 00:00:00,1143.23,1682.63,,3964.668956,163.96259918375,66767.82,52454,3453.9,871.76,1101.81,350.58,,835.55,0,720.09,3270.95,0,210.76,954.51,709.91,993.46,,0,1908.34,,1305.15,0,1349.77
1994-10-31 00:00:00,1093.65,1600.98,,1722.539486,158.42285722475,31844.89,28041,3277.29,813.9,1069.73,319,,788.74,0,673.92,3495.76,0,205.98,904.71,678.98,993.46,,0,2012.5,,1293.16,0,1278.93
1994-11-30 00:00:00,1079.03,1589.57,,1591.2497465,153.87120996275,25489.842,28580,3220.52,797.81,998.76,327.14,,762.09,0,644,3974.08,0,207.25,891.66,650.75,982.92,,0,1882.76,,1266.45,0,1263.21
1994-12-30 00:00:00,986.73,1438.82,,1498.46565325,143.2133235935,32968.835,22211,2997.86,737.4,935.4,285.89,,696.72,0,570.84,3674.92,0,189.84,790.96,626.53,1018.71,,0,1775.59,,1231.52,0,1102.72
1995-01-31 00:00:00,959.98,1387.36,,911.56889725,142.4708223975,19277.499,21150,2908.44,701.85,907.84,273.03,,585.69,0,596.96,3634.6,0,188.74,751.65,560.65,1018.71,,0,1667.7,,1173.68,0,1133.31
