Total Return Indices - Daily,,,,,,,,,,,,,,,,,,,,,,,,
,ASTRI,MTRI,S&P SL 20 TRI ,TRIBFI,TRIBFT,TRIC&P,TRIC&E,TRIDIV,TRIF&T,TRIHLT,TRIH&T,TRIINV,TRIIT,TRIL&P,TRIMFG,TRIMTR,TRIOIL,TRIPLT,TRIP&E,TRISRV,TRIS&S,TRITLE,TRITRD,
2004-01-02 00:00:00,1073.7206,1923.2474,,2481.8665,1248.786,1261.6223,260.999,301.686,281.249,93.3022,680.5145,2831.1186,48.3333,144.0288,560.8232,549.6505,6694.4958,194.6598,100,4412.7406,1297.922,125,1224.1613,
2004-01-05 00:00:00,1115.1726,2008.6577,,2572.7436,1288.673,1268.8991,263.9276,312.6237,283.2372,93.3022,721.6808,2944.9357,48.3333,153.7085,580.8317,602.0501,6694.4958,194.5119,100,4412.7406,1328.0832,131.6667,1275.1414,
2004-01-06 00:00:00,1134.314,2051.6758,,2595.2762,1302.2272,1304.4384,272.7135,314.9019,284.3026,94.1233,737.6547,3075.358,48.3333,152.3426,586.9877,603.7222,6694.4958,192.8123,100,4709.5542,1328.5521,140,1299.6653,
2004-01-08 00:00:00,1155.1855,2098.6603,,2650.356,1303.6386,1304.4384,278.5707,321.117,284.8353,94.6173,768.6037,3107.6029,48.3333,152.5098,589.4193,606.9481,6694.4958,193.1093,100,4709.5542,1318.4984,145,1284.03,
2004-01-09 00:00:00,1164.9025,2112.2384,,2661.6091,1322.1233,1331.8034,272.7135,327.5186,285.5517,94.2502,787.4446,3100.0494,53.3333,153.7431,595.564,593.0334,6694.4958,194.0884,100,4709.5542,1286.3555,143.3333,1284.03,
2004-01-12 00:00:00,1161.4732,2110.9718,,2672.2897,1309.4865,1258.3846,272.7135,332.1662,285.5517,94.2502,777.391,3100.0494,53.3333,152.5149,592.8634,593.3386,6694.4958,194.4556,100,4716.9745,1336.6241,140,1271.9361,
2004-01-13 00:00:00,1173.2573,2142.8867,,2686.1028,1301.165,1271.6683,272.7135,340.3838,285.5517,94.3703,791.2356,3112.1182,53.3333,153.6256,602.143,601.5419,6694.4958,197.9986,100,4857.961,1316.5166,141.6667,1193.4642,
2004-01-14 00:00:00,1178.4858,2152.2796,,2711.0875,1302.0086,1280.8774,260.999,340.9951,281.29,94.1193,795.606,3148.9404,53.3333,150.4722,606.1612,601.5419,6694.4958,206.8474,100,4857.961,1316.5166,141.6667,1226.1388,
2004-01-16 00:00:00,1140.934,2070.9386,,2635.1621,1285.1767,1261.8974,260.999,332.0133,280.7436,92.211,752.3048,3112.1182,50,147.7473,588.5364,579.1524,6694.4958,199.2424,100,4561.1474,1316.5166,133.3333,1200.7636,
2004-01-19 00:00:00,1083.7143,1950.0174,,2552.6281,1230.9145,1252.7132,258.0704,306.0799,278.4064,87.6565,692.2101,3105.0926,50,140.214,566.5109,567.0739,6694.4958,193.6719,100,4115.9269,1275.8328,126.6667,1124.1778,
2004-01-20 00:00:00,1095.6723,1967.779,,2573.1522,1248.6819,1251.852,260.999,306.5187,278.7555,90.1719,721.7849,3102.7507,50,143.6865,571.0749,567.0739,6694.4958,194.777,100,4650.1915,1295.9402,126.6667,1159.0096,
2004-01-21 00:00:00,1117.4331,2013.5234,,2625.0341,1272.197,1249.8644,263.9276,312.7454,278.7555,89.6463,751.3268,3102.7507,50,145.3121,577.1522,563.3029,6694.4958,196.1678,100,4650.1915,1295.9402,130,1176.9666,
2004-01-22 00:00:00,1124.3767,2031.3673,,2660.3327,1268.8734,1249.8644,260.999,314.3046,280.3946,90.2851,754.3682,3105.0926,50,147.5192,576.6173,563.078,6694.4958,197.5543,100,4650.1915,1296.4357,131.6667,1177.4007,
2004-01-23 00:00:00,1117.813,2017.9094,,2649.2189,1252.5629,1235.3841,258.0704,313.9878,279.8482,89.5331,747.9643,3107.4344,50,146.914,577.1081,564.4605,6694.4958,194.2145,100,4650.1915,1296.4357,130,1168.6155,
