Daily Market Statistics,,,,,,,,,,
,ASPI,MPI,S&P SL 20,TURNOVER,TURNOVER,TURNOVER,TURNOVER,SHARES TRADED,TRADES,MARKET CAP.
,,,,EQUITY-Mn,CORP.DEBT '000,GOVN DEBT '000,FUNDS '000,EQUITY '000,EQUITY,Mn.
1994-01-03 00:00:00,987.25,1462.48,,106.199018, - , - ,,1744.422,1675,124703.54309075
1994-01-04 00:00:00,988.07,1460.8,,121.865172, - , - ,,2440.406,1961,124383.207468
1994-01-05 00:00:00,991.41,1472.87,,165.798717, - , - ,,2213.91,2012,125059.0525505
1994-01-06 00:00:00,998.95,1480.6,,207.400276, - , - ,,6007.344,2168,126286.9076975
1994-01-07 00:00:00,1006.96,1488.08,,365.38456825, - , - ,,3575.655,2328,127242.61582175
1994-01-10 00:00:00,1022.66,1511.6,,419.540762, - , - ,,4078.194,2318,129128.1139695
1994-01-11 00:00:00,1035.59,1528.65,,194.630494, - , - ,,3633.795,2683,130715.33490025
1994-01-12 00:00:00,1051.78,1556.22,,329.77284975, - , - ,,7363.244,2741,135178.1268855
1994-01-13 00:00:00,1066.13,1592.21,,270.202644, - , - ,,4431.51,2733,137132.08107025
1994-01-17 00:00:00,1077.61,1631.01,,218.251783, - , - ,,5447.272,2688,138647.768482
1994-01-18 00:00:00,1097.98,1670.82,,266.541508, - , - ,,3277.28,2702,141507.4497715
1994-01-19 00:00:00,1114.96,1706.31,,188.6505875, - , - ,,2376.302,2274,142504.2119415
1994-01-20 00:00:00,1111.46,1715.93,,370.74876725, - , - ,,2969.439,2246,141802.01400525
1994-01-21 00:00:00,1105.89,1692.31,,146.0902555, - , - ,,2125.069,2063,141344.47695125
1994-01-24 00:00:00,1106.57,1684.85,,190.4009995, - , - ,,2916.571,2130,141578.427227
1994-01-25 00:00:00,1111.5,1701.08,,180.4643695, - , - ,,3129.348,2166,141628.103465
1994-01-26 00:00:00,1115.98,1713.02,,215.694808, - , - ,,2425.257,1794,142199.216825
1994-01-28 00:00:00,1122.16,1719.89,,241.474885, - , - ,,3436.566,2339,145321.6539095
