Summarized Trading Statistics Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Annual Turnover (Rs Mn) Equity,1563,5542,6159,22124,34505,11249,7395,18258,17912,14292,10624,13905,30183,73837,59052,114599.211,105153.716382,104985.394961,110453.891,142462.647,570326.824319,546255.842498,213827.19861,200467.8018,340917.121869,253251.010304,176935.447733,220591.237361,200068.838449,171407.957994,396881.514046,1173157.119452,686602.077004,410629.348075,537635.370991,1232648.942702
Domestic (Rs Mn),,3383,4687,14449,20699,5815,3347,10398,11525,8870,7497,11281,23926,59818,48327,89959.078,70675.109,63815.716952,50796.944,99010.828,464733.621642,486959.424123,160543.290647,128227.631748,246796.81756,166151.51051,102544.185752,117135.197447,111378.046267,109003.214315,318354.459665,1112816.789544,634426.356473,371359.778674,484382.700704,1156403.623364
Foreign (Rs Mn),,2159,1472,7675,13806,5434,4048,7860,6387,5422,3128,2624,6256,13839,10724,24640.133,34478.606,41169.678009,59656.947,43451.819,105593.202677,59296.418375,53283.907963,72240.170052,94120.304309,87099.499795,74391.261981,103456.039914,88690.792183,62404.743679,78527.05438,60340.329908,52175.720531,39269.569401,53252.670287,76245.319338
Market Days (No),238,239,242,242,236,240,242,241,240,241,241,240,238,240,240,238,241,241,238,240,238,239,242,242,241,239,240,241,240,241,209,240,231,242,240,238
Daily Average Turnover (Rs Mn) Equity,6.6,22,25,91,146,47,31,76,74,59,44,58,126.8,308,246,481.509,436.322,435.624045,464.091,593.59,2396.331195,2285.589299,883.583465,828.379346,1414.593867,1059.627658,737.231032,915.316338,833.62016,711.23634,3217.169822,4888.154664,2972.303364,1696.815488,2240.147379,5179.197238
Shares traded (No Mn) Equity,41.7,110,113,424,506,316,227,515,634,486,449,747,1220,2255,2752,5128.278,3912.346,2887.311473,3154.941,4762.666,18489.195424,24543.700782,9691.236634,9054.193822,16721.524209,9414.661048,7195.805445,8468.273611,6000.737306,9855.016003,21348.728655,59771.688538,29047.818242,16988.82739,23249.694068,46646.333149
Domestic (No Mn) ,,-,94,300,335,185,132,337,426,357,350,607,1035,1932,2479,4313.235,3178.183,2009.917335,1934.895,3784.247,16684.453563,23151.584251,8289.562822,7861.628841,14726.168715,7693.165959,5776.174435,6528.811077,4820.840218,7091.46178,19807.825536,57905.205327,28142.332599,15889.420047,21378.139665,44437.656784
Foreign (No Mn),,-,19,124,171,131,94,178,209,129,99,140,185,323,272,815.042,734.162,877.340138,1220.046,978.418,1804.741861,1392.116531,1401.673812,1192.564981,1995.355494,1721.495089,1419.63101,1939.462534,1179.897088,2763.554223,1540.903119,1866.483211,905.485643,1099.407343,1871.554403,2208.676365
Trades (No) Equity,48332,91571,109930,232337,404367,186274,98130,206109,327380,203298,158576,158627,280681,481269,645083,1100451,952382,876928,776244,1266299,3355126,4579352,1857384,1421303,1982709,1506790,1056849,981977,885657,1197205,3070021,8131508,6057233,3618960,3524067,7492995
Domestic (No),,-,103468,206397,364156,165254,87721,189569,310080,191347,148178,151744,270734,459226,611654,1038538,908220,831663,730415,1190822,3225041,4463404,1796868,1355380,1899569,1431750,1002476,928276,838784,1150486,2968092,8009816,5973350,3544022,3445541,7384384
Foreign (No),,-,6462,25940,40211,21020,10409,6540,17300,11951,10398,6883,9947,22043,33429,61913,44162,45265,45829,75477,130085,115948,60516,65923,83140,75040,54373,53701,46873,46719,101929,121692,83883,74938,78526,108611
New Listing (No),1,5,12,12,15,14,9,6,6,4,5,2,9,8,5,6,2,0,3,3,10,31,17,2,7,5,4,3,3,2,1,17,5,2,5,26
Delisting (No),1,2,0,1,1,3,-,2,5,7,3,3,9,2,7,9,4,2,2,6,1,0,2,1,3,3,2,2,2,10,7,3,11,1,10,2
Companies Listed,175,178,190,201,215,226,235,239,240,237,239,238,238,244,242,239,237,235,235,231,241,272,287,289,294,294,295,296,297,289,283,296,290,290,284,285
Companies Traded,164,166,177,187,203,215,214,225,224,226,228,225,231,236,241,242*,232,231,232,231,238,264,280,278,284,278,240,279,279,279,266,240,283,276,274,273
Market Capitalization (Rs Bn),36.87,81,66.2,124.1,143.7,106.9,104.2,129.4,116.6,112.8,88.83,124,162.6,262.8,382.1,584,834.762,820.651528531,488.812,1092.137,2210.452080971,2213.87,2167.58,2459.9,3104.86,2938,2745.41,2899.29,2839.45,2851.31,2960.65,5489.17,3847.15,4248.93,5695.56,8068.62
Market PER year end (Times),-,20.9,12.5,19.6,16.3,11.2,10.7,12.5,9,6.6,5.2,7.5,12.1,11.1,10.8,12.4,14,11.6,5.4,16.55,25.16,15.82,15.93,15.92,19.66,17.98,12.37,10.6,9.65,10.83,11.25,13.63,4.95,11.1,8.89,10.73
Turnover to Market Capitalization (%),,9.4,8.4,23.3,25.8,9,7,15.6,14.6,12.5,10.5,13.1,21.1,34.7,18.3,23.7,14.8,12.7,16.9,18,34.5,24.7,9.76056778509398,8.66423201396873,12.2527160872706,8.3818261652264,6.2263833766348,7.60845715195789,7.04604196055574,6.01155111138389,13.4052155454377,21.3722132754497,17.8470316209142,9.66430014321253,9.43955240557557,15.2770726927529
Dividend Yield Year End (%),-,1.4,2.2,1.4,1.7,4.3,4.1,3.2,4.5,5.2,6.5,6.8,4.3,3.1,3.2,2.7,2.2,2.5,5.6,3,1.16,1.75,2.36,2.93,2.09,2.18,2.75,3.19,3.09,3.17,2.66,2.17,4.1,3.31,3.57,2.62
Price to Book Value Year End (Times),-,-,2.3,3.5,2.5,1.4,1.1,1.3,1.1,1,0.8,0.8,0.9,1.1,1.3,1.7,2,1.8,0.8,1.67,2.98,2,2.08,1.96,2.2,1.99,1.42,1.31,1.18,1.14,1.13,1.67,0.91,0.93,1.17,1.45
Market Cap. As a % of GDP,,,,,,16.1,14,14.4,11.4,10.1,7,8.8,10.2,15.7,16.3,24.6,29.8,22.9,11.06,22.6,39.5,33.8,28.6,28.4%,,0.268,0.232,0.245,0.214,0.215,0.197,0.3117,0.1599,0.155,19.05,26.99
Price Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Share ,384.39,837.89,605.3,979,986.7,663.7,603,702.2,597.3,572.5,447.6,621.3,815.1,1062.1,1506.9,1922.2,2722.4,2541,1503,3385.55,6635.87,6074.42,5643,5912.78,7298.95,6894.5,6228.26,6369.26,6052.37,6129.21,6774.22,12226.01,8489.66,10654.16,15944.61,22624.31
y-o-y Change % ,,117.979135773563,-27.8,61.7,0.8,-32.7,-9.1,16.4,-14.9,-4.2,-21.8,38.7,31.2,30.3,41.9,27.55,41.6293829986474,-6.66323831913018,-40.8500590318772,125.252827677977,96.0056711612589,-8.46083482648093,-7.10224186012821,4.78079035973772,23.4436255027246,-5.54120798197001,-9.6633548480673,2.26387466162299,-4.97530325343918,1.26958530294744,10.5235421856977,80.4784905125609,-30.5606653356246,25.495720676682,49.6561906335178,41.8931538620261
Sensitive / Milanka (since 1999),680.3,1198.65,826.6,1442.4,1438.8,990.5,897.7,1068,923,937.5,698.5,1031,1374.6,1897.8,2073.7,2451.1,3711.8,3291.9,1631.3,3849.38,7061.46,5229.16,5119.09,-,-,-,-,,,,,7121.28,,,,
y-o-y Change % ,,76.1943260326327,-31,74.5,-0.3,-31.2,-9.4,18.9,-13.5,-6.2,-25.4,47.6,33.3,38,9.3,18.19,51.4340500183591,-11.3125707204052,-50.4450317445852,135.970085208116,83.4440870997407,-25.9478917957476,-2.10492698636109,-,-,-,-,,,,,7121.28,,,,
S&P Sri Lanka 20,,,,,,,,,,,,,,,,,,,,,,,3085.33,3263.87,4089.14,3625.69,3496.44,3671.72,3135.18,2936.96,2638.1,4233.25,2635.63,3068.36,4862.1,6157.38
y-o-y Change % ,,,,,,,,,,,,,,,,,,,,,,,-,5.78673918187033,25.2850144154026,-11.333678964281,-3.56483869277296,5.01309903787852,-14.6127700369309,-6.32244400640473,-10.175828067117,60.4658655850802,-37.7397980275202,16.4184654143412,58.4592420706827,26.6403405935707
Total Return Indices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Return Index on ASPI (ASTRI),,,,,,,,,,,,,,,1571.5,2054.3,2998.8,2883.44,1783.55,3944.9,7899.11,7362.83,7037.26,7584.35,9579.23,9079.91,8232.66,8457.09,8066.97,8203.82,9078.65,16423.75,11404.6,14617.77,23067.59,34385.16
y-o-y Change % ,,,,,,,,,,,,,,,47.9,30.72,45.9767317334372,-3.8468720821662,-38.1450628416059,121.182473157467,100.236000912571,-6.78911928052654,-4.4218052026191,7.77419052301606,26.3025836096699,-5.2125275204792,-9.3310396248421,2.726093389014,-4.61293423624438,1.69642381216243,10.6636908172047,80.9052006630942,-30.5603166146587,28.1743331638111,57.8051234901083,49.062645902758
Total Return Index on MPI (MTRI),,,,,,,,,,,,,,,2167.4,2626.05,4077.27,3726.78,1962.51,4506.24,8481.73,6393,6399.41,-,-,-,-,,,,,,,,,
y-o-y Change % ,,,,,,,,,,,,,,,14.2,21.16,55.2624664419946,-8.59619304093179,-47.3403313316053,129.616154822141,88.2218878710411,-24.6262260175695,0.100265915845454,-,-,-,-,,,,,,,,,
