,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,"Q1,2022",2022,2023,2024,2025
CDS Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operational Highlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Accounts (No.),14414,44399,42300,73853,11378,5472,20209,86330,12239,10574,5067,11016,21440,21348,56465,14823,15020,11833,18705,57285,112473,35321,27608,27656,27618,14724,11764,11267,10340,17591,37405,37405,24270,15697,19019,57456
Deposits (No.),16620,116709,145685,269681,63127,41336,90344,218697,60021,42967,24718,62010,95878,104870,200836,71154,106080,72474,43933,363880,519063,126728,98342,54872,97464,94257,97649,119189,129830,112615,329442,329442,203754,174980,229709,154134
Withdrawals (No.),54,2000,2552,2763,2658,1364,935,870,574,494,404,447,471,315,205,212,208,10726,920,204,168,52,12,21,22,16,20,17,9,4,5,0,1,1,15,5
Transfers (No.),156,3443,9302,15727,18909,9206,16913,17012,12189,9802,11201,14110,15349,12877,17872,18535,16981,17326,43151,27293,53926,27966,22005,31486,28605,26759,28177,27135,28197,16850,29437,29437,26823,25395,44140,26113
Trades (No.),12467,100869,232531,404569,186408,98266,207308,330203,206745,160838,160094,283926,484091,647831,1103092,953887,877292,776260,1266299,3355420,4579352,1857384,1196765,1849779,1506790,1013141,981977,885657,1197205,3070021,8131508,8131508,6057233,3618960,3524121,11522465
Market Days (No.),239,242,241,234,240,244,241,240,242,241,240,238,238,242,238,241,241,238,228,238,239,242,242,241,239,240,241,240,241,209,240,58,231,242,240,238
Listed Companies (No.),178,190,201,215,226,235,239,240,239,239,238,238,244,242,239,237,235,235,231,241,272,287,289,294,294,295,296,297,289,283,296,296,290,290,284,288
Participants (No.),25,25,25,25,25,25,26,27,30,31,32,32,32,34,35,37,36,36,37,39,46,46,45,50,52,51,47,45,44,44,44,44,45,46,44,44
Registration Status of Securities Accounts (as at 31st December),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Individuals (No.),,,,132226,135989,139391,154328,232030,241474,249757,252742,260260,274847,290340,334085,343697,353287,361643,371862,410936,492734,519263,540709,560828,581775,592286,599974,607317,613904,626343,652645,661948,669790,680273,693216,737735
Foreign  Individuals (No.),,,,,935,1018,1148,1257,1353,1423,1482,1593,1783,2044,2377,2487,2577,2675,2867,3345,3847,4134,4287,4396,4486,4561,4633,4697,4765,4833,4895,4920,4967,5016,5091,5290
Local Companies (No.),,,,1701,1849,1923,2124,2365,2527,2660,2769,2950,3327,3720,4529,4755,4908,5042,5262,6114,7321,7884,8133,8619,9082,9402,9698,9990,10322,10726,12002,12441,12757,13142,13648,14490
Foreign  Companies (No.),,,,1884,1316,1620,2011,2219,2387,2534,2671,2817,2956,3047,3174,3305,3468,3604,3713,3893,4112,4295,4491,4705,4899,5056,5263,5452,5586,5682,5767,5794,5843,5921,5991,6072
(The above break-up excludes the number of multiple registrations sought by the same client through different participants),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
