LIST OF QUOTED SECURITIES AND ISSUED QUANTITY AS AT 31ST DECEMBER 2012,,,,,
SECURITY ID,NAME,ISSUED QUANTITY,SECURITY ID,COMPANY NAME,ISIN CODE
AAF-N-0000,ASIA ASSET FINANCE LIMITED,559471889,AAF -N-0000,ASIA ASSET FINANCE LIMITED,LK0406N00005
AAIC-N-0000,ASIAN ALLIANCE INSURANCE PLC,37500000,AAIC-N-0000,ASIAN ALLIANCE INSURANCE PLC,LK0314N00001
ABAN-N-0000,ABANS ELECTRICALS PLC,4258800,AAIC-R-0000,ASIAN ALLIANCE INSURANCE PLC,LK0314R00002
ACAP-N-0000,ASIA CAPITAL PLC,110000000,ABAN-B-0000,ABANS ELECTRICALS PLC,LK0001B00009
ACL-N-0000,ACL CABLES PLC,59893680,ABAN-N-0000,ABANS ELECTRICALS PLC,LK0001N00004
ACME-N-0000,ACME PRINTING & PACKAGING PLC,25613280,ABAN-R-0000,ABANS ELECTRICALS PLC,LK0001R00005
AEL-N-0000,ACCESS ENGINEERING LIMITED,1000000000,ACAP-B-0000,ASIA CAPITAL PLC,LK0224B00007
AFSL-N-0000,ABANS FINANCE PLC,37000000,ACAP-N-0000,ASIA CAPITAL PLC,LK0224N00002
AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,25000000,ACL -B-0000,ACL CABLES PLC,LK0011B00008
AGST-N-0000,AGSTAR FERTILIZERS PLC,307526310,ACL -N-0000,ACL CABLES PLC,LK0011N00003
AGST-X-0000,AGSTAR FERTILIZERS PLC,17473690,ACME-N-0000,ACME PRINTING & PACKAGING PLC,LK0002N00002
AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,442775300,ACME-R-0000,ACME PRINTING & PACKAGING PLC,LK0002R00003
AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,336290010,AEL -N-0000,ACCESS ENGINEERING LIMITED,LK0409N00009
ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,2430000,AFSL-N-0000,ABANS FINANCE PLC,LK0388N00005
ALUF-N-0000,ALUFAB PLC,12058200,AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,LK0248N00001
AMCL-N-0000,AMW CAPITAL LEASING AND FINANCE PLC,20000000,AGST-N-0000,AGSTAR FERTILIZERS PLC,LK0408N00001
AMF-N-0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,5608355,AGST-X-0000,AGSTAR FERTILIZERS PLC,LK0408X00000
AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,528457545,AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,LK0341N00004
APLA-N-0000,ACL PLASTICS PLC,4212500,AHUN-B-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003B00005
ARPI-N-0000,ARPICO FINANCE COMPANY PLC,4462500,AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003N00000
ASCO-N-0000,ASCOT HOLDINGS PLC,7985505,AHUN-R-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,LK0003R00001
ASHA-N-0000,ASIRI CENTRAL HOSPITALS PLC,22333957,ALLI-B-0000,ALLIANCE FINANCE COMPANY PLC,LK0005B00000
ASHO-N-0000,LANKA ASHOK LEYLAND PLC,3620843,ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,LK0005N00005
ASIR-N-0000,ASIRI HOSPITAL HOLDINGS PLC,1099092308,ALUF-N-0000,ALUFAB PLC,LK0006N00003
ASIY-N-0000,ASIA SIYAKA COMMODITIES LIMITED,260000000,ALUF-R-0000,ALUFAB PLC,LK0006R00004
ASPH-N-0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,666562,AMCL-N-0000,AMW CAPITAL LEASING AND FINANCE PLC,LK0384N00004
ATL-N-0000,AMANA TAKAFUL PLC,1000000720,AMF -N-0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,LK0387N00007
AUTO-N-0000,THE AUTODROME PLC,1200000,AMSL-B-0000,ASIRI SURGICAL HOSPITAL PLC,LK0344B00003
BALA-N-0000,BALANGODA  PLANTATIONS  PLC,23636363,AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,LK0344N00008
BBH-N-0000,BROWNS BEACH HOTELS PLC,129600000,AMSL-R-0000,ASIRI SURGICAL HOSPITAL PLC,LK0344R00009
BERU-N-0000,BERUWALA RESORTS PLC,600000000,APLA-N-0000,ACL PLASTICS PLC,LK0238N00002
BFL-N-0000,BAIRAHA FARMS PLC,16000000,ARPI-B-0000,ARPICO FINANCE COMPANY PLC,LK0007B00006
BIL-N-0000,BROWNS INVESTMENTS PLC,1860000000,ARPI-N-0000,ARPICO FINANCE COMPANY PLC,LK0007N00001
BINN-N-0000,BERUWELA WALK INN PLC,900000,ARPI-R-0000,ARPICO FINANCE COMPANY PLC,LK0007R00002
BLI-N-0000,BIMPUTH FINANCE PLC,20200002,ASCO-N-0000,ASCOT HOLDINGS PLC,LK0008N00009
BLUE-N-0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,103300891,ASCO-R-0000,ASCOT HOLDINGS PLC,LK0008R00000
BLUE-X-0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,153369800,ASHA-N-0000,ASIRI CENTRAL HOSPITALS PLC,LK0320N00008
BOGA-N-0000,BOGALA GRAPHITE LANKA PLC,47316452,ASHO-B-0000,LANKA ASHOK LEYLAND PLC,LK0109B00000
BOPL-N-0000,BOGAWANTALAWA TEA ESTATES PLC,83750000,ASHO-N-0000,LANKA ASHOK LEYLAND PLC,LK0109N00005
