LIST OF QUOTED SECURITIES AND ISSUED QUANTITY AS AT 31ST DECEMBER 2020,,,
SECURITY ID,NAME                             ,ISSUED QUANTITY,ISIN CODE
AAF/BD/05/10/23-C2455-10,ASIA ASSET FINANCE PLC,4613000,LK0406D24550
AAF/BD/05/10/23-C2456,ASIA ASSET FINANCE PLC,5387000,LK0406D24568
AAF-N-0000,ASIA ASSET FINANCE PLC,124195533,LK0406N00005
AAIC-N-0000,SOFTLOGIC LIFE INSURANCE PLC,375000000,LK0314N00001
ABAN-N-0000,ABANS ELECTRICALS PLC,5110560,LK0001N00004
ABL-N-0000,AMANA BANK PLC,2601446155,LK0424N00008
ABNS/BD/19/12/24-C2436-1,ABANS PLC,2500000,LK0423D24365
ACAP-N-0000,ASIA CAPITAL PLC,131329995,LK0224N00002
ACL-N-0000,ACL CABLES PLC,119787360,LK0011N00003
ACME-N-0000,ACME PRINTING & PACKAGING PLC,41161913,LK0002N00002
AEL/BD/17/11/23-C2325-10,ACCESS ENGINEERING PLC,5400,LK0409D23259
AEL/BD/18/11/21-C2326-10,ACCESS ENGINEERING PLC,10300,LK0409D23267
AEL/BD/18/11/22-C2327-10,ACCESS ENGINEERING PLC,200,LK0409D23275
AEL-N-0000,ACCESS ENGINEERING PLC,1000000000,LK0409N00009
AFSL-N-0000,ABANS FINANCE PLC,66561573,LK0388N00005
AGAL-N-0000,AGALAWATTE  PLANTATIONS  PLC,156250000,LK0248N00001
AGST-N-0000,AGSTAR PLC,307526310,LK0408N00001
AGST-X-0000,AGSTAR PLC,17473690,LK0408X00000
AHPL-N-0000,ASIAN HOTELS AND PROPERTIES PLC,442775300,LK0341N00004
AHUN-N-0000,AITKEN SPENCE HOTEL HOLDINGS PLC,336290010,LK0003N00000
AINS-N-0000,ARPICO INSURANCE PLC,66230407,LK0434N00007
AINV-N-0000,ADAM INVESTMENTS PLC,898552400,LK0428N00009
ALHP-N-0000,ANILANA HOTELS AND PROPERTIES PLC,1281320814,LK0422N00002
ALLI-N-0000,ALLIANCE FINANCE COMPANY PLC,33696000,LK0005N00005
ALUF-N-0000,UNISYST ENGINEERING PLC,22058200,LK0006N00003
ALUM-N-0000,ALUMEX PLC,299302840,LK0427N00001
AMCL-N-0000,AMW CAPITAL LEASING AND FINANCE PLC,20000000,LK0384N00004
AMF-N-0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,5608355,LK0387N00007
AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,528457545,LK0344N00008
APLA-N-0000,ACL PLASTICS PLC,4212500,LK0238N00002
ARPI-N-0000,ARPICO FINANCE COMPANY PLC,7437500,LK0007N00001
ASCO-N-0000,LANKA REALTY INVESTMENTS PLC,211370428,LK0008N00009
ASHO-N-0000,LANKA ASHOK LEYLAND PLC,3620843,LK0109N00005
ASIR-N-0000,ASIRI HOSPITAL HOLDINGS PLC,1137533596,LK0010N00005
ASIY-N-0000,ASIA SIYAKA COMMODITIES LIMITED,260000000,LK0419N00008
ASPH-N-0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,3749411250,LK0089N00009
ASPM-N-0000,AITKEN SPENCE PLANTATION MANAGEMENTS,21300000,LK0421N00004
ATLL-N-0000,AMANA TAKAFUL LIFE PLC,50000000,LK0448N00007
ATL-N-0000,AMANA TAKAFUL PLC,180000130,LK0354N00007
AUTO-N-0000,THE AUTODROME PLC,12000000,LK0015N00004
BALA-N-0000,BALANGODA  PLANTATIONS  PLC,23636363,LK0286N00001
BBH-N-0000,BROWNS BEACH HOTELS PLC,129600000,LK0204N00004
BERU-N-0000,BERUWALA RESORTS PLC,600000000,LK0416N00004
BFL-N-0000,BAIRAHA FARMS PLC,16000000,LK0229N00001
BFN-N-0000,ORIENT FINANCE PLC,211101155,LK0391N00009
BIL-N-0000,BROWNS INVESTMENTS PLC,##############,LK0390N00001
BLI-N-0000,BIMPUTH FINANCE PLC,107733344,LK0383N00006
BLUE-N-0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PL,206601782,LK0193N00009
BLUE-X-0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PL,194633623,LK0193X00008
BOC/BC/21/09/22D8.25,BANK OF CEYLON,18334950,LK0357D22542
BOC/BC/21/09/22E7.42,BANK OF CEYLON,300,LK0357D22559
BOC/BC/24/10/21D13.25,BANK OF CEYLON,11990000,LK0357D20462
BOC/BC/24/10/21E11.12,BANK OF CEYLON,10000,LK0357D20439
BOC/BC/24/10/22F13.25,BANK OF CEYLON,12000000,LK0357D20454
BOC/BC/24/10/23H13.75,BANK OF CEYLON,16000000,LK0357D20470
BOC/BD/05/10/23-C2317-9.,BANK OF CEYLON,11802560,LK0357D23177
BOC/BD/05/10/23-C2321,BANK OF CEYLON,20405480,LK0357D23219
BOC/BD/28/12/21-C2376-13,BANK OF CEYLON,79981764,LK0357D23763
BOC/BD/28/12/21-C2379,BANK OF CEYLON,10200,LK0357D23797
BOC/BD/28/12/24-C2377-12,BANK OF CEYLON,7836,LK0357D23771
BOC/BD/28/12/24-C2378,BANK OF CEYLON,200,LK0357D23789
BOGA-N-0000,BOGALA GRAPHITE LANKA PLC,94632904,LK0194N00007
BOPL/BD/23/07/24-C2424-1,BOGAWANTALAWA TEA ESTATES PLC,3439800,LK0243D24243
BOPL/BD/23/07/25-C2423-1,BOGAWANTALAWA TEA ESTATES PLC,3280100,LK0243D24235
BOPL/BD/23/07/26-C2425-1,BOGAWANTALAWA TEA ESTATES PLC,3280100,LK0243D24250
BOPL-N-0000,BOGAWANTALAWA TEA ESTATES PLC,83750000,LK0243N00002
BPPL-N-0000,B P P L HOLDINGS PLC,306843357,LK0451N00001
BREW-N-0000,CEYLON BEVERAGE HOLDINGS PLC,20988090,LK0026N00001
BRR-N-0000,BANSEI ROYAL RESORTS HIKKADUWA PLC,53728000,LK0426N00003
BRWN-N-0000,BROWN & COMPANY PLC,212625000,LK0018N00008
BUKI-N-0000,BUKIT DARAH PLC,102000000,LK0019N00006
CABO-N-0000,CARGO BOAT DEVELOPMENT COMPANY PLC,18031995,LK0021N00002
CALF-N-0000,DIALOG FINANCE PLC,108783362,LK0397N00006
CARE-N-0000,PRINTCARE PLC,85966670,LK0241N00006
CARG-N-0000,CARGILLS (CEYLON) PLC,257309664,LK0020N00004
CARS-N-0000,CARSON CUMBERBATCH PLC,196386914,LK0022N00000
CCS-N-0000,CEYLON COLD STORES PLC,95040000,LK0027N00009
CDB/BD/03/06/21-C2350-12,CITIZENS DEVELOPMENT BUSINESS FINANC,9983700,LK0368D23505
CDB/BD/03/06/21-C2351,CITIZENS DEVELOPMENT BUSINESS FINANC,16300,LK0368D23513
CDB/BD/09/12/24-C2434-13,CITIZENS DEVELOPMENT BUSINESS FINANC,3879000,LK0368D24347
CDB/BD/09/12/24-C2435-13,CITIZENS DEVELOPMENT BUSINESS FINANC,6873000,LK0368D24354
CDB/BD/27/03/23-C2391-14,CITIZENS DEVELOPMENT BUSINESS FINANC,9330100,LK0368D23919
CDB/BD/27/03/23-C2392-13,CITIZENS DEVELOPMENT BUSINESS FINANC,10669900,LK0368D23927
CDB/BD/30/01/24-C2413-15,CITIZENS DEVELOPMENT BUSINESS FINANC,2591800,LK0368D24131
CDB/BD/30/01/24-C2414-15,CITIZENS DEVELOPMENT BUSINESS FINANC,6685900,LK0368D24149
CDB-N-0000,CITIZENS DEVELOPMENT BUSINESS FINANC,59449080,LK0368N00007
CDB-X-0000,CITIZENS DEVELOPMENT BUSINESS FINANC,10343668,LK0368X00006
CERA-N-0000,LANKA CERAMIC PLC,6000000,LK0206N00009
CFI-N-0000,COLOMBO FORT INVESTMENTS PLC,6910041,LK0048N00005
CFIN-N-0000,CENTRAL FINANCE COMPANY PLC,224024987,LK0023N00008
CFLB-N-0000,THE COLOMBO FORT LAND AND BUILDING,220336805,LK0049N00003
CFT-N-0000,CEYLON AND FOREIGN TRADES PLC,140196000,LK0025N00003
CFVF-N-0000,FIRST CAPITAL HOLDINGS PLC,101250000,LK0222N00006
CHL-N-0000,CEYLON HOSPITALS PLC,25527272,LK0338N00000
CHL-X-0000,CEYLON HOSPITALS PLC,8345454,LK0338X00009
CHMX-N-0000,CHEMANEX PLC,15707312,LK0044N00004
CHOT-N-0000,CEYLON HOTELS CORPORATION PLC,180030942,LK0032N00009
CHOU-N-0000,CITY HOUSING & REAL ESTATE COMPANY,13379850,LK0177N00002
CIC-N-0000,C I C HOLDINGS PLC,72900000,LK0045N00001
CIC-X-0000,C I C HOLDINGS PLC,21870000,LK0045X00000
CIND-N-0000,CENTRAL INDUSTRIES PLC,20698110,LK0185N00005
CINS-N-0000,CEYLINCO INSURANCE PLC,20000000,LK0176N00004
CINS-X-0000,CEYLINCO INSURANCE PLC,6414480,LK0176X00003
CINV-N-0000,CEYLON INVESTMENT PLC,101338041,LK0033N00007
CITH-N-0000,HIKKADUWA BEACH RESORT PLC,284898354,LK0420N00006
CIT-N-0000,COLOMBO INVESTMENT TRUST PLC,6843044,LK0172N00003
CITW-N-0000,WASKADUWA BEACH RESORT PLC,559857096,LK0405N00007
