Public Holding 2015 Q1 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY ID,PUBLIC FLOAT
2015-1,ASIA CAPITAL PLC,ACAP.N0000,0.0671
2015-1,AGSTAR PLC,AGST.N0000,0.1659
2015-1,AGSTAR PLC,AGST.X0000,0.0001
2015-1,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,0.0981
2015-1,ACL PLASTICS PLC,APLA.N0000,0.3387
2015-1,LANKA CERAMIC PLC,CERA.N0000,0.1957
2015-1,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,0.6005
2015-1,C I C HOLDINGS PLC,CIC.X0000,0.9613
2015-1,C I C HOLDINGS PLC,CIC.N0000,0.466
2015-1,CENTRAL INDUSTRIES PLC,CIND.N0000,0.4673
2015-1,C T LAND DEVELOPMENT PLC,CTLD.N0000,0.2471
2015-1,E B CREASY & COMPANY PLC,EBCR.N0000,0.2584
2015-1,GESTETNER OF CEYLON PLC,GEST.N0000,0.1824
2015-1,HNB ASSURANCE PLC,HASU.N0000,0.3914
2015-1,HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0.0648
2015-1,KAHAWATTE  PLANTATIONS  PLC,KAHA.N0000,0.2048
2015-1,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,0.2757
2015-1,KALAMAZOO SYSTEMS PLC,KZOO.N0000,0.5782
2015-1,MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,0.486
2015-1,BRAC LANKA FINANCE PLC,NIFL.N0000,0.0565
2015-1,PAN ASIA BANKING CORPORATION PLC,PABC.N0000,0.5431
2015-1,PALM GARDEN HOTELS PLC,PALM.N0000,0.286
2015-1,SWISSTEK (CEYLON) PLC,PARQ.N0000,0.3669
2015-1,RENUKA AGRI FOODS PLC,RAL.N0000,0.3535
2015-1,RENUKA CITY HOTELS PLC.,RENU.N0000,0.2791
2015-1,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,0.9589
2015-1,S M B LEASING PLC,SEMB.X0000,0.9232
2015-1,S M B LEASING PLC,SEMB.N0000,0.539
2015-1,SHALIMAR (MALAY) PLC.,SHAL.N0000,0.0073
2015-1,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,0.164
2015-1,SIERRA CABLES PLC,SIRA.N0000,0.3757
2015-1,SUNSHINE HOLDINGS PLC,SUN.N0000,0.0993
2015-1,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,0.255
2015-1,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,1
2015-1,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,0.3303
2015-1,UNION CHEMICALS LANKA PLC,UCAR.N0000,0.257
2015-1,WATAWALA  PLANTATIONS  PLC,WATA.N0000,0.2435
2015-1,ACME PRINTING & PACKAGING PLC,ACME.N0000,0.4701
2015-1,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,0.2492
2015-1,ARPICO INSURANCE PLC,AINS.N0000,0.101
2015-1,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,0.2631
2015-1,ARPICO FINANCE COMPANY PLC,ARPI.N0000,0.0633
2015-1,ASCOT HOLDINGS PLC,ASCO.N0000,0.6069
2015-1,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,0.223
2015-1,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.333
2015-1,RIVERINA HOTELS PLC,BHR.N0000,0.2549
2015-1,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.892
2015-1,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.7431
2015-1,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,0.3349
2015-1,COLOMBO TRUST FINANCE PLC,CALF.N0000,0.1448
2015-1,CARSON CUMBERBATCH PLC,CARS.N0000,0.1441
2015-1,CHILAW FINANCE PLC,CFL.N0000,0.144
2015-1,CHEMANEX PLC,CHMX.N0000,0.3628
2015-1,CITY HOUSING & REAL ESTATE COMPANY PLC,CHOU.N0000,0.464
2015-1,CENTRAL INVESTMENTS AND FINANCE PLC,CIFL.N0000,0.7746
2015-1,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,0.1207
2015-1,WASKADUWA BEACH RESORT PLC,CITW.N0000,0.1679
2015-1,COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,0.1076
2015-1,AMAYA LEISURE PLC,CONN.N0000,0.2046
2015-1,CEYLON PRINTERS PLC,CPRT.N0000,0.4835
