Public Holding 2016 Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY NAME,SECURITY,PUBLIC FLOAT
2016-3, MULTI FINANCE  PLC,MFL.N0000,0.1433
2016-3,A I A INSURANCE LANKA PLC,CTCE.N0000,0.0284
2016-3,ABANS ELECTRICALS PLC,ABAN.N0000,0.4052
2016-3,ABANS FINANCE PLC,AFSL.N0000,0.1013
2016-3,ACCESS ENGINEERING PLC,AEL.N0000,0.3792
2016-3,ACL CABLES PLC,ACL.N0000,0.3734
2016-3,ACL PLASTICS PLC,APLA.N0000,0.3388
2016-3,ACME PRINTING & PACKAGING PLC,ACME.N0000,0.4912
2016-3,ADAM CAPITAL PLC,PCHH.N0000,0.4115
2016-3,ADAM INVESTMENTS PLC,AINV.N0000,0.1164
2016-3,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,0.2492
2016-3,AGSTAR PLC,AGST.X0000,0.0001
2016-3,AGSTAR PLC,AGST.N0000,0.1617
2016-3,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,0.254
2016-3,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,0.1178
2016-3,AITKEN SPENCE PLC,SPEN.N0000,0.3591
2016-3,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.5373
2016-3,ALUFAB PLC,ALUF.N0000,0.3738
2016-3,ALUMEX PLC,ALUM.N0000,0.1734
2016-3,AMANA BANK PLC,ABL.N0000,0.3132
2016-3,AMANA TAKAFUL PLC,ATL.N0000,0.2373
2016-3,AMAYA LEISURE PLC,CONN.N0000,0.2047
2016-3,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2016-3,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.3032
2016-3,ARPICO FINANCE COMPANY PLC,ARPI.N0000,0.0597
2016-3,ARPICO INSURANCE PLC,AINS.N0000,0.101
2016-3,ASCOT HOLDINGS PLC,ASCO.N0000,0.6005
2016-3,ASIA ASSET FINANCE PLC,AAF.N0000,0.2768
2016-3,ASIA CAPITAL PLC,ACAP.N0000,0.0513
2016-3,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,0.3389
2016-3,ASIAN ALLIANCE INSURANCE PLC,AAIC.N0000,0.0277
2016-3,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,0.2144
2016-3,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,0.0068
2016-3,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,0.2026
2016-3,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,0.2631
2016-3,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,0.0983
2016-3,BAIRAHA FARMS PLC,BFL.N0000,0.5365
2016-3,BALANGODA  PLANTATIONS  PLC,BALA.N0000,0.4139
2016-3,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,0.1
