Public Holding 2020Q2 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2020-2, MULTI FINANCE  PLC,MFL.N0000,0.352
2020-2,A I A INSURANCE LANKA PLC,CTCE.N0000,0.0284
2020-2,ABANS ELECTRICALS PLC,ABAN.N0000,0.4719
2020-2,ABANS FINANCE PLC,AFSL.N0000,0.081
2020-2,ABANS PLC,ABNS.N0000,0
2020-2,ACCESS ENGINEERING PLC,AEL.N0000,0.4501
2020-2,ACL CABLES PLC,ACL.N0000,0.3734
2020-2,ACL PLASTICS PLC,APLA.N0000,0.3387
2020-2,ACME PRINTING & PACKAGING PLC,ACME.N0000,0.4912
2020-2,ADAM CAPITAL PLC,PCHH.N0000,0
2020-2,ADAM INVESTMENTS PLC,AINV.N0000,0
2020-2,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,0.3878
2020-2,AGSTAR PLC,AGST.N0000,0.1609
2020-2,AGSTAR PLC,AGST.X0000,0.0001
2020-2,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,0.254
2020-2,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,0.1178
2020-2,AITKEN SPENCE PLC,SPEN.N0000,0.4569
2020-2,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.5368
2020-2,ALUMEX PLC,ALUM.N0000,0.1556
2020-2,AMANA BANK PLC,ABL.N0000,0.4288
2020-2,AMANA TAKAFUL LIFE PLC,ATLL.N0000,0.177
2020-2,AMANA TAKAFUL PLC,ATL.N0000,0.3966
2020-2,AMAYA LEISURE PLC,CONN.N0000,0.2094
2020-2,AMBEON CAPITAL PLC,TAP.N0000,0.0262
2020-2,AMBEON HOLDINGS PLC,GREG.N0000,0.1833
2020-2,AMBEON HOLDINGS PLC,GREG.W0006,0.6943
2020-2,AMBEON HOLDINGS PLC,GREG.W0003,0.0804
2020-2,AMBEON HOLDINGS PLC,GREG.W0001,0.0497
2020-2,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2020-2,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.2357
2020-2,ARPICO FINANCE COMPANY PLC,ARPI.N0000,0.0597
2020-2,ARPICO INSURANCE PLC,AINS.N0000,0.1001
2020-2,ASIA ASSET FINANCE PLC,AAF.N0000,0.27
2020-2,ASIA CAPITAL PLC,ACAP.N0000,0.1859
2020-2,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,0.3412
2020-2,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,0.2144
2020-2,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,0.0068
2020-2,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,0.1864
2020-2,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,0.2146
2020-2,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,0.1024
2020-2,B P P L HOLDINGS PLC ,BPPL.N0000,0.1
2020-2,BAIRAHA FARMS PLC,BFL.N0000,0.6197
2020-2,BALANGODA  PLANTATIONS  PLC,BALA.N0000,0.4137
2020-2,BANK OF CEYLON,BOC.N0000,0
2020-2,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,0.1
2020-2,BERUWALA RESORTS PLC,BERU.N0000,0.1226
2020-2,BERUWELA WALK INN PLC,BINN.N0000,0.065
2020-2,BIMPUTH FINANCE PLC,BLI.N0000,0.1001
2020-2,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.8226
2020-2,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,1
2020-2,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,0.1009
2020-2,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,0.1013
2020-2,BROWN & COMPANY PLC,BRWN.N0000,0.1644
2020-2,BROWNS BEACH HOTELS PLC,BBH.N0000,0.0922
2020-2,BROWNS CAPITAL PLC,FLCH.N0000,0.176
2020-2,BROWNS INVESTMENTS PLC,BIL.N0000,0.2126
2020-2,BUKIT DARAH PLC,BUKI.N0000,0.2304
2020-2,C I C HOLDINGS PLC,CIC.N0000,0.4662
2020-2,C I C HOLDINGS PLC,CIC.X0000,0.8906
2020-2,C M HOLDINGS PLC,COLO.N0000,0.2874
2020-2,C T HOLDINGS PLC,CTHR.N0000,0.37
2020-2,C T LAND DEVELOPMENT PLC,CTLD.N0000,0.1736
2020-2,C. W. MACKIE PLC,CWM.N0000,0.1101
2020-2,CARGILLS (CEYLON) PLC,CARG.N0000,0.2065
2020-2,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,0.2405
2020-2,CARSON CUMBERBATCH PLC,CARS.N0000,0.1441
