"Public Holding Q4, 2021  (DATA as per latest CSE records)",,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2021-4,A I A INSURANCE LANKA PLC,CTCE.N0000,2.84%
2021-4,ABANS ELECTRICALS PLC,ABAN.N0000,46.54%
2021-4,ABANS FINANCE PLC,AFSL.N0000,8.1%
2021-4,ABANS PLC,ABNS.N0000,0%
2021-4,ACCESS ENGINEERING PLC,AEL.N0000,43.23%
2021-4,ACL CABLES PLC,ACL.N0000,37.17%
2021-4,ACL PLASTICS PLC,APLA.N0000,33.88%
2021-4,ACME PRINTING & PACKAGING PLC,ACME.N0000,49.12%
2021-4,ADAM CAPITAL PLC,PCHH.N0000,0%
2021-4,ADAM INVESTMENTS PLC,AINV.N0000,0%
2021-4,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,6.21%
2021-4,AGSTAR PLC,AGST.X0000,.01%
2021-4,AGSTAR PLC,AGST.N0000,16.07%
2021-4,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.39%
2021-4,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,11.78%
2021-4,AITKEN SPENCE PLC,SPEN.N0000,45.68%
2021-4,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,53.6%
2021-4,ALUMEX PLC,ALUM.N0000,15.54%
2021-4,AMANA BANK PLC,ABL.N0000,42.88%
2021-4,AMANA TAKAFUL LIFE PLC,ATLL.N0000,17.7%
2021-4,AMANA TAKAFUL PLC,ATL.N0000,39.65%
2021-4,AMBEON CAPITAL PLC,TAP.N0000,2.62%
2021-4,AMBEON HOLDINGS PLC,GREG.W0006,69.43%
2021-4,AMBEON HOLDINGS PLC,GREG.W0003,8.04%
2021-4,AMBEON HOLDINGS PLC,GREG.W0001,4.97%
2021-4,AMBEON HOLDINGS PLC,GREG.N0000,18.33%
2021-4,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2021-4,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,22.57%
2021-4,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.97%
2021-4,ARPICO INSURANCE PLC,AINS.N0000,10%
2021-4,ASIA ASSET FINANCE PLC,AAF.N0000,26.97%
2021-4,ASIA CAPITAL PLC,ACAP.N0000,18.59%
2021-4,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,34.12%
2021-4,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2021-4,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,.68%
2021-4,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,18.64%
2021-4,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,21.46%
2021-4,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,11.04%
2021-4,B P P L HOLDINGS PLC ,BPPL.N0000,10%
2021-4,BAIRAHA FARMS PLC,BFL.N0000,61.48%
2021-4,BALANGODA  PLANTATIONS  PLC,BALA.N0000,41.37%
2021-4,BANK OF CEYLON,BOC.N0000,0%
2021-4,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10%
2021-4,BERUWALA RESORTS PLC,BERU.N0000,12.38%
2021-4,BERUWELA WALK INN PLC,BINN.N0000,6.5%
2021-4,BIMPUTH FINANCE PLC,BLI.N0000,10.03%
2021-4,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,100%
2021-4,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,82.26%
2021-4,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,10.09%
2021-4,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,10.15%
2021-4,BROWN & COMPANY PLC,BRWN.N0000,16.44%
2021-4,BROWNS BEACH HOTELS PLC,BBH.N0000,9.22%
2021-4,BROWNS CAPITAL PLC,FLCH.N0000,17.6%
2021-4,BROWNS INVESTMENTS PLC,BIL.N0000,21.26%
2021-4,BUKIT DARAH PLC,BUKI.N0000,23.04%
2021-4,C I C HOLDINGS PLC,CIC.X0000,89.06%
2021-4,C I C HOLDINGS PLC,CIC.N0000,46.62%
2021-4,C M HOLDINGS PLC,COLO.N0000,28.74%
2021-4,C T HOLDINGS PLC,CTHR.N0000,37.53%
2021-4,C T LAND DEVELOPMENT PLC,CTLD.N0000,17.36%
2021-4,C. W. MACKIE PLC,CWM.N0000,11.01%
2021-4,CARGILLS (CEYLON) PLC,CARG.N0000,20.54%
2021-4,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,24.05%
2021-4,CARSON CUMBERBATCH PLC,CARS.N0000,14.41%
2021-4,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,63.1%
2021-4,CENTRAL INDUSTRIES PLC,CIND.N0000,46.73%
2021-4,CENTRAL INVESTMENTS AND FINANCE PLC,CIFL.N0000,0%
2021-4,CEYLINCO INSURANCE PLC,CINS.X0000,43.28%
2021-4,CEYLINCO INSURANCE PLC,CINS.N0000,83.54%
2021-4,CEYLON AND FOREIGN TRADES PLC,CFT.N0000,0%
2021-4,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,24.6%
2021-4,CEYLON COLD STORES PLC,CCS.N0000,18.56%
2021-4,CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,54.54%
2021-4,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,32.71%
2021-4,CEYLON HOSPITALS PLC,CHL.N0000,23.56%
2021-4,CEYLON HOSPITALS PLC,CHL.X0000,95.22%
2021-4,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,28.62%
2021-4,CEYLON INVESTMENT PLC,CINV.N0000,34.06%
2021-4,CEYLON LEATHER PRODUCTS PLC,CLPL.W0014,26.35%
2021-4,CEYLON LEATHER PRODUCTS PLC,CLPL.N0000,0%
2021-4,CEYLON LEATHER PRODUCTS PLC,CLPL.W0013,26.35%
2021-4,CEYLON PRINTERS PLC,CPRT.N0000,85.51%
2021-4,CEYLON TEA BROKERS PLC,CTBL.N0000,15.23%
2021-4,CEYLON TOBACCO COMPANY PLC,CTC.N0000,15.87%
2021-4,CHEMANEX PLC,CHMX.N0000,36.25%
2021-4,CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000,49%
2021-4,CHILAW FINANCE PLC,CFL.N0000,9.99%
2021-4,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,86.78%
2021-4,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,45.15%
2021-4,CITRUS LEISURE PLC,REEF.W0019,62.23%
2021-4,CITRUS LEISURE PLC,REEF.W0018,62.23%
2021-4,CITRUS LEISURE PLC,REEF.N0000,13.95%
2021-4,CITY HOUSING & REAL ESTATE COMPANY PLC,CHOU.N0000,47.81%
2021-4,COLOMBO CITY HOLDINGS PLC,PHAR.N0000,22.37%
2021-4,COLOMBO DOCKYARD PLC,DOCK.N0000,48.94%
2021-4,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,18.35%
2021-4,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,9.98%
2021-4,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,38.62%
2021-4,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,99.73%
