Public Holding 2022Q3 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2022-3,ASIA ASSET FINANCE PLC,AAF.N0000,0.2708
2022-3,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,0.1023
2022-3,ABANS ELECTRICALS PLC,ABAN.N0000,0.4229
2022-3,AMANA BANK PLC,ABL.N0000,0.3644
2022-3,ASIA CAPITAL PLC,ACAP.N0000,0.2822
2022-3,ACL CABLES PLC,ACL.N0000,0.3734
2022-3,ACME PRINTING & PACKAGING PLC,ACME.N0000,0.2014
2022-3,ACCESS ENGINEERING PLC,AEL.N0000,0.4013
2022-3,ABANS FINANCE PLC,AFSL.N0000,0.081
2022-3,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,0.2
2022-3,AGSTAR PLC,AGST.N0000,0.1956
2022-3,AGSTAR PLC,AGST.X0000,0.0001
2022-3,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,0.2144
2022-3,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,0.2541
2022-3,ARPICO INSURANCE PLC,AINS.N0000,0.1001
2022-3,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,0.2104
2022-3,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,0.5164
2022-3,UNISYST ENGINEERING PLC,ALUF.N0000,0.3695
2022-3,ALUMEX PLC,ALUM.N0000,0.228
2022-3,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,0.1
2022-3,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,0.3111
2022-3,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,0.2004
2022-3,ACL PLASTICS PLC,APLA.N0000,0.3388
2022-3,ARPICO FINANCE COMPANY PLC,ARPI.N0000,0.0597
2022-3,LANKA REALTY INVESTMENTS PLC ,ASCO.N0000,0.3031
2022-3,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,0.0068
2022-3,LANKA ASHOK LEYLAND PLC,ASHO.N0000,0.3038
2022-3,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,0.1476
2022-3,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,0.4038
2022-3,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.5176
2022-3,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,0.1178
2022-3,AMANA TAKAFUL PLC,ATL.N0000,0.9214
2022-3,AMANA TAKAFUL LIFE PLC,ATLL.N0000,0.1054
2022-3,THE AUTODROME PLC,AUTO.N0000,0.2109
2022-3,BALANGODA  PLANTATIONS  PLC,BALA.N0000,0.4137
2022-3,BROWNS BEACH HOTELS PLC,BBH.N0000,0.0922
2022-3,BERUWALA RESORTS PLC,BERU.N0000,0.1527
2022-3,BAIRAHA FARMS PLC,BFL.N0000,0.6376
2022-3,ORIENT FINANCE PLC,BFN.N0000,0.0614
2022-3,RIVERINA HOTELS PLC,BHR.N0000,0.2549
2022-3,BROWNS INVESTMENTS PLC,BIL.N0000,0.1899
2022-3,BERUWELA WALK INN PLC,BINN.N0000,0.065
2022-3,BIMPUTH FINANCE PLC,BLI.N0000,0.1667
2022-3,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.8113
2022-3,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,1
2022-3,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,0.1345
2022-3,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,0.1015
2022-3,B P P L HOLDINGS PLC ,BPPL.N0000,0.137
2022-3,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,0.2429
2022-3,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,0.1
2022-3,BROWN & COMPANY PLC,BRWN.N0000,0.1644
2022-3,BUKIT DARAH PLC,BUKI.N0000,0.2299
2022-3,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,0.3688
2022-3,DIALOG FINANCE PLC,CALF.N0000,0.0095
2022-3,CAPITAL ALLIANCE PLC,CALT.N0000,0.1205
2022-3,PRINTCARE PLC,CARE.N0000,0.3506
2022-3,CARGILLS (CEYLON) PLC,CARG.N0000,0.1865
2022-3,CARSON CUMBERBATCH PLC,CARS.N0000,0.1428
2022-3,CEYLON COLD STORES PLC,CCS.N0000,0.1855
2022-3,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,0.442
2022-3,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,0.8388
2022-3,N D B CAPITAL HOLDINGS PLC,CDIC.N0000,0.0038
2022-3,LANKA CERAMIC PLC,CERA.N0000,0.1326
2022-3,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,0.1521
2022-3,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,0.6359
2022-3,CHILAW FINANCE PLC,CFL.N0000,0.0999
2022-3,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,0.3364
2022-3,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,0.1686
2022-3,CEYLON HOSPITALS PLC,CHL.N0000,0.2337
2022-3,CEYLON HOSPITALS PLC,CHL.X0000,0.5066
2022-3,CHEMANEX PLC,CHMX.N0000,0.3625
2022-3,CEYLON HOTELS CORPORATION PLC,CHOT.N0000,0.2249
2022-3,CITY HOUSING & REAL ESTATE COMPANY PLC,CHOU.N0000,0.4781
2022-3,C I C HOLDINGS PLC,CIC.N0000,0.4668
2022-3,C I C HOLDINGS PLC,CIC.X0000,0.965
2022-3,CENTRAL INDUSTRIES PLC,CIND.N0000,0.4672
2022-3,CEYLINCO INSURANCE PLC,CINS.N0000,0.8354
2022-3,CEYLINCO INSURANCE PLC,CINS.X0000,0.9624
2022-3,CEYLON INVESTMENT PLC,CINV.N0000,0.3406
2022-3,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,0.1
2022-3,HIKKADUWA BEACH RESORT PLC,CITH.N0000,0.1566
2022-3,KALPITIYA BEACH RESORT PLC,CITK.N0000,0.2782
2022-3,WASKADUWA BEACH RESORT PLC,CITW.N0000,0.1717
2022-3,LOLC FINANCE PLC,CLC.N0000,0.0178
2022-3,COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,0.3852
2022-3,CEYLON LEATHER PRODUCTS PLC,CLPL.W0013,0.2635
2022-3,CEYLON LEATHER PRODUCTS PLC,CLPL.W0014,0.2635
2022-3,RENUKA FOODS PLC,COCO.N0000,0.2556
2022-3,RENUKA FOODS PLC,COCO.X0000,0.6889
2022-3,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,0.1112
2022-3,C M HOLDINGS PLC,COLO.N0000,0.2893
2022-3,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,0.998
2022-3,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,0.9988
2022-3,COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,0.1
2022-3,HAYLEYS LEISURE PLC,CONN.N0000,0.3234
2022-3,CO-OPERATIVE INSURANCE COMPANY PLC,COOP.N0000,0.1032
2022-3,CEYLON PRINTERS PLC,CPRT.N0000,0.9652
2022-3,SOFTLOGIC FINANCE PLC,CRL.N0000,0.0417
2022-3,SEYLAN DEVELOPMENTS PLC,CSD.N0000,0.2946
2022-3,JANASHAKTHI PLC,CSEC.N0000,0.0192
2022-3,NATION LANKA FINANCE PLC,CSF.N0000,0.3
2022-3,NATION LANKA FINANCE PLC,CSF.W0021,0.5671
2022-3,CEYLON TEA BROKERS PLC,CTBL.N0000,0.1529
2022-3,CEYLON TOBACCO COMPANY PLC,CTC.N0000,0.1587
2022-3,A I A INSURANCE LANKA PLC,CTCE.N0000,0.0284
2022-3,DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,0.1214
2022-3,C T HOLDINGS PLC,CTHR.N0000,0.3493
2022-3,C T LAND DEVELOPMENT PLC,CTLD.N0000,0.1557
2022-3,C. W. MACKIE PLC,CWM.N0000,0.1144
2022-3,DFCC BANK PLC,DFCC.N0000,0.6702
2022-3,DIALOG AXIATA PLC,DIAL.N0000,0.172
2022-3,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,0.5317
2022-3,DIPPED PRODUCTS PLC,DIPD.N0000,0.4101
2022-3,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,0.0327
