Public Holding 2024Q4(DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2024-04,ASIA ASSET FINANCE PLC,AAF.N0000,27.02%
2024-04,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,10.6%
2024-04,ABANS ELECTRICALS PLC,ABAN.N0000,37.64%
2024-04,AMANA BANK PLC,ABL.N0000,39.69%
2024-04,ASIA CAPITAL PLC,ACAP.N0000,28.37%
2024-04,ACL CABLES PLC,ACL.N0000,37.17%
2024-04,ACME PRINTING & PACKAGING PLC,ACME.N0000,20.66%
2024-04,ACCESS ENGINEERING PLC,AEL.N0000,39.06%
2024-04,ABANS FINANCE PLC,AFSL.N0000,7.58%
2024-04,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,20%
2024-04,AGARAPATANA PLANTATIONS PLC,AGPL.N0000,24.06%
2024-04,AGSTAR PLC,AGST.N0000,30.15%
2024-04,AGSTAR PLC,AGST.X0000,.01%
2024-04,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2024-04,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.45%
2024-04,ARPICO INSURANCE PLC,AINS.N0000,10.01%
2024-04,ADAM INVESTMENTS PLC,AINV.N0000,0%
2024-04,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,21.04%
2024-04,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,35.34%
2024-04,UNISYST ENGINEERING PLC,ALUF.N0000,5.67%
2024-04,ALUMEX PLC,ALUM.N0000,25.6%
2024-04,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2024-04,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,31.17%
2024-04,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,20.04%
2024-04,ACL PLASTICS PLC,APLA.N0000,33.87%
2024-04,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.97%
2024-04,LANKA REALTY INVESTMENTS PLC ,ASCO.N0000,63.51%
2024-04,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,.68%
2024-04,LANKA ASHOK LEYLAND PLC,ASHO.N0000,30.38%
2024-04,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,14.67%
2024-04,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,40.48%
2024-04,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,51.72%
2024-04,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,.01%
2024-04,AMANA TAKAFUL PLC,ATL.N0000,97.46%
2024-04,AMANA TAKAFUL LIFE PLC,ATLL.N0000,13.7%
2024-04,THE AUTODROME PLC,AUTO.N0000,20.38%
2024-04,BALANGODA  PLANTATIONS  PLC,BALA.N0000,25.39%
2024-04,BROWNS BEACH HOTELS PLC,BBH.N0000,9.22%
2024-04,BERUWALA RESORTS PLC,BERU.N0000,15.48%
2024-04,BAIRAHA FARMS PLC,BFL.N0000,63.75%
2024-04,ORIENT FINANCE PLC,BFN.N0000,6.14%
2024-04,RIVERINA HOTELS PLC,BHR.N0000,25.49%
2024-04,BROWNS INVESTMENTS PLC,BIL.N0000,19.64%
2024-04,BERUWELA WALK INN PLC,BINN.N0000,6.5%
2024-04,BIMPUTH LANKA INVESTMENTS PLC,BLI.N0000,16.67%
2024-04,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,55.97%
2024-04,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,100%
2024-04,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,13.54%
2024-04,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,9.98%
2024-04,B P P L HOLDINGS PLC ,BPPL.N0000,13.7%
2024-04,CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,24.29%
2024-04,BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10%
2024-04,BROWN & COMPANY PLC,BRWN.N0000,16.44%
2024-04,BUKIT DARAH PLC,BUKI.N0000,22.99%
2024-04,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,39.08%
2024-04,DIALOG FINANCE PLC,CALF.N0000,.95%
2024-04,CAPITAL ALLIANCE PLC,CALT.N0000,12.16%
2024-04,PRINTCARE PLC,CARE.N0000,35.05%
2024-04,CARGILLS (CEYLON) PLC,CARG.N0000,17.42%
2024-04,CARSON CUMBERBATCH PLC,CARS.N0000,14.08%
2024-04,CARGILLS BANK PLC,CBNK.N0000,39.14%
2024-04,CEYLON COLD STORES PLC,CCS.N0000,18.55%
2024-04,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,45.17%
2024-04,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,82.88%
2024-04,N D B CAPITAL HOLDINGS PLC,CDIC.N0000,.38%
2024-04,LANKA CERAMIC PLC,CERA.N0000,13.26%
2024-04,COLOMBO FORT INVESTMENTS PLC,CFI.N0000,15.2%
2024-04,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,63.59%
2024-04,CHILAW FINANCE PLC,CFL.N0000,9.99%
2024-04,THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,33.02%
2024-04,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,16.98%
2024-04,CEYLON HOSPITALS PLC,CHL.N0000,21.11%
2024-04,CEYLON HOSPITALS PLC,CHL.X0000,50.28%
