Public Holding 2025 Q4 (DATA as per latest CSE records),,,
QUARTER,COMPANY_NAME,SECURITY,PUBLIC_FLOAT
2025-04,ASIA ASSET FINANCE PLC,AAF.N0000,26.99%
2025-04,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,12.16%
2025-04,ABANS ELECTRICALS PLC,ABAN.N0000,37.64%
2025-04,AMANA BANK PLC,ABL.N0000,44.66%
2025-04,ASIA CAPITAL PLC,ACAP.N0000,10.11%
2025-04,ACL CABLES PLC,ACL.N0000,37.92%
2025-04,ACME PRINTING & PACKAGING PLC,ACME.N0000,25.14%
2025-04,ACCESS ENGINEERING PLC,AEL.N0000,38.25%
2025-04,ABANS FINANCE PLC,AFSL.N0000,7.58%
2025-04,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,20%
2025-04,AGARAPATANA PLANTATIONS PLC,AGPL.N0000,35.3%
2025-04,AGSTAR PLC,AGST.N0000,30.15%
2025-04,AGSTAR PLC,AGST.X0000,2.44%
2025-04,ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,21.44%
2025-04,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,25.45%
2025-04,ARPICO INSURANCE PLC,AINS.N0000,10.01%
2025-04,ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,21.04%
2025-04,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,35.33%
2025-04,UNISYST ENGINEERING PLC,ALUF.N0000,5.67%
2025-04,ALUMEX PLC,ALUM.N0000,39%
2025-04,AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,10%
2025-04,ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,31.17%
2025-04,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,20.04%
2025-04,ACL PLASTICS PLC,APLA.N0000,33.87%
2025-04,ARPICO FINANCE COMPANY PLC,ARPI.N0000,5.97%
2025-04,LANKA REALTY INVESTMENTS PLC ,ASCO.N0000,60.27%
2025-04,ASIRI CENTRAL HOSPITALS PLC,ASHA.N0000,.68%
