 Debt Trading Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997-01-01 00:00:00,1997-02-01 00:00:00,1997-03-01 00:00:00,1997-04-01 00:00:00,1997-05-01 00:00:00,1997-06-01 00:00:00,1997-07-01 00:00:00,1997-08-01 00:00:00,1997-09-01 00:00:00,1997-10-01 00:00:00,1997-11-01 00:00:00,1997-12-01 00:00:00,1998-01-01 00:00:00,1998-02-01 00:00:00,1998-03-01 00:00:00,1998-04-01 00:00:00,1998-05-01 00:00:00,1998-06-01 00:00:00,1998-07-01 00:00:00,1998-08-01 00:00:00,1998-09-01 00:00:00,1998-10-01 00:00:00,1998-11-01 00:00:00,1998-12-01 00:00:00,1999-01-01 00:00:00,1999-02-01 00:00:00,1999-03-01 00:00:00,1999-04-01 00:00:00,1999-05-01 00:00:00,1999-06-01 00:00:00,1999-07-01 00:00:00,1999-08-01 00:00:00,1999-09-01 00:00:00,1999-10-01 00:00:00,1999-11-01 00:00:00,1999-12-01 00:00:00,2000-01-01 00:00:00,2000-02-01 00:00:00,2000-03-01 00:00:00,2000-04-01 00:00:00,2000-05-01 00:00:00,2000-06-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-09-01 00:00:00,2000-10-01 00:00:00,2000-11-01 00:00:00,2000-12-01 00:00:00,2001-01-01 00:00:00,2001-02-01 00:00:00,2001-03-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00,2001-08-01 00:00:00,2001-09-01 00:00:00,2001-10-01 00:00:00,2001-11-01 00:00:00,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
Corporate Debt Trading Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Market Closed Due To COVID -19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover (Rs.),18050925,770000,1070025,1481250,371850,2657100,1256950,584600,9038200,18284625,2444050,1193025,81316420,12460132,55278924,6581490,15722583,8418588,40089142,6210335,17508393,17283627,49732387,10210017,188974361,59721842,25811572,14159141,10291981,9428570,11725797,9824595,12554715,14286420,16873680,176902282,95552377,70374830,18779582,35207775,28409650,27098023,5116218,5886024,946504022,40204232,2267439,1782277,3988220,1625958,88153195,2556949,2641304,12284325,5336610,16841505,6393986,3036394,3995946,5078860,16774902,87437122,12652087,120071145,24115963,11238677,14005959,10267801,10694010,10745411,15239512,7413061,20882392,9419630,11495917,21043313,7661898,51844860,28654802,26334668,7348150,12067642,4978192,7163348,7135674,5450494,23507975,1409225,3688187,5545754,13995350,84366870,11733290,17621575,14611713,10463718,27324275,35165625,44510119,8134710,8310830,10464519,5286106,20539.73,11400971.73,8485789.42,46563939.74,1189762.62,5880834.51,8243553.75,47297621.8,8612639,10194169.1,74087245,58951820.67,84177988.77000001,40028150,11694842,5195546.16,50847019.49,42096679,5068154,20315025,12260915,2385216.14,3354275.61,3385725,2190644,421924.21,2436940.66,2985446.66,2002116.65,997945,1113388.67,834768.57,0,450088.89,19384000,187639.35,96164.03,1448840.89,72373232,5653625,99653.84,0,22086568,8598724,16203238.99,1109834.59,11237281.89,877178.26,12107554,23514952.38,7491842,22710870.14,10826967.47,6628601.92,4217542.71,762994.21,1806299.74,3110135.85,29496120.63,2829872.61,1520388.8,2429487.23,2759830.64,10165885.96,6560937.14,2717892.25,1007900021.45,1595008643.1,644828.44,1861278.71,1112372.08,56453331.42,8320385.99,0,989600.2,0,15656074.84,2255978.47,13950837.07,4524713.27,928674.25,2947421.54,2672488.3,351867.25,850782.11,10794507.5,255104.59,23492022.21,12692712.09,49450220.99,61338676.26,98534270.18,40774381.04,34382173.12,37216977.35,8380842.46,72439893.17,4490182.77,537116356.34,442880193.33,842217135.16,804613166.66,1403460053.04,1088079323.02,107354690.19,138251975.86,873604947.74,186413751.55,679155220.19,472621282.35,244071584.91,232211400.08,909892977.85,787877996.61,305401065.94,1510789382.9,56776081.52,115329205.53,564036190.55,105878654.78,326583692.59,23722520.59,8766156.96,145312341.95,763539387.72,666458445.88,103247120.57,52107848.26,211157220.17,298165008.13,101413068.63,81513371.42,565477900.36,101922322.32,314243581.83,185194397.14,251253688.35,134217208.55,213228805.78,502481623.2,646050536.8,196450283.27,116482428.02,19448288.66,1006692627.7,101914471.45,125804696.31,150758247.21,379376302.43,50653468.02,96224621.33,83910332.76,179224692.11,1926237166.31,181803438.52,65475860.81,490226496.8,15677085.23,1285998027.39,51689529.89,113477932.23,53296424.72,877614678.12,1852567066.27,150821617.19,256785886.35,350946072.7,173489883.03,484747641.83,147833625.71,739113919.05,73827707.57,516035422.52,585241873.9,33725325.9,550984484.74,,371971993.42,1471799952.34,1275659610.46,1116563126.13,529126.71,96616410.85,38623590.25,314286006.09,65591954.77,435293980.53,214076653.89,115847292.07,16916287.24,107825813.18,23230738.93,3428690.95,167928940.8,42482922.91,25543414.05,26420474.05,127000975.98,387134407.88,584293499.17,416693275.69,71090865.83,998771.13,19538310.7,100741948,2122796413.82,22948044.76,127931888.01,44492735.97,8511161.73,2259153.84,3668801.35,10641093,15871143.75,5821391.76,7677560.62,5432240.45,800136.99,817027.4,26897526.71,14923555.43,91864733.5,259100938.78,371810234.05,15776608.77,5250096.33,10141.39,185542200,151153141.24,11234463.6,8568795.89,102854696,81497738.31,133056210.63,2261186.61,136518212.94,323952198.3,90316236.42,572986.82,389229345.49,579643181.92,6703139.72,42929599.37,30547087.61,25214467.06
Daily Turnover Average (Rs.),902546,42778,53501,77961,19571,132855,57134,29230,430390,831119,128634,56811,4279812,732949,2632330,346394,873477,400885,1909007,310517,795836,823030,2486619,486191,9946019,3143255,1229122,832891,514599,471429,558371,491230,570669,680306,803509,8845114,5308465,3518742,816504,2347185,1420483,1354901,243629,267547,4730201,1914487,103065,93804,199411,90331,4197771,134576,132065,614216,254124,765523,319699,144590,190238,298756,838745,4857618,702894,6319534,1205798,591509,636635,488943,534701,467192,802080,390161,1044120,523313,574796,1169073,425661,909559,1245861,1316733,349912,574650,262010,341112,375562,320617,1022086,82896,204899,264084,666445,3834858,558728,881079,730586,498272,1518015,1953646,2119529,451928,437412,498310,264305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trades (No.),23,11,21,11,10,10,23,15,17,26,24,12,159,120,173,79,152,105,174,132,108,146,144,196,575,326,322,144,183,125,126,135,207,114,105,99,90,125,337,201,171,91,139,158,165,107,79,38,53,75,62,94,62,112,135,116,95,83,74,135,254,208,18,16,239,111,193,198,233,233,234,191,162,106,187,118,75,254,135,99,45,194,163,340,133,108,152,49,78,109,146,141,104,98,106,138,110,129,72,48,49,73,61,2,28,22,20,11,34,30,35,27,26,42,18,24,25,17,22,21,24,14,27,12,11,9,11,14,3,9,7,3,3,3,2,0,1,1,1,1,4,6,4,1,0,3,2,2,2,4,1,2,3,10,5,8,6,6,4,5,11,10,7,8,7,5,12,11,9,11,6,4,3,4,8,8,0,1,0,8,3,7,3,2,3,2,2,3,4,1,5,4,2,5,5,7,7,4,10,9,7,32,25,60,46,52,59,23,19,31,25,27,31,27,18,43,23,15,35,9,8,22,26,20,17,8,12,25,19,15,30,10,14,7,30,30,24,44,36,32,12,41,72,29,49,12,15,22,47,31,89,110,27,27,42,17,39,14,6,13,16,45,17,30,6,36,26,7,13,51,13,24,13,18,13,14,51,20,7,,30,48,22,44,1,3,6,11,3,9,29,9,2,7,11,5,10,4,3,1,11,13,8,5,1,3,4,1,5,6,12,18,5,1,1,3,4,8,5,1,1,1,1,6,12,4,13,4,2,2,2,6,8,2,1,20,8,7,17,23,16,1,23,7,2,5,7,4
Debentures Traded (No.),180500,7700,10700,14800,3700,26400,12450,5800,89700,180850,23850,11700,968637,154520,784006,87666,193196,108594,646090,76836,198624,190147,673252,127155,2717673,826463,338843,209466,132450,112500,151846,111429,176763,195892,190170,3090356,9139903,6068450,480670,2756748,2406645,2354869,94282,156241,1021747,441347,60667,72909,94648,48570,7895378,99556,37558,175290,202975,163437,51025,68271,101035,137600,302518,315270,209284,10686612,337284,177963,229088,216135,310390,284726,345840,182158,269485,117296,210619,243995,85160,598155,211568,270200,65750,269739,247819,448174,167808,140811,342754,32250,90416,109446,284810,273614,140680,199831,194370,216110,325900,436530,411951,81270,89590,98604,85678,200,116400,83250,469823,11850,59700,85100,473320,88006,105938,243370,110190,222082,363725,122366,51680,495350,432091,51550,205100,128400,24900,36000,36100,23500,4500,26600,31560,20000,12000,11800,10500,0,5000,178327,2000,1000,19800,643027,69000,1000,0,260000,81500,18000,10300,93000,10000,120000,22500,82800,223000,98900,68000,41900,7500,8750,31409,277800,26500,15000,24330,27250,99250,64900,28200,10029091,15015500,6250,18500,11250,519100,73200,0,8600,0,150900,14250,136900,33800,8700,25800,23600,3400,8300,113600,2400,237730,131900,616100,656001,1115900,412813,440667,364344,81671,741200,41310,5264461,4163611,6100672,3938116,11922040,9265998,994620,1234000,7494518,715529,6065025,3849134,2128724,2120200,7180757,6216360,2867627,14655119,469468,1074955,4942518,975000,3029744,223388,79600,1260600,6406500,6629300,867200,490996,2072100,2842595,1006800,820623,5357820,981272,2942682,1843500,2480596,1454353,2346200,4839785,6874933,1848199,1109260,196900,9771300,1004900,1170500,1455840,3623980,487300,944802,820500,1787160,18317263,1766295,653600,4639350,153450,12853334,517446,1083405,524500,8960200,18535390,1421800,2539900,3420314,1647850,4580656,1390600,6851900,684180,5085345,5683804,324110,5006518,,3682003,14047734,11235181,10247489,5000,844400,365100,2789100,635900,3645752,2133200,1118000,161900,1016500,208535,31500,1601500,404000,230000,252000,1416603,3673250,5182001,4099000,753790,15000,200000,1000000,20280333,230800,1239500,593500,85500,21500,50000,100650,155000,65000,50000,50100,5000,5000,238900,103001,617500,2450000,391100,110800,50440,101,25214467.06,1561420,109100,86000,1000000,791200,1271700,22151,1189158,2838200,832450,5000,3423600,5232500,65300,308350,225300,250800
Market Capitalization (Rs. ) *,8354392071,8354392071,8354392071,8354392071,8354392071,8354392071,8354392071,8354392071,8354392071,8354392071,8354392071,8354392071,8852053167,8833273503,8786324343,8758154847,8711205687,8725290435,8758154847,8644107267,8775000059,8786127181,8811949219,8774975932,8733495626,8693624286,3468940011,3723139652,3559932507,3693334611,3711609130,3740958210,3696010022,4622433805,4612729426,4583662304,5094619217,5059493189,4723981291,4872085209,6287920896,6278774651,6288621863,6090775606,6111993351,6012288915,5884488775,5803104643,6834153519,6617493678,6693159101,6653045214,6580597150,7126835930,7087511160,7128070434,7210820773,7108189250,7136313461,7322506184,7842924850,8075096597,7862608815,8089582994,8517249155,8460903018,8357910250,8429713461,8404828808,10389097686,10331107368,10299943693,10399541600,10356328516,10078639034,9711515515,9564317567,9563474534,10571458522,10500774972,10529236480,10239696617,9604240846,9671333233,11142223981,11193080796,10873737529,10808699200,12720126757,14064940873,13391782376,13419924965,12889171477,12887309416,12850268583,12471015511,12646673018,12662771880,11845986740,11977241964,11823530885,11796314495,11926217558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Government Debt Trading Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnover (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31799266,12638532,80907282,156473751,144076406,205227028,245983969,297147996,225412443,159555722,211926917,216768749,151684721,43168224,22606196,49369610,2282097.79,3337874.43,6912297.82,4757746.38,33282626.07,6626289.91,1329320.7,1066061.28,14572939.29,28564978.83,53961419.98,16409061,478573.28,13492830.81,4302566.63,10234220.909999998,58011412,1014505,100000.86,5936992.57,84111112,61130292,41319272,26539573,54838759.96,36893307.98,60678145,70546741.53,89235549,31198071.28,58284270.71,94554937.81,28198839.75,826068.65,3430285.89,31624548,18757311.55,7807219.48,0,16737638.65,22288213.81,3110528,22505943,39870763,2999998,0,31038667,0,1014978.57,23273028.48,0,7442335.37,17130850.93,0,7575688.73,8501930.11,0,3738942.33,16510463.58,0,0,0,3868670,8480301.79,2959585.72,0,0,10115236.46,0,0,20278409.33,999754.67,0,2981289.15,0,0,4097395.82,0,0,0,0,0,3127906.08,0,0,0,3000086.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traded Quantity**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2942,1142,7234,15312,13452,18673,22567,27525,21214,150978228,200202520,202200803,142186190,40282048,21226673,46290090,2173630,3073847,6463777,4741655,31854038,6348908,1269762,1044394,15041703,28728650,55371849,17228366,481548,13804245,4630727,10657044,60373886,1073516,100071,5749907,82860131,64198902,43660200,27737800,57304108,38835000,65448400,74313400,92906410,32906800,62133200,100431800,29525800,862200,3601800,33983400,19836000,8932000,0,17592200,23300000,3588798,23887400,43073000,3084000,0,32518281,0,1045514,24029600,0,7581400,18005678,0,7832800,8680400,0,3869800,16960509,0,0,0,3919000,8711600,3050100,0,0,10282527,0,0,20601792,1011900,0,3030800,0,0,4267100,0,0,0,0,0,3418400,0,0,0,3325200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trades (No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,22,25,32,77,126,159,160,141,193,174,222,188,82,26,43,14,7,33,23,63,20,6,17,21,41,111,56,16,37,19,22,40,6,1,9,31,23,17,9,18,23,8,17,19,9,15,19,8,5,4,6,10,5,0,7,3,6,8,7,2,0,8,0,3,7,0,5,9,0,4,4,0,3,4,0,0,0,3,3,3,0,0,2,0,0,3,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
