"Corporate Debentures - Monthly Highest, Lowest & Last Traded Prices",,,,,,,
Company Id :  AAF,,,,,,,
Short Name : ASIA ASSEST,,,,,,,
Month,Debt Description      ,Settlement Board,Price High (Rs.),Price Low (Rs.),Price Last Traded (Rs.),Share Volume,Turnover (Rs.)
2022-03,AAF-BD-20/08/26-C2487,TOM,87.0053,87.0053,87.0053,2000,174010.6
2022-04,AAF-BD-05/10/23-C2456,TOM,95.5189,95.5189,95.5189,3909000,373383380.1
2022-08,AAF-BD-20/08/24-C2486,TOM,100.2184,100.2184,100.2184,1000000,100218400
2024-08,AAF-BD-20/08/26-C2487,TOM,100,100,100,471400,47140000
Company Id :  ABNS,,,,,,,
Short Name : ABANS PLC,,,,,,,
Month,Debt Description      ,Settlement Board,Price High (Rs.),Price Low (Rs.),Price Last Traded (Rs.),Share Volume,Turnover (Rs.)
2014-01,ABNS-BC-20/12/18C14.5,TOM,110.9943,110.9943,110.9943,500000,55497150
2014-02,ABNS-BC-20/12/18C14.5,TOM,111.8665,111.8665,111.8665,50000,5593325
2014-03,ABNS-BC-20/12/18C14.5,TOM,113.1383,113.1383,113.1383,90000,10182447
2015-01,ABNS-BD-26/12/17-C2285,TOM,99.3529,99.0953,99.3529,3445000,341517304.5
2015-02,ABNS-BC-20/12/18C14.5,TOM,117.5834,117.5834,117.5834,81100,9536013.74
2015-06,ABNS-BC-20/12/18C14.5,SPOT,114.058,114.058,114.058,500000,57029000
2015-08,ABNS-BC-20/12/17B14.25,TOM,108.5633,108.5633,108.5633,25000,2714082.5
2016-10,ABNS-BC-20/12/17B14.25,TOM,101.3897,101.3897,101.3897,80000,8111176
2018-10,ABNS-BD-26/12/19-C2286,SPOT,92.4772,92.4772,92.4772,120000,11097264
2019-02,ABNS-BD-26/12/19-C2286,SPOT,95.27,95.27,95.27,880000,83837600
2024-12,ABNS-BD-11/12/29-C2555,TOM,99.9833,99.9833,99.9833,246000,24595891.8
2025-03,ABNS-BD-11/12/29-C2555,SPOT,100,100,100,10000,1000000
Company Id :  AEL,,,,,,,
Short Name : Access Engineering PLC,,,,,,,
Month,Debt Description      ,Settlement Board,Price High (Rs.),Price Low (Rs.),Price Last Traded (Rs.),Share Volume,Turnover (Rs.)
2020-03,AEL-BD-18/11/20-C2324-,SPOT,99.371,99.371,99.371,150000,14905650
2020-08,AEL-BD-18/11/20-C2324,SPOT,100.0451,100.0451,100.0451,100000,10004510
Company Id :  ALLI,,,,,,,
Short Name : ALLIANCE FINANCE COMPANY PLC,,,,,,,
Month,Debt Description      ,Settlement Board,Price High (Rs.),Price Low (Rs.),Price Last Traded (Rs.),Share Volume,Turnover (Rs.)
2013-12,ALLI-BC-31/10/15K18.5,SPOT,99.9958,99.9958,99.9958,1300000,129994540
2013-12,ALLI-BC-30/09/18C16.5,TOM,100.035,100.035,100.035,10000,1000350
2013-12,ALLI-BC-31/10/15K18.5,TOM,99.9952,99.9952,99.9952,100000,9999520
2014-01,ALLI-BC-30/09/16A15.5,TOM,105.0369,105.0369,105.0369,302000,31721143.8
2014-01,ALLI-BC-30/09/18C16.5,TOM,110.2535,110.2535,110.2535,200000,22050700
2014-02,ALLI-BC-30/09/18C16.5,TOM,112.7083,111.882,112.7083,250000,28135760
2014-03,ALLI-BC-31/10/17E20,SPOT,112.3546,112.3546,112.3546,20000,2247092
2014-03,ALLI-BC-30/09/18C16.5,TOM,116.2414,115.3187,115.3187,300000,34780150
2014-04,ALLI-BC-31/10/17E20,SPOT,117.1302,114,116.91,40420,4706905.189
2014-05,ALLI-BC-31/10/17E20,SPOT,118,116.9,118,4850,569825
2014-07,ALLI-BC-31/10/17E20,SPOT,118.5,118.5,118.5,11740,1391190
2014-08,ALLI-BC-30/09/1800D,SPOT,67.7861,67.7861,67.7861,428000,29012450.8
2014-08,ALLI-BC-30/09/18C16.5,SPOT,121.331,121.331,121.331,200000,24266200
2014-08,ALLI-BC-31/10/17E20,TOM,122.5025,122.5025,122.5025,31000,3797577.5
2014-09,ALLI-BC-31/10/17E20,SPOT,120.8826,120.8826,120.8826,1000000,120882600
2014-09,ALLI-BC-30/11/17F20,TOM,121,121,121,100000,12100000
2015-02,ALLI-BC-30/09/18C16.5,TOM,122.8469,122.8469,122.8469,140000,17198566
2015-03,ALLI-BC-31/10/17E20,SPOT,120,120,120,11990,1438800
2015-03,ALLI-BC-31/10/17E20,TOM,119.9637,119.9637,119.9637,11990,1438364.763
2015-05,ALLI-BC-31/10/17E20,SPOT,99.997,99.997,99.997,11990,1198964.03
2015-07,ALLI-BC-31/10/17E20,TOM,117.5,117.5,117.5,40590,4769325
2015-10,ALLI-BC-30/09/17B16,TOM,102.4321,102.4321,102.4321,40000,4097284
2015-11,ALLI-BC-30/09/1800D,SPOT,76.136,76.136,76.136,2000,152272
2016-07,ALLI-BC-31/10/17E20,SPOT,101,101,101,8420,850420
2017-02,ALLI-BC-30/09/17B16,SPOT,100,100,100,2500,250000
2017-03,ALLI-BC-31/10/17E20,TOM,102.2822,102.2822,102.2822,500000,51141100
2017-04,ALLI-BC-30/09/1800D,SPOT,81.5702,81.5702,81.5702,2000,163140.4
2017-04,ALLI-BC-31/10/17E20,SPOT,101.6692,101.5465,101.5465,2400,243895.65
2017-06,ALLI-BC-31/10/17E20,TOM,100.6,100.6,100.6,8420,847052
2017-12,ALLI-BC-30/09/18C16.5,SPOT,99.5,99.5,99.5,10000,995000
Company Id :  ARPI,,,,,,,
Short Name : ARPICO FINANCE COMPANY PLC,,,,,,,
Month,Debt Description      ,Settlement Board,Price High (Rs.),Price Low (Rs.),Price Last Traded (Rs.),Share Volume,Turnover (Rs.)
2014-02,ARPI-BC-28/11/18A16.67,SPOT,100,100,100,28000,2800000
2014-02,ARPI-BC-28/11/18A16.67,TOM,102.11,102.11,102.11,28000,2859080
2014-03,ARPI-BC-28/11/18A16.67,TOM,112,112,112,5,560
2014-08,ARPI-BC-28/11/18A16.67,SPOT,116,116,116,2500,290000
2014-09,ARPI-BC-28/11/18B16.75,SPOT,112,112,112,1000,112000
2016-01,ARPI-BC-28/11/18A16.67,SPOT,100.1584,100.1584,100.1584,200,20031.68
2016-03,ARPI-BC-28/11/18A16.67,SPOT,108.311,108.311,108.311,40000,4332440
2016-07,ARPI-BC-28/11/18A16.67,SPOT,103,103,103,200,20600
2017-04,ARPI-BC-28/11/18B16.75,SPOT,102.4529,102.4529,102.4529,1000,102452.9
2017-05,ARPI-BC-28/11/18A16.67,TOM,100,100,100,995,99500
2017-10,ARPI-BC-28/11/18A16.67,SPOT,100,100,100,31000,3100000
2017-11,ARPI-BC-28/11/18A16.67,SPOT,104.15,104.15,104.15,100,10415
2017-12,ARPI-BC-28/11/18B16.75,SPOT,103.0482,97.2281,100.6589,16000,1611183.55
2018-01,ARPI-BC-28/11/18B16.75,SPOT,101.138,101.138,101.138,5600,566372.8
2018-05,ARPI-BC-28/11/18A16.67,SPOT,101.9,101.9,101.9,900,91710
2018-06,ARPI-BC-28/11/18A16.67,SPOT,101.9066,101.9066,101.9066,1000,101906.6
Company Id :  BFN,,,,,,,
Short Name :  Bartleet Finance,,,,,,,
Month,Debt Description      ,Settlement Board,Price High (Rs.),Price Low (Rs.),Price Last Traded (Rs.),Share Volume,Turnover (Rs.)
2011-07,BFN-BC-15/06/16A13,CASH,107.5001404,107.5001404,107.5001404,14100,1515751.97964
2011-08,BFN-BC-15/06/16A13,TOM,115.4999998,115.4999338,115.4999753,62200,7184098.11006
2011-10,BFN-BC-15/06/16A13,SPOT,114.9998981,114.9998981,114.9998981,8600,988999.12366
2011-12,BFN-BC-15/06/16A13,CASH,105.299825,102.999907,102.999907,46900,4894633.3587
2011-12,BFN-BC-15/06/16A13,SPOT,107.0481377,107.0481377,107.0481377,26000,2783251.5802
2011-12,BFN-BC-15/06/16A13,TOM,103.100065,103.100065,103.100065,48000,4948803.12
2012-02,BFN-BC-15/06/16A13,CASH,101.6767111,99.7697556,100.5923005,109000,10949557.50741
2012-02,BFN-BC-15/06/16A13,SPOT,106.6397826,106.6397826,106.6397826,7400,789134.39124
2012-03,BFN-BC-15/06/16A13,TOM,105.7445964,105.7445964,105.7445964,27800,2939699.77992
2012-04,BFN-BC-15/06/16A13,TOM,106.9176819,106.6105622,106.6105622,8700,928003.28266
2012-05, BFN-BC-15/06/16A13,TOM,113.9426258,113.9347484,113.9347484,25800,2939650.42452
2012-06,BFN-BC-15/06/16A13 ,TOM,113.7246338,106.6976873,106.6976873,23600,2667036.68608
2012-07,BFN-BC-15/06/16A13,TOM,106.6113337,106.6113337,106.6113337,2400,255867.20088
2012-08,BFN-BC-15/06/16A13,TOM,106.3724632,101.7736458,101.7736458,7300,753984.7761
2012-09,BFN-BC-15/06/16A13,CASH,100.8668938,87.7224402,87.7224402,107000,10043523.7814
2012-09,BFN-BC-15/06/16A13,SPOT,106.2823736,106.2823736,106.2823736,2400,255077.69664
2012-09,BFN-BC-15/06/16A13,TOM,112.7127747,112.7127747,112.7127747,4200,473393.65374
2012-10,BFN-BC-15/06/16A13,TOM,106.1491368,106.1491368,106.1491368,2400,254757.92832
2012-11,BFN-BC-15/06/16A13,SPOT,106.3028609,106.3028609,106.3028609,2400,255126.86616
2012-11,BFN-BC-15/06/16A13,TOM,100.0849968,88.2999561,100.0849968,82000,7535222.4177
2012-12,BFN-BC-15/06/16A13,TOM ,106.1865008,86.7173711,100.335761,131900,12609154.59352
2013-01,BFN-BC-15/06/16A13,CASH,80.0000795,80.0000795,80.0000795,614400,49152048.8448
2013-01,BFN-BC-15/06/16A13,TOM,111.8610592,111.8610592,111.8610592,1700,190163.80064
2013-02,BFN-BC-15/06/16A13,SPOT,81.92,81.92,81.92,104000,8519680
2013-03,BFN-BC-15/06/16A13,SPOT,79.7455,79.7455,79.7455,614400,48995635.2
2013-04,BFN-BC-15/06/16A13,TOM,71.47,71.47,71.47,347000,24800090
2013-08,BFN-BC-15/06/16A13,SPOT,83.7764,81.1585,83.7764,291300,23695138
2013-09,BFN-BC-15/06/16A13,SPOT,115.585,115.585,115.585,11000,1271435
2013-10,BFN-BC-15/06/16A13,TOM,78.79,78.79,78.79,583800,45997602
2013-11,BFN-BC-15/06/16A13,SPOT,83.78,81.24,81.24,331800,27110372
2013-11,BFN-BC-15/06/16A13,TOM,84,84,84,83500,7014000
2013-12,BFN-BC-15/06/16A13,TOM,92.2246,83.78,92.2246,272200,25078202.32
2014-01,BFN-BC-15/06/16A13,SPOT,98.12,98.12,98.12,9600,941952
2014-01,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,3000,251340
2014-02,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,3000,251340
2014-03,BFN-BC-15/06/16A13,SPOT,83.78,83.78,83.78,2000,167560
2014-03,BFN-BC-15/06/16A13,TOM,98.15,98.15,98.15,356600,35000290
2014-04,BFN-BC-15/06/16A13,SPOT,100,100,100,420000,42000000
2014-04,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,3000,251340
2014-05,BFN-BC-15/06/16A13,TOM,100,83.78,100,78000,7751340
2014-06,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2950,247151
2014-07,BFN-BC-15/06/16A13,TOM,100.8485,83.78,100.8485,61939,6196103.1665
2014-08,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2975,249245.5
2014-09,BFN-BC-15/06/16A13,TOM,100.92,83.78,100.92,438980,44250921.52
2014-10,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2960,247988.8
2014-11,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2950,247151
2014-12,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2965,248407.7
2015-01,BFN-BC-15/06/16A13,TOM,83.8361,83.8361,83.8361,2960,248154.856
2015-03,BFN-BC-15/06/16A13,TOM,102.72,83.8572,102.72,81865,8353244.598
2015-04,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2968,248659.04
2015-05,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2965,248407.7
2015-06,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2965,248407.7
2015-07,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2975,249245.5
2015-08,BFN-BC-15/06/16A13,TOM,83.78,83.78,83.78,2970,248826.6
2015-09,BFN-BC-15/06/16A13,TOM,93.78,93.78,93.78,2510,235387.8
2016-01,BFN-BC-15/06/16A13,TOM,100.1982,100.1982,100.1982,853000,85469064.6
Company Id :  BRWN,,,,,,,
Short Name :  BROWN & COMPANY PLC,,,,,,,
Month,Debt Description      ,Settlement Board,Price High (Rs.),Price Low (Rs.),Price Last Traded (Rs.),Share Volume,Turnover (Rs.)
2023-06,BRWN-BD-31/03/27-C2499,SPOT,67.6846,67.6846,67.6846,2500,169211.5
2024-05,BRWN-BD-31/03/27-C2498,TOM,102,102,102,50000,5100000
2025-02,BRWN-BD-31/03/27-C2499,SPOT,110,103.1,103.1,2500,264656.9
Company Id :  BOC,,,,,,,
Short Name :  Bank of Ceylon,,,,,,,
Month,Debt Description      ,Settlement Board,Price High (Rs.),Price Low (Rs.),Price Last Traded (Rs.),Share Volume,Turnover (Rs.)
2009-5,BOC-BC-24/11/13A19,CASH,99.9999487,99.9999487,99.9999487,8300,829999.57421
2009-12,BOC-BC-24/11/13A19,TOM,100.9999243,100.9999243,100.9999243,4000,403999.6972
2010-02,BOC-BC-24/11/13A19,CASH,107.0001171,107.0001171,107.0001171,9900,1059301.15929
2010-06,BOC-BC-24/11/1300C,SPOT,135.114295,135.114295,135.114295,5000,675571.475
2010-07,BOC-BC-24/11/1300C,SPOT,134.147612,134.147612,134.147612,5000,670738.06
2011-01,BOC-BC-24/11/13A19,SPOT,100.1000758,100.1000758,100.1000758,700,70070.05306
2011-05,BOC-BC-24/11/13A19,SPOT,100.0000233,100.0000233,100.0000233,3500,350000.08155
2011-07,BOC-BC-28/06/15A11.5,FORWARD,100.0001028,100.0001028,100.0001028,500,50000.0514
