Market Capitalisation as at 31st December 2001,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,2001-12-31 00:00:00,183742927,60.5,11116447083.5
CTC,CEYLON TOBACCO,2001-12-31 00:00:00,187323751,31,5807036281
COMB,COMMERCIAL BANK,2001-12-31 00:00:00,39000000,127,4953000000
DFCC,DFCC,2001-12-31 00:00:00,42311111,115,4865777765
HAYL,HAYLEYS,2001-12-31 00:00:00,40000000,117,4680000000
NDB,NAT. DEV. BANK,2001-12-31 00:00:00,53750000,71.75,3856562500
NEST,NESTLE,2001-12-31 00:00:00,53725463,53,2847449539
SAMP,SAMPATH,2001-12-31 00:00:00,44284904,63,2789948952
SPEN,AITKEN SPENCE,2001-12-31 00:00:00,26524310,105,2785052550
HNB,HNB,2001-12-31 00:00:00,50000000,52,2600000000
PURE,COCA-COLA,2001-12-19 00:00:00,75627400,34,2571331600
RICH,RICHARD PIERIS,2001-12-31 00:00:00,23324078,107,2495676346
SHAL,SHALIMAR,2001-12-13 00:00:00,3213000,760,2441880000
DIST,DISTILLERIES ,2001-12-31 00:00:00,300000000,8,2400000000
LLUB,CALTEX,2001-12-31 00:00:00,30000000,75,2250000000
LION,LION  BREWERY,2001-12-31 00:00:00,50000000,43,2150000000
DOCK,DOCKYARD,2001-12-31 00:00:00,62074441,25.75,1598416855.75
LOLC,LOLC,2001-12-31 00:00:00,23760000,59.75,1419660000
AHOT,ASIAN HOTELS,2001-12-31 00:00:00,221387643,6,1328325858
CARS,CARSONS,2001-12-14 00:00:00,1018710,1300,1324323000
DIPD,DIPPED PRODUCTS,2001-12-28 00:00:00,18475776,70.5,1302542208
CCS,COLD STORES ,2001-12-31 00:00:00,21600000,59.5,1285200000
HAYC,HAYCARB,2001-12-31 00:00:00,29712375,42.5,1262775937.5
SEYB,SEYLAN BANK,2001-12-31 00:00:00,43560000,26,1132560000
TRAN,TRANS ASIA,2001-12-31 00:00:00,50000000,22,1100000000
SINS,SINGER SRI LANKA,2001-12-31 00:00:00,32053660,34,1089824440
PDL,PDL,2001-12-28 00:00:00,66000000,16.5,1089000000
RCL,ROYAL CERAMICS,2001-12-31 00:00:00,55394692,19,1052499148
GRAN,GRAIN ELEVATORS,2001-12-31 00:00:00,60000000,15.75,945000000
CTHR,CEY THEATRES ,2001-11-01 00:00:00,2249268,420,944692560
ACAP,ASIA CAPITAL,2001-12-31 00:00:00,110000000,8.5,935000000
LCEM,LANKA CEMENT,2001-12-28 00:00:00,155629639,6,933777834
TKYO,TOKYO CEMENT,2001-12-31 00:00:00,15000000,61,915000000
JFIN,JAMES FINLAY,2001-12-20 00:00:00,35000000,26,910000000
CTCE,EAGLE INSURANCE,2001-12-21 00:00:00,20000000,43,860000000
CDIC,CDIC,2001-12-31 00:00:00,24500007,35,857500245
AHUN,A.SPEN.HOT.HOLD.,2001-12-31 00:00:00,38433144,22,845529168
ASIR,ASIRI,2001-12-31 00:00:00,37941890,22.25,844207052.5
RECK,RECKIT BENCKISER,2001-12-28 00:00:00,26244000,32,839808000
CTEA,TEA SERVICES,2001-12-21 00:00:00,10000000,80,800000000
MPRH,MET. RES. HOL.,2000-03-10 00:00:00,39664802,20,793296040
NTB,NATIONS TRUST,2001-12-31 00:00:00,50000000,15,750000000
BREW,CEYLON BREWERY,2001-12-31 00:00:00,20988090,34.75,729336127.5
MASK,MASKELIYA,2001-12-31 00:00:00,26976744,27,728372088
UAL,UNION ASSURANCE,2001-12-31 00:00:00,20000000,35.5,710000000
CFIN,CENTRAL FINANCE,2001-12-31 00:00:00,12180000,58.25,709485000
COXY,CEYLON OXYGEN,2001-12-31 00:00:00,9000000,78,702000000
TILE,LANKA TILES,2001-12-31 00:00:00,18268050,37,675917850
BOPL,BOGAWANTALAWA,2001-12-31 00:00:00,33500000,19.5,653250000
TAJ,TAJ LANKA,2001-12-31 00:00:00,139637494,4.5,628368723
INDO,INDO MALAY,2001-12-18 00:00:00,2430000,250,607500000
GHLL,GALADARI,2001-12-31 00:00:00,182434060,3.25,592910695
BALA,BALANGODA,2001-12-31 00:00:00,23636363,23.5,555454530.5
CERA,LANKA CERAMIC,2001-12-31 00:00:00,30000000,18,540000000
GOOD,GOOD HOPE,2001-12-12 00:00:00,2650968,200,530193600
UML,UNITED MOTORS,2001-12-28 00:00:00,14714675,36,529728300
LVEN,LANKA VENTURES,2001-12-31 00:00:00,50000000,10.5,525000000
RPBH,ROYAL PALMS,2001-12-27 00:00:00,50000000,10.5,525000000
LWL,LANKA WALLTILE,2001-12-31 00:00:00,26000000,19.5,507000000
NEH,NUWARA ELIYA,2001-08-16 00:00:00,2003870,250,500967500
SUGA,PELWATTE,2001-12-31 00:00:00,67976891,7.25,492832459.75
HAPU,HAPUGASTENNE,2001-12-31 00:00:00,46315789,10.5,486315784.5
GLAS,CEYLON GLASS CO.,2001-12-31 00:00:00,27710844,17.5,484939770
KVAL,KELANI VALLEY,2001-12-31 00:00:00,34000000,12.75,433500000
MILL,MILLERS ,2001-10-30 00:00:00,3894750,110,428422500
SELI,SELINSING,2001-12-14 00:00:00,3213000,131.75,423312750
JKL,JOHN KEELLS,2001-12-21 00:00:00,7600000,52,395200000
LHL,LIGHTHOUSE HOTEL,2001-12-31 00:00:00,46000000,8.5,391000000
DPL,DANKOTUWA PORCEL,2001-12-31 00:00:00,27141444,14.25,386765577
WATA,WATAWALA,2001-12-31 00:00:00,23666667,16,378666672
MBSL,MERCHANT BANK,2001-12-31 00:00:00,50000000,7.5,375000000
CTLD,C T LAND,2001-12-31 00:00:00,48750000,7.5,365625000
TSML,TEA SMALLHOLDER,2001-12-28 00:00:00,15000000,24.25,363750000
CINS,CEYLINCO INSURANCE,2001-12-28 00:00:00,13860000,26,360360000
SWAD,SWADESHI,2001-09-07 00:00:00,130666,2700,352798200
MADU,MADULSIMA,2001-12-31 00:00:00,29000000,12,348000000
CIC,CIC,2001-12-19 00:00:00,6300000,55,346500000
CARG,CARGILLS,2001-12-28 00:00:00,5600000,60,336000000
MAL,MALWATTE,2001-12-31 00:00:00,20000000,16.75,335000000
TPL,TALAWAKELLE,2001-12-31 00:00:00,20000000,16,320000000
ACL,ACL,2001-12-18 00:00:00,9800784,32,313625088
CSD,CEYLINCO SEYLAN,2001-12-31 00:00:00,72531795,4.25,308260128.75
LMF,LMF,2001-12-31 00:00:00,29998500,10.25,307484625
TYRE,KELANI TYRES,2001-12-31 00:00:00,40200000,7.25,291450000
EDEN,EDEN HOTEL LANKA,2001-12-31 00:00:00,48000000,6,288000000
HOPL,HORANA,2001-12-31 00:00:00,25000000,11.25,281250000
WMM,W.M.MENDIS,2001-12-13 00:00:00,19902052,14,278628728
REXP,RICH PIERIS EXPORTS,2001-12-31 00:00:00,11050153,25,276253825
MLL,MLL,2001-12-31 00:00:00,20393002,13.5,275305527
KHC,KANDY HOTELS ,2001-12-07 00:00:00,16500000,16.5,272250000
KOTA,KOTAGALA,2001-12-31 00:00:00,32000000,8.5,272000000
DIMO,DIMO,2001-12-11 00:00:00,6000000,45,270000000
GUAR,CEYLON GUARDIAN,2001-12-14 00:00:00,2663173,100,266317300
BLUE,BLUE DIAMONDS,2001-12-31 00:00:00,59033947,4.5,265652761.5
SERV,HOTEL SERVICES,2001-12-05 00:00:00,17600000,15,264000000
VANI,VANIK INCORP LTD,2001-12-31 00:00:00,65481650,4,261926600
KGAL,KEGALLE,2001-12-31 00:00:00,25000000,10.25,256250000
TAFL,THREE ACRE FARMS,2001-12-31 00:00:00,23100000,11,254100000
AMW,AMW,2001-12-31 00:00:00,8242369,30,247271070
KCAB,KELANI CABLES,2001-12-14 00:00:00,5450000,45,245250000
HEXP,HAYLEYS EXPORTS,2001-12-28 00:00:00,5000000,48,240000000
HDEV,HOTEL DEVELOPERS,2001-12-14 00:00:00,45226100,5,226130500
AAIC,ASIAN ALLIANCE,2001-12-31 00:00:00,20000000,11,220000000
SHAW,SHAW WALLACE,2001-12-31 00:00:00,5120546,42,215062932
UDPL,UDAPUSSELLAWA,2001-12-31 00:00:00,19398850,11,213387350
CHOT,HOTELS CORPORATION,2001-12-14 00:00:00,3000000,70,210000000
SEMB,SEYLAN MERCHANT,2001-12-31 00:00:00,33377340,6,200264040
AGAL,AGALAWATTE,2001-12-31 00:00:00,25000000,8,200000000
UPIN,UPALI INVESTMENT,2001-12-12 00:00:00,500000,400,200000000
NAMU,NAMUNUKULA,2001-12-31 00:00:00,20000000,10,200000000
OVL,OCEAN VIEW LTD,2001-12-17 00:00:00,21418560,9,192767040
PHAR,COL PHARMACY ,2000-11-22 00:00:00,954643,200,190928600
TFC,THE FINANCE CO.,2001-12-31 00:00:00,9981240,19,189643560
BOGA,BOGALA GRAPHITE,2001-12-31 00:00:00,27961000,6.75,188736750
TANG,TANGERINE,2001-12-27 00:00:00,7500000,25,187500000
BHR,RIVERINA HOTELS,2001-12-31 00:00:00,10129785,18,182336130
AEC,AEC ,2001-11-21 00:00:00,2896128,60,173767680
COMD,COMMERCIAL DEVELOPMENT,2001-12-21 00:00:00,12000000,14.25,171000000
MENG,METALIX ENGIN.,2000-11-27 00:00:00,3100000,55,170500000
EMER,EASTERN MERCHANT,1999-07-14 00:00:00,1677800,100,167780000
CSF,CEYLINCO SEC.,2001-12-31 00:00:00,19986050,8.25,164884912.5
STAF,STAFFORD,2001-12-31 00:00:00,25297182,6.25,158107387.5
CHMX,CHEMANEX,2001-12-28 00:00:00,3500000,45,157500000
KAHA,KAHAWATTE,2001-12-31 00:00:00,20000000,7.75,155000000
COML,COMM. LEASING,2001-12-20 00:00:00,7333337,21,154000077
CWM,C.W.MACKIE & CO.,2001-12-31 00:00:00,36030979,4.25,153131660.75
BFL,BAIRAHA FARMS,2001-12-31 00:00:00,16000000,9.5,152000000
BUKI,BUKIT DARAH,2001-12-18 00:00:00,400000,375.25,150100000
LCEY,LANKEM CEYLON,2001-12-31 00:00:00,12000000,12.5,150000000
SHOT,SERENDIB HOTELS,2001-12-27 00:00:00,7875000,19,149625000
GLAX,GLAXO,2001-12-31 00:00:00,4050000,36,145800000
CFLB,FORT LAND ,2001-12-31 00:00:00,36000000,4,144000000
