Market Capitalisation as at 30th December 2005,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
DIAL,DIALOG ,2005-12-30 00:00:00,7403434913,16.5,122156676064.5
JKH,JKH,2005-12-30 00:00:00,399614597,129.25,51650186662.25
SLTL,SLT,2005-12-30 00:00:00,1804860000,16.5,29780190000
COMB,COMMERCIAL BANK,2005-12-30 00:00:00,132778324,135.5,17991462902
LIOC,LANKA IOC,2005-12-30 00:00:00,532529905,33,17573486865
CARS,CARSONS,2005-12-30 00:00:00,6112260,2205.25,13479061365
DFCC,DFCC,2005-12-30 00:00:00,57581846,220,12668006120
NDB,NAT. DEV. BANK,2005-12-30 00:00:00,54570257,215,11732605255
CTC,CEYLON TOBACCO,2005-12-30 00:00:00,187323751,57.75,10817946620.25
HNB,HNB,2005-12-30 00:00:00,94664700,112.5,10649778750
DIST,DISTILLERIES ,2005-12-30 00:00:00,300000000,35,10500000000
HHL,HEMAS HOLDINGS,2005-12-30 00:00:00,99556850,103.75,10329023187.5
BUKI,BUKIT DARAH,2005-12-30 00:00:00,10000000,953.5,9535000000
AHPL,AHOT PROPERTIES,2005-12-30 00:00:00,221387650,41.5,9187587475
CTHR,CEY THEATRES ,2005-12-28 00:00:00,2249268,4000,8997072000
SPEN,AITKEN SPENCE,2005-12-30 00:00:00,27060403,309.75,8381959829.25
RICH,RICHARD PIERIS,2005-12-30 00:00:00,118385560,67.75,8020621690
HAYL,HAYLEYS,2005-12-30 00:00:00,75000000,97,7275000000
OSEA,OVERSEAS REALTY,2005-12-30 00:00:00,583939902,12,7007278824
SAMP,SAMPATH,2005-12-30 00:00:00,68887628,90,6199886520
NEST,NESTLE,2005-12-30 00:00:00,53725463,111.25,5976957758.75
SHAL,SHALIMAR,2005-12-28 00:00:00,6940080,800,5552064000
JFIN,JAMES FINLAY,2005-12-29 00:00:00,35000000,151.25,5293750000
TRAN,TRANS ASIA,2005-12-30 00:00:00,50000000,98.5,4925000000
KHL,KEELLS HOTELS,2005-12-30 00:00:00,59569641,81,4825140921
LOLC,LOLC,2005-12-30 00:00:00,47520000,100.75,4787640000
HDEV,HOTEL DEVELOPERS,2005-12-30 00:00:00,45226100,100.25,4533916525
DIPD,DIPPED PRODUCTS,2005-12-29 00:00:00,59861512,75,4489613400
CTEA,TEA SERVICES,2005-12-30 00:00:00,10000000,435,4350000000
LION,LION  BREWERY,2005-12-30 00:00:00,50000000,70,3500000000
LLUB,CALTEX,2005-12-30 00:00:00,60000000,58,3480000000
SINS,SINGER SRI LANKA,2005-12-30 00:00:00,50083844,63.5,3180324094
CFIN,CENTRAL FINANCE,2005-12-30 00:00:00,20300000,152.5,3095750000
MILL,MILLERS ,2005-12-20 00:00:00,3894750,790,3076852500
CARG,CARGILLS,2005-12-30 00:00:00,5600000,525,2940000000
LHCL,LANKA HOSPITALS,2005-12-30 00:00:00,156612518,18.5,2897331583
LHL,LIGHTHOUSE HOTEL,2005-12-30 00:00:00,46000000,60,2760000000
AHUN,A.SPEN.HOT.HOLD.,2005-12-30 00:00:00,38433144,68,2613453792
CCS,COLD STORES ,2005-12-29 00:00:00,21600000,120,2592000000
CTCE,EAGLE INSURANCE,2005-12-30 00:00:00,30000000,85,2550000000
CDIC,CDIC,2005-12-29 00:00:00,43855007,57,2499735399
TKYO,TOKYO CEMENT,2005-12-30 00:00:00,15000000,165,2475000000
SERV,HOTEL SERVICES,2005-12-27 00:00:00,17600000,140,2464000000
UAL,UNION ASSURANCE,2005-12-30 00:00:00,25000000,96,2400000000
ASIR,ASIRI,2005-12-30 00:00:00,47427362,50,2371368100
MGT,HAYLEYS - MGT,2005-12-30 00:00:00,49177492,42.75,2102337783
GUAR,CEYLON GUARDIAN,2005-12-30 00:00:00,18938112,110.5,2092661376
COML,COMM. LEASING,2005-12-30 00:00:00,12100005,170.25,2060025851.25
GHLL,GALADARI,2005-12-30 00:00:00,182434060,11.25,2052383175
NTB,NATIONS TRUST,2005-12-30 00:00:00,85000000,23.5,1997500000
AMW,AMW,2005-12-29 00:00:00,8242369,225,1854533025
NHL,NAWALOKA,2005-12-30 00:00:00,704752798,2.5,1761881995
TAJ,TAJ LANKA,2005-12-30 00:00:00,139637494,12,1675649928
HUNT,HUNTERS,2005-12-30 00:00:00,5145000,325,1672125000
RCL,ROYAL CERAMIC ,2005-12-30 00:00:00,553946920,3,1661840760
PDL,PDL,2005-12-30 00:00:00,66000000,25,1650000000
CINV,CEYLON INVESTMENTS,2005-12-30 00:00:00,24145803,67.75,1635878153.25
SEYB,SEYLAN BANK,2005-12-30 00:00:00,43560000,36.75,1600830000
BREW,CEYLON BREWERY,2005-12-28 00:00:00,20988090,75,1574106750
UML,UNITED MOTORS,2005-12-30 00:00:00,29429350,53.25,1567112887.5
CINS,CEYLINCO INS.,2005-12-30 00:00:00,20000000,75,1500000000
ACL,ACL,2005-12-30 00:00:00,14973420,94,1407501480
SELI,SELINSING,2005-12-28 00:00:00,6940080,200,1388016000
DOCK,DOCKYARD,2005-12-30 00:00:00,62074441,22.25,1381156312.25
JKL,JOHN KEELLS,2005-12-30 00:00:00,15200000,90,1368000000
SIRA,SIERRA ,2005-12-30 00:00:00,537512430,2.5,1343781075
TILE,LANKA TILES,2005-12-30 00:00:00,22104340,60,1326260400
ACAP,ASIA CAPITAL,2005-12-30 00:00:00,110000000,12,1320000000
CONN,CONNAISSANCE,2005-12-29 00:00:00,35024966,37.5,1313436225
MBSL,MERCHANT BANK,2005-12-30 00:00:00,90000000,14.25,1282500000
HDFC,HDFC,2005-12-30 00:00:00,6622500,191,1264897500
NEH,NUWARA ELIYA,2005-12-09 00:00:00,2003870,625,1252418750
GLAS,CEYLON GLASS ,2005-12-30 00:00:00,554216880,2.25,1246987980
GOOD,GOOD HOPE,2005-12-20 00:00:00,6871307,180,1236835260
INDO,INDO MALAY,2005-12-30 00:00:00,6998400,176,1231718400
RPBH,ROYAL PALMS,2005-12-29 00:00:00,50000000,24.5,1225000000
CIC,CIC,2005-12-30 00:00:00,8100000,150,1215000000
KHC,KANDY HOTELS ,2005-12-30 00:00:00,16500000,73.25,1208625000
BRWN,BROWNS ,2005-12-30 00:00:00,2625000,460.25,1208156250
BOGA,BOGALA GRAPHITE,2005-12-30 00:00:00,39729000,30,1191870000
