Market Capitalisation of Listed Companies as at 31st December 2007,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
DIAL,DIALOG,2007-12-31 00:00:00,8143778405,20,162875568100
JKH,JKH,2007-12-31 00:00:00,635929735,127.25,80922058778.75
SLTL,SLT,2007-12-31 00:00:00,1804860000,31.5,56853090000
COMB,COMMERCIAL BANK,2007-12-31 00:00:00,232885930,147,34234231710
DIST,DISTILLERIES,2007-12-31 00:00:00,300000000,100.5,30150000000
HNB,HNB,2007-12-31 00:00:00,189329400,122.5,23192851500
CARS,CARSONS,2007-12-31 00:00:00,6112260,3200,19559232000
DFCC,DFCC,2007-12-31 00:00:00,129902564,127,16497625628
NEST,NESTLE,2007-12-26 00:00:00,53725463,262.75,14116365403.25
NDB,NAT. DEV. BANK,2007-12-31 00:00:00,81855385,168.75,13813096218.75
BUKI,BUKIT DARAH,2007-12-31 00:00:00,10000000,1300,13000000000
LIOC,LANKA IOC,2007-12-31 00:00:00,532529905,21.5,11449392957.5
SPEN,AITKEN SPENCE,2007-12-31 00:00:00,27066403,400,10826561200
CTC,CEYLON TOBACCO,2007-12-31 00:00:00,187323751,53.25,9974989740.75
HHL,HEMAS HOLDINGS,2007-12-31 00:00:00,101308124,95,9624271780
AHPL,AHOT PROPERTIES,2007-12-31 00:00:00,221387650,40,8855506000
SAMP,SAMPATH,2007-12-31 00:00:00,68887628,120,8266515360
HAYL,HAYLEYS,2007-12-31 00:00:00,75000000,107.75,8081250000
KHL,KEELLS HOTELS,2007-12-31 00:00:00,1092110085,7,7644770595
CTHR,CEY THEATRES,2007-12-26 00:00:00,2249268,3200,7197657600
AMW,AMW,2007-12-31 00:00:00,55647600,128,7122892800
LOLC,LOLC,2007-12-31 00:00:00,47520000,136.5,6486480000
RICH,RICHARD PIERIS,2007-12-31 00:00:00,128251023,47.5,6091923592.5
CTEA,TEA SERVICES,2007-12-27 00:00:00,20000000,302.75,6055000000
OSEA,OVERSEAS REALTY,2007-12-31 00:00:00,562322906,10.75,6044971239.5
ASIR,ASIRI,2007-12-31 00:00:00,71141043,80.75,5744639222.25
JFIN,JAMES FINLAY,2007-12-27 00:00:00,35000000,162.75,5696250000
CDIC,CDIC,2007-12-31 00:00:00,43855007,128,5613440896
LLUB,CHEVRON,2007-12-31 00:00:00,60000000,85.25,5115000000
CARG,CARGILLS,2007-12-31 00:00:00,5600000,889,4978400000
DIPD,DIPPED PRODUCTS,2007-12-31 00:00:00,59861512,81.25,4863747850
AMSL,ASIRI SURG,2007-12-31 00:00:00,469739990,10.25,4814834897.5
CTCE,EAGLE INSURANCE,2007-12-31 00:00:00,30000000,150.75,4522500000
TKYO,TOKYO CEMENT,2007-12-27 00:00:00,18000000,239.5,4311000000
SINS,SINGER SRI LANKA,2007-12-31 00:00:00,62604805,68,4257126740
SHAL,SHALIMAR,2007-12-28 00:00:00,6940080,600,4164048000
CFIN,CENTRAL FINANCE,2007-12-31 00:00:00,20300000,199,4039700000
TRAN,TRANS ASIA,2007-12-31 00:00:00,50000000,76.75,3837500000
LHCL,LANKA HOSPITALS,2007-12-31 00:00:00,223732169,17,3803446873
NTB,NATIONS TRUST,2007-12-31 00:00:00,125786004,29.75,3742133619
CINS,CEYLINCO INSURANCE,2007-12-31 00:00:00,20000000,185,3700000000
DOCK,DOCKYARD,2007-12-31 00:00:00,65178163,53,3454442639
CCS,COLD STORES,2007-12-31 00:00:00,21600000,145,3132000000
GUAR,CEYLON GUARDIAN,2007-12-31 00:00:00,18938112,165,3124788480
MILL,MILLERS,2007-12-31 00:00:00,3894750,801,3119694750
SERV,HOTEL SERVICES,2007-12-24 00:00:00,17600000,174.75,3075600000
CHOT,HOTELS CORP.,2007-12-31 00:00:00,3000000,972.75,2918250000
ACL,ACL,2007-12-31 00:00:00,29946840,94.5,2829976380
CIC,CIC,2007-12-31 00:00:00,72900000,38.75,2824875000
MGT,HAYLEYS - MGT,2007-12-31 00:00:00,49177492,57,2803117044
AHUN,A.SPEN.HOT.HOLD.,2007-12-31 00:00:00,38433144,67.75,2603845506
BRWN,BROWNS,2007-12-31 00:00:00,2625000,900,2362500000
LION,LION  BREWERY,2007-12-27 00:00:00,50000000,47.25,2362500000
PDL,PDL,2007-12-31 00:00:00,66000000,33.75,2227500000
ELPL,ELPITIYA,2007-12-31 00:00:00,24958677,88.5,2208842914.5
LHL,LIGHTHOUSE HOTEL,2007-12-31 00:00:00,46000000,48,2208000000
HDEV,HOTEL DEVELOPERS,2007-12-31 00:00:00,45226100,48.25,2182159325
CINV,CEYLON INV.,2007-12-31 00:00:00,24145803,84.5,2040320353.5
WATA,WATAWALA,2007-12-31 00:00:00,23666667,83.5,1976166694.5
LWL,LANKA WALLTILE,2007-12-28 00:00:00,32500000,59.75,1941875000
KVAL,KELANI VALLEY,2007-12-31 00:00:00,34000000,56.25,1912500000
RPBH,ROYAL PALMS,2007-12-24 00:00:00,50000000,38.25,1912500000
GLAS,CEYLON GLASS,2007-12-31 00:00:00,950086080,2,1900172160
ASHA,ASHA CENTRAL,2007-12-31 00:00:00,22333957,83.25,1859301920.25
HAPU,HAPUGASTENNE,2007-12-31 00:00:00,46315789,40,1852631560
COML,COMM. LEASING,2007-12-31 00:00:00,17645840,103.5,1826344440
UML,UNITED MOTORS,2007-12-31 00:00:00,33633542,54.25,1824619653.5
SUGA,PELWATTE,2007-12-31 00:00:00,67976891,26.25,1784393388.75
RCL,ROYAL CERAMIC,2007-12-31 00:00:00,55394692,32,1772630144
PMB,PEOPLE'S MERCH,2007-12-31 00:00:00,25000000,70.5,1762500000
UAL,UNION ASSURANCE,2007-12-31 00:00:00,37500000,46.25,1734375000
GHLL,GALADARI,2007-12-31 00:00:00,182434060,9.5,1733123570
SUN,SUNSHINE HOLDING,2007-12-28 00:00:00,10000000,172.25,1722500000
TILE,LANKA TILES,2007-12-31 00:00:00,30314522,55.75,1690034601.5
NHL,NAWALOKA,2007-12-31 00:00:00,704752798,2.3,1620931435.4
AEC,AEC,2007-12-31 00:00:00,2896128,550,1592870400
HUNT,HUNTERS,2007-12-31 00:00:00,5145000,300,1543500000
INDO,INDO MALAY,2007-11-23 00:00:00,6998400,220,1539648000
KOTA,KOTAGALA,2007-12-31 00:00:00,32000000,46.75,1496000000
VPEL,VALLIBEL,2007-12-31 00:00:00,747109731,2,1494219462
JKL,JOHN KEELLS,2007-12-31 00:00:00,15200000,96,1459200000
KAHA,KAHAWATTE,2007-12-31 00:00:00,59917354,24.25,1452995834.5
MPRH,MET. RES. HOL.,2007-12-11 00:00:00,17264802,83,1432978566
KHC,KANDY HOTELS,2007-12-28 00:00:00,16500000,85,1402500000
SEYB,SEYLAN BANK,2007-12-31 00:00:00,43560000,32,1393920000
LMF,LMF,2007-12-31 00:00:00,29998500,46,1379931000
KGAL,KEGALLE,2007-12-31 00:00:00,25000000,54,1350000000
MAL,MALWATTE,2007-12-31 00:00:00,22459016,58.75,1319467190
BREW,CEYLON BREWERY,2007-12-27 00:00:00,20988090,60.5,1269779445
ACAP,ASIA CAPITAL,2007-12-31 00:00:00,110000000,11.5,1265000000
MBSL,MERCHANT BANK,2007-12-31 00:00:00,90000000,14,1260000000
LCEM,LANKA CEMENT,2007-12-31 00:00:00,173510748,7.25,1257952923
HAYC,HAYCARB,2007-12-27 00:00:00,29712375,42,1247919750
GOOD,GOOD HOPE,2007-11-27 00:00:00,6871307,180,1236835260
