Market Capitalisation of Listed Companies as at 30th December 2009,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,2009-12-30 00:00:00,612993655,171.5,105128411832.5
SLTL,SLT,2009-12-29 00:00:00,1804860000,46,83023560000
DIAL,DIALOG,2009-12-30 00:00:00,8143778405,7.25,59042393436.25
CARS,CARSONS,2009-12-30 00:00:00,96268095,490.5,47219500597.5
COMB,COMMERCIAL BANK,2009-12-30 00:00:00,233815937,189.5,44308120061.5
SPEN,AITKEN SPENCE,2009-12-30 00:00:00,27066403,1325,35862983975
CTC,CEYLON TOBACCO,2009-12-30 00:00:00,187323751,185,34654893935
HNB,HNB,2009-12-30 00:00:00,189464164,170.25,32256273921
DIST,DISTILLERIES,2009-12-30 00:00:00,300000000,105.25,31575000000
BUKI,BUKIT DARAH,2009-12-30 00:00:00,10000000,3025.5,30255000000
KHL,KEELLS HOTELS,2009-12-30 00:00:00,1092110085,22.5,24572476912.5
NEST,NESTLE,2009-12-30 00:00:00,53725463,415,22296067145
DFCC,DFCC,2009-12-30 00:00:00,132358306,167,22103837102
AHPL,AHOT PROPERTIES,2009-12-30 00:00:00,221387650,94.5,20921132925
LLUB,CHEVRON,2009-12-30 00:00:00,120000000,141.75,17010000000
NDB,NAT. DEV. BANK,2009-12-30 00:00:00,81855385,206,16862209310
DOCK,DOCKYARD,2009-12-30 00:00:00,68437071,244.75,16749973127.25
CARG,CARGILLS,2009-12-30 00:00:00,224000000,65.25,14616000000
SAMP,SAMPATH,2009-12-30 00:00:00,68887628,204.25,14070298019
HAYL,HAYLEYS,2009-12-30 00:00:00,75000000,171.75,12881250000
HHL,HEMAS HOLDINGS,2009-12-30 00:00:00,101958124,122.75,12515359721
AHUN,A.SPEN.HOT.HOLD.,2009-12-30 00:00:00,38433144,269.25,10348124022
CTHR,CEY THEATRES,2009-12-30 00:00:00,170348920,54,9198841680
LIOC,LANKA IOC,2009-12-30 00:00:00,532529905,17.25,9186140861.25
ASIR,ASIRI,2009-12-30 00:00:00,889263050,10.25,9114946262.5
GREG,ENVI. RESOURCES,2009-12-30 00:00:00,139088640,62.75,8727812160
OSEA,OVERSEAS REALTY,2009-12-30 00:00:00,562322906,15.5,8716005043
TRAN,TRANS ASIA,2009-12-30 00:00:00,50000000,174.25,8712500000
GUAR,CEYLON GUARDIAN,2009-12-30 00:00:00,18938112,450,8522150400
CTEA,TEA SERVICES,2009-12-30 00:00:00,20000000,400,8000000000
JFIN,FINLAYS COLOMBO,2009-12-30 00:00:00,35000000,210,7350000000
LION,LION  BREWERY,2009-12-30 00:00:00,80000000,81.5,6520000000
LOLC,LOLC,2009-12-30 00:00:00,47520000,137,6510240000
CDIC,CDIC,2009-12-30 00:00:00,43855007,148,6490541036
CFIN,CENTRAL FINANCE,2009-12-30 00:00:00,20300000,317.5,6445250000
NTB,NATIONS TRUST,2009-12-30 00:00:00,167714672,36.75,6163514196
CINV,CEYLON INV.,2009-12-30 00:00:00,24145803,247.5,5976086242.5
AMSL,ASIRI SURG,2009-12-30 00:00:00,528457545,11,5813032995
TKYO,TOKYO CEMENT,2009-12-30 00:00:00,18000000,322.25,5800500000
CTCE,EAGLE INSURANCE,2009-12-30 00:00:00,30000000,178,5340000000
HDEV,HOTEL DEVELOPERS,2009-12-30 00:00:00,45226100,118,5336679800
BRWN,BROWNS,2009-12-30 00:00:00,70875000,74.5,5280187500
DIPD,DIPPED PRODUCTS,2009-12-30 00:00:00,59861512,86,5148090032
RICH,RICHARD PIERIS,2009-12-30 00:00:00,128251023,39,5001789897
ASHO,LANKA ASHOK,2009-12-23 00:00:00,3620843,1345,4870033835
SEYB,SEYLAN BANK,2009-12-30 00:00:00,130000000,37,4810000000
SINS,SINGER SRI LANKA,2009-12-30 00:00:00,62604805,76.5,4789267582.5
ACL,ACL,2009-12-30 00:00:00,59893680,76.75,4596839940
CIC,CIC,2009-12-30 00:00:00,72900000,63,4592700000
SHAL,SHALIMAR,2009-12-29 00:00:00,6940080,645,4476351600
CINS,CEYLINCO INS.,2009-12-30 00:00:00,20000000,220,4400000000
LHCL,LANKA HOSPITALS,2009-12-30 00:00:00,223732169,19,4250911211
HAYC,HAYCARB,2009-12-30 00:00:00,29712375,140,4159732500
CHOT,HOTELS CORP.,2009-12-30 00:00:00,171825201,23.75,4080848523.75
LCEM,LANKA CEMENT,2009-12-30 00:00:00,173510748,23.25,4034124891
VPEL,VALLIBEL,2009-12-30 00:00:00,747109731,5,3735548655
RCL,ROYAL CERAMIC,2009-12-30 00:00:00,55394692,66.5,3683747018
