Market Capitalisation of Listed Companies as at 31st December 2010,,,,
COMPANY CODE,NAME,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,623135792,298.4,185943720332.8
CARS,CARSONS,196386914,513.2,100785764264.8
DIAL,DIALOG,8143778405,11.8,96096585179
COMB,COMMERCIAL BANK,353305387,259.9,91824070081.3
BUKI,BUKIT DARAH,102000000,885.2,90290400000
SLTL,SLT,1804860000,49,88438140000
HNB,HNB,191275606,399.9,76491114839.4
SPEN,AITKEN SPENCE,405996045,169.9,68978728045.5
CTC,CEYLON TOBACCO,187323751,355,66499931605
LOLC,LOLC,475200000,127.8,60730560000
DIST,DISTILLERIES,300000000,177.9,53370000000
DFCC,DFCC BANK,264869602,200.2,53026894320.4
CARG,CARGILLS,224000000,195.4,43769600000
AHPL,AHOT PROPERTIES,221387650,194,42949204100
SAMP,SAMPATH,152807972,271.9,41548487586.8
NEST,NESTLE,53725463,663,35619981969
AHUN,A.SPEN.HOT.HOLD.,336290010,105.7,35545854057
CTHR,C T HOLDINGS,170348920,182.7,31122747684
KHL,KEELLS HOTELS,1456146780,20,29122935600
NDB,NAT. DEV. BANK,82100951,349.5,28694282374.5
GREG,ENVI. RESOURCES,312949440,85.9,26882356896
HAYL,HAYLEYS,75000000,345,25875000000
HHL,HEMAS HOLDINGS,509790620,44.5,22685682590
RICH,RICHARD PIERIS,1935480855,10.5,20322548977.5
TRAN,TRANS ASIA,100000000,197,19700000000
LLUB,CHEVRON,120000000,159.5,19140000000
DOCK,DOCKYARD,68437071,275,18820194525
GUAR,CEYLON GUARDIAN,82096719,226,18553858494
BRWN,BROWNS,70875000,246.9,17499037500
NTB,NATIONS TRUST,209643340,83.4,17484254556
RCL,ROYAL CERAMIC,55394692,304.9,16889841590.8
CFIN,CENTRAL FINANCE,20300000,818.5,16615550000
LION,LION  BREWERY,80000000,185.1,14808000000
ASHO,LANKA ASHOK,3620843,4050,14664414150
CTEA,TEA SERVICES,20000000,713.9,14278000000
OSEA,OVERSEAS REALTY,843484359,15.3,12905310692.7
SEYB,SEYLAN BANK,130000000,97.8,12714000000
SINS,SINGER SRI LANKA,62604805,195,12207936975
CINV,CEYLON INV.,98514874,121.8,11999111653.2
CCS,COLD STORES,21600000,529.5,11437200000
TKYO,TOKYO CEMENT,202500000,55,11137500000
CIC,CIC,72900000,140.7,10257030000
LIOC,LANKA IOC,532529905,18.9,10064815204.5
TAJ,TAJ LANKA,139637494,71.7,10012008319.8
LFIN,LB FINANCE,35197143,261.9,9218131751.7
KAPI,MTD WALKERS,114357140,80.4,9194314056
LGL,LAUGFS GAS,335000086,25.9,8676502227.4
DIMO,DIMO,8702389,973.5,8471775691.5
CTCE,AVIVA N D B,30000000,280,8400000000
ASIR,ASIRI,889263050,8.8,7825514840
UML,UNITED MOTORS,67267084,115.7,7782801618.8
PABC,PAN ASIA,147520543,52,7671068236
CINS,CEYLINCO INS.,20000000,381,7620000000
GLAS,PIRAMAL GLASS,950086080,7.8,7410671424
DIPD,DIPPED PRODUCTS,59861512,119.7,7165422986.4
HUNT,HUNTERS,5145000,1385,7125825000
TILE,LANKA TILES,53050410,134.3,7124670063
LHCL,LANKA HOSPITALS,223732169,31.7,7092309757.3
