Market Capitalisation of Listed Companies as at 30th December 2011,,,,
COMPANY CODE,NAME,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,841392153,170.2,143204944440.6
CARS,CARSONS,196386914,541.2,106284597856.8
BUKI,BUKIT DARAH,102000000,1030,105060000000
CTC,CEYLON TOBACCO,187323751,490.1,91807370365.1
SLTL,SLT,1804860000,48,86633280000
COMB,COMMERCIAL BANK,765085320,100,76508532000
DIAL,DIALOG,8143778405,7.8,63521471559
SPEN,AITKEN SPENCE,405996045,120.4,48881923818
NEST,NESTLE,53725463,877,47117231051
HNB,HNB,311406247,151.3,47115765171.1
CARG,CARGILLS,224000000,203,45472000000
DIST,DISTILLERIES,300000000,147.1,44130000000
LOLC,LOLC,475200000,83.3,39584160000
AHPL,AHOT PROPERTIES,442775300,76.4,33828032920
CTHR,C T HOLDINGS,183097253,179,32774408287
SAMP,SAMPATH,156854190,195,30586567050
DFCC,DFCC BANK,265097688,112.9,29929528975.2
HAYL,HAYLEYS,75000000,375,28125000000
VONE,VALLIBEL ONE,1086559353,23.8,25860112601.4
PLC,PEOPLES LEASING,1560000160,16,24960002560
AHUN,A.SPEN.HOT.HOLD.,336290010,69.5,23372155695
LOFC,LANKAORIXFINANCE,2800000000,8.1,22680000000
NDB,NAT. DEV. BANK,164201902,138.1,22676282666.2
CFIN,CENTRAL FINANCE,104883333,203,21291316599
GUAR,CEYLON GUARDIAN,82096719,255,20934663345
LLUB,CHEVRON,120000000,170,20400000000
KHL,KEELLS HOTELS,1456146780,13.5,19657981530
EXPO,EXPOLANKA,1954915000,9,17594235000
RICH,RICHARD PIERIS,1938235800,9,17444122200
HHL,HEMAS HOLDINGS,515290620,33,17004590460
BRWN,BROWNS,70875000,234.8,16641450000
SINS,SINGER SRI LANKA,125209610,132.7,16615315247
DOCK,DOCKYARD,68437071,238.8,16342772554.8
TRAN,TRANS ASIA,200000000,79.5,15900000000
RCL,ROYAL CERAMIC,110789384,141.5,15676697836
LION,LION  BREWERY,80000000,190,15200000000
CINS,CEYLINCO INS.,20000000,746.7,14934000000
SHL,SOFTLOGIC,779000000,18,14022000000
CTEA,TEA SERVICES,20000000,700,14000000000
NTB,NATIONS TRUST,230607283,57,13144615131
LGL,LAUGFS GAS,335000086,38,12730003268
GREG,ENVI. RESOURCES,315482030,40.1,12650829403
CDIC,CDIC,43855007,278,12191691946
OSEA,OVERSEAS REALTY,843484359,14,11808781026
SEYB,SEYLAN BANK,173333333,67.6,11717333310.8
LHCL,LANKA HOSPITALS,223732169,52.1,11656446004.9
DIMO,DIMO,8876437,1302.1,11558008617.7
CLND,COLOMBO LAND,199881008,54.9,10973467339.2
CINV,CEYLON INV.,98514874,110,10836636140
ASHO,LANKA ASHOK,3620843,2925,10590965775
LIOC,LANKA IOC,532529905,18.5,9851803242.5
UML,UNITED MOTORS,67267084,146,9820994264
INDO,INDO MALAY,6998400,1390,9727776000
LFIN,LB FINANCE,69825714,138.6,9677843960.4
CCS,COLD STORES,95040000,100.1,9513504000
JFIN,FINLAYS COLOMBO,35000000,260,9100000000
HDFC,HDFC,6471052,1400.3,9061414115.6
TKYO,TOKYO CEMENT,202500000,44,8910000000
CFLB,FORT LAND,180000000,49,8820000000
BREW,CEYLON BEVERAGE,20988090,400,8395236000
SELI,SELINSING,6940080,1199,8321155920
CIC,CIC,72900000,111.5,8128350000
GOOD,GOOD HOPE,6871307,1182,8121884874
UAL,UNION ASSURANCE,75000000,108.1,8107500000
BIL,BROWNS INVSTMNTS,1860000000,4.2,7812000000
ASIR,ASIRI,889263050,8.6,7647662230
GLAS,PIRAMAL GLASS,950086080,7.9,7505680032
PABC,PAN ASIA,295041086,25.4,7494043584.4
CTCE,AVIVA N D B,30000000,247.4,7422000000
ACAP,ASIA CAPITAL,110000000,64.4,7084000000
