"Market Capitalization of Listed Companies as at December 31, 2012",,,,
COMPANY CODE,NAME,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
JKH,JKH,851509809,219.9,187247006999.1
CTC,CEYLON TOBACCO,187323751,830,155478713330
CARS,CARSONS,196386914,438.6,86135300480.4
NEST,NESTLE,53725463,1593.5,85611525290.5
COMB,COMMERCIAL BANK,780014232,103,80341465896
SLTL,SLT,1804860000,44.5,80316270000
BUKI,BUKIT DARAH,102000000,697,71094000000
DIAL,DIALOG,8143778405,8.3,67593360761.5
DIST,DISTILLERIES,300000000,166,49800000000
SPEN,AITKEN SPENCE,405996045,120,48719525400
HNB,HNB,317650102,148,47012215096
AHPL,AHOT PROPERTIES,442775300,75.9,33606645270
SAMP,SAMPATH,162736665,200.5,32628701332.5
CARG,CARGILLS,224000000,145.5,32592000000
DFCC,DFCC BANK,265097688,112.9,29929528975.2
LOLC,LOLC,475200000,53.8,25565760000
AHUN,AITKEN SPENCE HOTEL HOLDINGS,336290010,73.1,24582799731
LLUB,CHEVRON,120000000,202,24240000000
CLC,COMMERCIAL LEASING & FINANCE,6377711170,3.7,23597531329
HAYL,HAYLEYS,75000000,302.9,22717500000
CTHR,C T HOLDINGS,183097253,124,22704059372
NDB,NATIONAL DEVELOPMENT BANK,164201902,137.9,22643442285.8
LION,LION  BREWERY,80000000,270,21600000000
PLC,PEOPLES LEASING,1560000160,13.2,20592002112
KHL,KEELLS HOTELS,1456146780,13.8,20094825564
VONE,VALLIBEL ONE,1086559353,18.1,19666724289.3
CDIC,N D B CAPITAL,43855007,436.2,19129554053.4
AEL,ACCESS ENGINEERING ,1000000000,18,18000000000
CINS,CEYLINCO INSURANCE,20000000,855.9,17118000000
CFIN,CENTRAL FINANCE,104883333,162.3,17022564945.9
DOCK,DOCKYARD,71858924,224,16096398976
RICH,RICHARD PIERIS,1939237625,7.8,15126053475
GUAR,CEYLON GUARDIAN,82096719,184,15105796296
TRAN,TRANS ASIA,200000000,74,14800000000
HHL,HEMAS HOLDINGS,515290620,27,13912846740
EXPO,EXPOLANKA,1954915000,7,13684405000
CTEA,TEA SERVICES,20000000,665,13300000000
NTB,NATIONS TRUST,230607283,56,12914007848
SINS,SINGER SRI LANKA,125209610,102.3,12808943103
GSF,G S FINANCE,22500000,552.5,12431250000
OSEA,OVERSEAS REALTY,843484359,14.4,12146174769.6
ASIR,ASIRI,1099092308,11,12090015388
CCS,COLD STORES,95040000,125,11880000000
RCL,ROYAL CERAMIC,110789384,99,10968149016
INDO,INDO MALAY,6998400,1550,10847520000
LOFC,LANKA ORIX FINANCE,2800000000,3.8,10640000000
LIOC,LANKA IOC,532529905,19.5,10384333147.5
LFIN,LB FINANCE,69825714,148,10334205672
CTCE,AVIVA N D B,30000000,329.8,9894000000
SEYB,SEYLAN BANK,173333333,56,9706666648
GOOD,GOOD HOPE,6871307,1299,8925827793
BRWN,BROWNS,70875000,124.1,8795587500
LHCL,LANKA HOSPITALS,223732169,39.2,8770301024.8
LGL,LAUGFS GAS,335000086,25.6,8576002201.6
SHL,SOFTLOGIC,779000000,10.9,8491100000
BREW,CEYLON BEVERAGE,20988090,400,8395236000
CINV,CEYLON INVESTMENT,98514874,84.5,8324506853
JFIN,FINLAYS COLOMBO,35000000,233.8,8183000000
SELI,SELINSING,6940080,1125,7807590000
BIL,BROWNS INVESTMENTS,1860000000,3.9,7254000000
UAL,UNION ASSURANCE,85714286,83,7114285738
CLND,COLOMBO LAND,199881008,35.5,7095775784
UML,UNITED MOTORS,67267084,100.8,6780522067.2
MERC,MERCANTILE INVESTMENTS,3006000,2200,6613200000
DIPD,DIPPED PRODUCTS,59861512,110,6584766320
ASHO,LANKA ASHOK,3620843,1750,6336475250
SHAL,SHALIMAR,6940080,900,6246072000
CFLB,FORT LAND,180000000,34.6,6228000000
TJL,TEXTURED JERSEY,655002440,8.9,5829521716
TKYO,TOKYO CEMENT,202500000,28.6,5791500000
GLAS,PIRAMAL GLASS,950086080,6,5700516480
PABC,PAN ASIA BANK,295041086,19,5605780634
KHC,KANDY HOTELS,577500000,9.5,5486250000
ODEL,ODEL PLC,272129431,20.1,5469801563.1
DIMO,DIMO,8876437,601.8,5341839786.6
GREG,ENVIRONMENTAL RESOURCES,349367119,14.9,5205570073.1
ASHA,ASIRI CENTRAL,22333957,229,5114476153
HAYC,HAYCARB,29712375,171.1,5083787362.5
AMSL,ASIRI SURGICAL,528457545,9.3,4914655168.5
VPEL,VALLIBEL,747109731,6.5,4856213251.5
UBC,UNION BANK,349250000,13.8,4819650000
CIC,CIC,72900000,64.3,4687470000
HDEV,HOTEL DEVELOPERS,45226100,94.8,4287434280
NHL,NAWALOKA,1409505596,3,4228516788
TAJ,TAJ LANKA,139637494,30,4189124820
ACL,ACL,59893680,67.4,4036834032
CONN,AMAYA LEISURE,48034238,84,4034875992
LMF,LMF,39998000,100,3999800000
LCEY,LANKEM CEYLON,24000000,165,3960000000
JKL,JOHN KEELLS,60800000,64.5,3921600000
CHOT,HOTELS CORPORATION,171825201,22.8,3917614582.8
JINS,JANASHAKTHI INSURANCE,363000132,10.5,3811501386
SUN,SUNSHINE HOLDING,133333330,28,3733333240
GRAN,GRAIN ELEVATORS,60000000,59.5,3570000000
COCR,COMMERCIAL CREDIT,218074365,16.2,3532804713
TAP,TAPROBANE,732949140,4.8,3518155872
TILE,LANKA FLOORTILES,53050410,65,3448276650
AAIC,ASIAN ALLIANCE,37500000,89,3337500000
ACAP,ASIA CAPITAL,110000000,30.3,3333000000
LWL,LANKA WALLTILE,54600000,60.8,3319680000
FLCH,FREE LANKA,1368000000,2.4,3283200000
HDFC,HDFC,64710520,50.6,3274352312
