"Market Capitalization of Listed Companies as at December 31, 2015",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
JKH,JKH,178.1,1189384021,211829294140.1
HDEV,HOTEL DEVELOPERS,94.8,2046645686,194022011032.8
CTC,CEYLON TOBACCO,992.5,187323751,185918822867.5
COMB,COMMERCIAL BANK,140.2,820489644,115032648088.8
NEST,NESTLE,2049.5,53725463,110110336418.5
DIAL,DIALOG,10.7,8143778405,87138428933.5
SLTL,SLT,47,1804860000,84828420000
DIST,DISTILLERIES,246,300000000,73800000000
HNB,HNB,210.6,324405445,68319786717
CARS,CARSONS,346.1,196386914,67969510935.4
HHL,HEMAS HOLDINGS,92.9,572545133,53189442855.7
BUKI,BUKIT DARAH,511.2,102000000,52142400000
LION,LION  BREWERY,630,80000000,50400000000
LOLC,LOLC,94,475200000,44668800000
DFCC,DFCC BANK PLC,168.1,265097688,44562921352.8
SAMP,SAMPATH,248,172312655,42733538440
CARG,CARGILLS,189,224000000,42336000000
LLUB,CHEVRON,344,120000000,41280000000
CCS,COLD STORES,421.6,95040000,40068864000
SPEN,AITKEN SPENCE,96.7,405996045,39259817551.5
PLC,PEOPLES LEASING,22,1579862482,34756974604
NDB,NAT. DEV. BANK,194.1,165167342,32058981082.2
CINS,CEYLINCO INS.,1485.6,20000000,29712000000
ASIR,ASIRI,24,1137533596,27300806304
CFIN,CENTRAL FINANCE,253,104883333,26535483249
AHPL,AHOT PROPERTIES,59.1,442775300,26168020230
CLC,COMM LEASE & FIN,4.1,6377711170,26148615797
CTHR,C T HOLDINGS,140,183097253,25633615420
TJL,TEXTURED JERSEY,35.5,660752465,23456712507.5
VONE,VALLIBEL ONE,21.5,1086559353,23361026089.5
AEL,ACCESS ENG SL,23.1,1000000000,23100000000
HAYL,HAYLEYS,307.4,75000000,23055000000
AHUN,A.SPEN.HOT.HOLD.,68,336290010,22867720680
KHL,KEELLS HOTELS,15.4,1456146780,22424660412
UBC,UNION BANK,20.2,1091406249,22046406229.8
OSEA,OVERSEAS REALTY,23.2,887878273,20598775933.6
NTB,NATIONS TRUST,86.3,230607283,19901408522.9
LIOC,LANKA IOC,37.1,532465705,19754477655.5
TRAN,TRANS ASIA,94.4,200000000,18880000000
BREW,CEYLON BEVERAGE,850,20988090,17839876500
RICH,RICHARD PIERIS,8.5,2035038275,17297825337.5
SINS,SINGER SRI LANKA,137.9,125209610,17266405219
