"Market Capitalization of Listed Companies as at December 30th, 2016",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
JKH,JKH,145,1387467137,201182734865
HDEV,HOTEL DEVELOPERS,94.8,2046645686,194022011032.8
CTC,CEYLON TOBACCO,806.5,187323751,151076605181.5
COMB,COMMERCIAL BANK,145,833459894,120851684630
NEST,NESTLE,2001.9,53725463,107553004379.7
DIAL,DIALOG,10.5,8143778405,85509673252.5
HNB,HNB,225,330756782,74420275950
CCS,COLD STORES,750.4,95040000,71318016000
DIST,DISTILLERIES,237.1,300000000,71130000000
MELS,MELSTACORP,59.3,1165397072,69108046369.6
SLTL,SRI LANKA TELECOM,36,1804860000,64974960000
HHL,HEMAS HOLDINGS,98,572711383,56125715534
SAMP,SAMPATH,260.4,176981069,46085870367.6
CARG,CARGILLS,194.4,224000000,43545600000
LLUB,CHEVRON,157.1,240000000,37704000000
LION,LION  BREWERY,465,80000000,37200000000
LOLC,LANKA ORIX LEASING COMPANY ,72.5,475200000,34452000000
CARS,CARSONS,173.8,196386914,34132045653.2
DFCC,DFCC BANK PLC,122.5,265097688,32474466780
ASIR,ASIRI HOSPITAL HOLDINGS,26.4,1137533596,30030886934.4
TJL,TEEJAY LANKA,42.8,698592840,29899773552
CINS,CEYLINCO INSURANCE,1490,20000000,29800000000
BUKI,BUKIT DARAH,280,102000000,28560000000
PLC,PEOPLES LEASING,17.2,1579862482,27173634690.4
SPEN,AITKEN SPENCE,65,405996045,26389742925
NDB,NAT. DEV. BANK,156,165185506,25768938936
AHPL,AHOT PROPERTIES,57,442775300,25238192100
OSEA,OVERSEAS REALTY,20,1243029582,24860591640
AEL,ACCESS ENG SL,24.8,1000000000,24800000000
CTHR,C T HOLDINGS,125.2,183097253,22923776075.6
CFIN,CENTRAL FINANCE,100,216758888,21675888800
CLC,COMM LEASE & FIN,3.3,6377711170,21046446861
HAYL,HAYLEYS,270,75000000,20250000000
VONE,VALLIBEL ONE,18.6,1086559353,20210003965.8
TRAN,TRANS ASIA,94,200000000,18800000000
NTB,NATIONS TRUST,80.9,230607283,18656129194.7
COCR,COMMERCIAL CREDIT,56.3,318074365,17907586749.5
LFIN,LB FINANCE,125,139651428,17456428500
LIOC,LANKA IOC,31.7,532465705,16879162848.5
UBC,UNION BANK,15.4,1091406249,16807656234.6
RICH,RICHARD PIERIS,8,2035038275,16280306200
SHAL,SHALIMAR,2298.2,6940080,15949691856
