"Market Capitalization of Listed Companies as at December 31st, 2019",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
AAF,AAF.N0000,ASIA ASSET,8.8,124195533,1092920690.4
AAIC,AAIC.N0000,SOFTLOGIC LIFE,37.5,375000000,14062500000
ABAN,ABAN.N0000,ABANS,95.7,5110560,489080592
ABL,ABL.N0000,AMANA BANK,2.3,2501390534,5753198228.2
ACAP,ACAP.N0000,ASIA CAPITAL,7.6,131329995,998107962
ACL,ACL.N0000,ACL,57.5,119787360,6887773200
ACME,ACME.N0000,ACME,4.9,41161913,201693373.7
AEL,AEL.N0000,ACCESS ENG SL,21.8,1000000000,21800000000
AFSL,AFSL.N0000,ABANS FINANCIAL,20.7,66561573,1377824561.1
AGAL,AGAL.N0000,AGALAWATTE,15.1,25000000,377500000
AGST,AGST.N0000,AGSTAR PLC,4.5,307526310,1383868395
AGST,AGST.X0000,AGSTAR PLC,5,17473690,87368450
AHPL,AHPL.N0000,AHOT PROPERTIES,40.5,442775300,17932399650
AHUN,AHUN.N0000,A.SPEN.HOT.HOLD.,27.1,336290010,9113459271
AINS,AINS.N0000,ARPICO INSURANCE,19.2,66230407,1271623814.4
AINV,AINV.N0000,ADAM INVESTMENTS,0.2,898552400,179710480
ALHP,ALHP.N0000,ANILANA HOTELS,1.1,1133493980,1246843378
ALLI,ALLI.N0000,ALLIANCE,51.4,33696000,1731974400
ALUF,ALUF.N0000,UNISYST,13.8,22058200,304403160
ALUM,ALUM.N0000,ALUMEX PLC,14.8,299302840,4429682032
AMCL,AMCL.N0000,CAPITAL LEASING,22.4,20000000,448000000
AMF,AMF.N0000,AMF CO LTD,450,5608355,2523759750
AMSL,AMSL.N0000,ASIRI SURG,10.1,528457545,5337421204.5
APLA,APLA.N0000,ACL PLASTICS,160,4212500,674000000
ARPI,ARPI.N0000,ARPICO,150.5,7437500,1119343750
ASCO,ASCO.N0000,LANKA REALTY ,36.3,193481296,7023371044.8
ASHO,ASHO.N0000,LANKA ASHOK,789,3620843,2856845127
ASIR,ASIR.N0000,ASIRI,20,1137533596,22750671920
ASIY,ASIY.N0000,ASIA SIYAKA,2.5,260000000,650000000
ASPH,ASPH.N0000,INDUSTRIAL ASPH.,296.5,666562,197635633
ASPM,ASPM.N0000,SPENCEPLANTATION,45.5,21300000,969150000
ATL,ATL.N0000,AMANA TAKAFUL,5.3,180000130,954000689
ATLL,ATLL.N0000,AMANA LIFE,7,50000000,350000000
AUTO,AUTO.N0000,AUTODROME,74.9,12000000,898800000
BALA,BALA.N0000,BALANGODA,12,23636363,283636356
BBH,BBH.N0000,BROWNS BEACH,13,129600000,1684800000
BERU,BERU.N0000,BERUWALA RESORTS,1,600000000,600000000
BFL,BFL.N0000,BAIRAHA FARMS,112,16000000,1792000000
BFN,BFN.N0000,ORIENT FINANCE,11.9,175917629,2093419785.1
BIL,BIL.N0000,BROWNS INVSTMNTS,5,4792491188,23962455940
BLI,BLI.N0000,BIMPUTH FINANCE,25.6,107733344,2757973606.4
BLUE,BLUE.N0000,BLUE DIAMONDS,0.7,206601782,144621247.4
BLUE,BLUE.X0000,BLUE DIAMONDS,0.3,194633623,58390086.9
BOGA,BOGA.N0000,BOGALA GRAPHITE,16,94632904,1514126464
BOPL,BOPL.N0000,BOGAWANTALAWA,10.4,83750000,871000000
BPPL,BPPL.N0000,BPPL HOLDINGS,12.2,306843357,3743488955.4
BREW,BREW.N0000,CEYLON BEVERAGE,855.2,20988090,17949014568
BRR,BRR.N0000,BANSEI RESORTS,6.1,53728000,327740800
BRWN,BRWN.N0000,BROWNS,72.9,212625000,15500362500
BUKI,BUKI.N0000,BUKIT DARAH,230.1,102000000,23470200000
CABO,CABO.N0000,CARGO BOAT,53.5,18031995,964711732.5
CALF,CALF.N0000,DIALOG FINANCE,43,91336974,3927489882
CARE,CARE.N0000,PRINTCARE PLC,30,85966670,2579000100
CARG,CARG.N0000,CARGILLS,193,257221043,49643661299
CARS,CARS.N0000,CARSONS,190,196386914,37313513660
CCS,CCS.N0000,COLD STORES,795,95040000,75556800000
CDB,CDB.N0000,CDB,83.9,59449080,4987777812
CDB,CDB.X0000,CDB,67.5,10343668,698197590
CERA,CERA.N0000,LANKA CERAMIC,138.6,6000000,831600000
CFI,CFI.N0000,CFI,62.1,6910041,429113546.1
CFIN,CFIN.N0000,CENTRAL FINANCE,104,220674367,22950134168
CFLB,CFLB.N0000,FORT LAND,13.4,180000000,2412000000
CFT,CFT.N0000,CFT,3.2,140196000,448627200
CFVF,CFVF.N0000,FIRST CAPITAL,40.4,101250000,4090500000
CHL,CHL.N0000,DURDANS,78,25527272,1991127216
CHL,CHL.X0000,DURDANS,67.4,8345454,562483599.6
CHMX,CHMX.N0000,CHEMANEX,58.5,15707312,918877752
CHOT,CHOT.N0000,HOTELS CORP.,11.8,180030942,2124365115.6
CHOU,CHOU.N0000,CITY HOUSING,3.6,13379850,48167460
CIC,CIC.N0000,CIC,60,72900000,4374000000
CIC,CIC.X0000,CIC,47.6,21870000,1041012000
CIND,CIND.N0000,CENTRAL IND.,54,19768428,1067495112
CINS,CINS.N0000,CEYLINCO INS.,1986.9,20000000,39738000000
CINS,CINS.X0000,CEYLINCO INS.,840,6414480,5388163200
CINV,CINV.N0000,CEYLON INV.,51.5,99451059,5121729538.5
CIT,CIT.N0000,CIT,80.9,6843044,553602259.6
CITH,CITH.N0000,CITRUS HIKKADUWA,6.6,284898354,1880329136.4
CITW,CITW.N0000,CITRUS WASKADUWA,5.6,559857096,3135199737.6
CLC,CLC.N0000,COMM LEASE & FIN,3.4,6377711170,21684217978
CLND,CLND.N0000,COLOMBO LAND,26,199881008,5196906208
COCO,COCO.N0000,RENUKA FOODS,18.8,117960106,2217649992.8
COCO,COCO.X0000,RENUKA FOODS,12.3,4773346,58712155.8
COCR,COCR.N0000,COM.CREDIT,29.5,318074365,9383193767.5
COLO,COLO.N0000,C M HOLDINGS,79,15200000,1200800000
COMB,COMB.N0000,COMMERCIAL BANK,95,961252317,91318970115
COMB,COMB.X0000,COMMERCIAL BANK,83,66254269,5499104327
COMD,COMD.N0000,COMMERCIAL DEV.,79.1,12000000,949200000
CONN,CONN.N0000,AMAYA LEISURE,36.7,53994979,1981615729.3
CPRT,CPRT.N0000,CEYLON PRINTERS,64.5,600170,38710965
CRL,CRL.N0000,SOFTLOGIC FIN,16.7,103369280,1726266976
CSD,CSD.N0000,SEYLAN DEVTS,11.5,147964860,1701595890
CSEC,CSEC.N0000,DUNAMIS CAPITAL,46.6,122997050,5731662530
CSF,CSF.N0000,NATION LANKA,1.1,1353792606,1489171866.6
CTBL,CTBL.N0000,CEYLON TEA BRKRS,3.4,182400000,620160000
CTC,CTC.N0000,CEYLON TOBACCO,1100.3,187323751,206112323225.3
CTEA,CTEA.N0000,DILMAH CEYLON,574.8,20737500,11919915000
CTHR,CTHR.N0000,C T HOLDINGS,168.1,201406978,33856513001.8
CTLD,CTLD.N0000,C T LAND,30,81250000,2437500000
CWM,CWM.N0000,C.W.MACKIE,45,35988556,1619485020
DFCC,DFCC.N0000,DFCC BANK PLC,91.9,304188756,27954946676.4
DIAL,DIAL.N0000,DIALOG,12.3,8143778405,100168474381.5
DIMO,DIMO.N0000,DIMO,320,8876437,2840459840
DIPD,DIPD.N0000,DIPPED PRODUCTS,84,59861512,5028367008
DIST,DIST.N0000,DISTILLERIES,18.5,4600000000,85100000000
DOCK,DOCK.N0000,DOCKYARD,62,71858924,4455253288
DPL,DPL.N0000,DANKOTUWA PORCEL,8,162552920,1300423360
EAST,EAST.N0000,EAST WEST,8.4,138240000,1161216000
EBCR,EBCR.N0000,E B CREASY,1202,2535458,3047620516
ECL,ECL.N0000,E - CHANNELLING,5.5,122131415,671722782.5
EDEN,EDEN.N0000,EDEN HOTEL LANKA,18.4,105600000,1943040000
ELPL,ELPL.N0000,ELPITIYA,18.9,72866428,1377175489.2
EMER,EMER.N0000,EASTERN MERCHANT,5.9,117446000,692931400
ESL,ESL.N0000,ENTRUST SEC,24,33000014,792000336
ETWO,ETWO.N0000,EQUITY TWO PLC,54,31000000,1674000000
EXPO,EXPO.N0000,EXPOLANKA,5.1,1954915000,9970066500
GEST,GEST.N0000,GESTETNER,105,2657812,279070260
GHLL,GHLL.N0000,GALADARI,9.1,500829564,4557549032.4
GLAS,GLAS.N0000,PIRAMAL GLASS,4.5,950086080,4275387360
GOOD,GOOD.N0000,GOOD HOPE,769,3883782,2986628358
GRAN,GRAN.N0000,GRAIN ELEVATORS,68.5,60000000,4110000000
GREG,GREG.N0000,AMBEON HOLDINGS,12.9,356869666,4603618691.4
GSF,GSF.N0000,PRIME FINANCE,16.9,79200000,1338480000
GUAR,GUAR.N0000,CEYLON GUARDIAN,91.3,82978868,7575970648.4
HAPU,HAPU.N0000,HAPUGASTENNE,15.5,46315789,717894729.5
HARI,HARI.N0000,HARISCHANDRA,1528,1919600,2933148800
HASU,HASU.N0000,HNB ASSURANCE,138,50000000,6900000000
HAYC,HAYC.N0000,HAYCARB,190,29712375,5645351250
HAYL,HAYL.N0000,HAYLEYS,174.9,75000000,13117500000
HDEV,HDEV.N0000,HOTEL DEVELOPERS,94.8,2046645686,194022011032.8
HDFC,HDFC.N0000,HDFC,32,64710520,2070736640
HEXP,HEXP.N0000,HAYLEYS FIBRE,92,8000000,736000000
HHL,HHL.N0000,HEMAS HOLDINGS,80,596043425,47683474000
HNB,HNB.N0000,HNB,172.2,401343863,69111413208.6
HNB,HNB.X0000,HNB,135.5,99062844,13423015362
HOPL,HOPL.N0000,HORANA,21.9,25000000,547500000
HPFL,HPFL.N0000,LOTUS HYDRO,6,109088112,654528672
HPL,HPL.N0000,HATTON,6.9,236666671,1633000029.9
HPWR,HPWR.N0000,RESUS ENERGY,25,75508262,1887706550
HSIG,HSIG.N0000,HOTEL SIGIRIYA,61.7,5859000,361500300
HUEJ,HUEJ.N0000,HUEJAY,22.4,1800000,40320000
HUNA,HUNA.N0000,HUNAS FALLS,161.1,5625000,906187500
HUNT,HUNT.N0000,HUNTERS,399.9,5145000,2057485500
HVA,HVA.N0000,HVA FOODS,3.9,66428660,259071774
IDL,IDL.N0000,SERENDIB ENG.GRP,6.4,32383250,207252800
INDO,INDO.N0000,INDO MALAY,1050.4,4811400,5053894560
JETS,JETS.N0000,JETWING SYMPHONY,11.3,502188559,5674730716.7
JINS,JINS.N0000,JANASHAKTHI INS.,32.5,226526153,7362099972.5
JKH,JKH.N0000,JKH,167.6,1318305297,220947967777.2
JKL,JKL.N0000,JOHN KEELLS,49,60800000,2979200000
KAHA,KAHA.N0000,KAHAWATTE,36.5,79889805,2915977882.5
KAPI,KAPI.N0000,MTD WALKERS,14.8,167647568,2481184006.4
KCAB,KCAB.N0000,KELANI CABLES,85,21800000,1853000000
KDL,KDL.N0000,KELSEY,23.6,17429274,411330866.4
KFP,KFP.N0000,KEELLS FOOD,122.5,25500000,3123750000
KGAL,KGAL.N0000,KEGALLE,59.5,25000000,1487500000
KHC,KHC.N0000,KANDY HOTELS,5.6,577500000,3234000000
KHL,KHL.N0000,KEELLS HOTELS,11.6,1456146780,16891302648
KOTA,KOTA.N0000,KOTAGALA,7.2,75225000,541620000
KVAL,KVAL.N0000,KELANI VALLEY,89,34000000,3026000000
KZOO,KZOO.N0000,RENUKA CAPITAL,3.7,173798500,643054450
LALU,LALU.N0000,LANKA ALUMINIUM,68,13702823,931791964
LAMB,LAMB.N0000,KOTMALE HOLDINGS,214.7,31400000,6741580000
LCEM,LCEM.N0000,LANKA CEMENT,2.5,173510748,433776870
LCEY,LCEY.N0000,LANKEM CEYLON,25.5,33853200,863256600
LDEV,LDEV.N0000,LANKEM DEV.,3.5,120000000,420000000
LFIN,LFIN.N0000,LB FINANCE,153.3,139651428,21408563912.4
LGL,LGL.N0000,LAUGFS GAS,17.5,335000086,5862501505
LGL,LGL.X0000,LAUGFS GAS,13.2,52000000,686400000
LHCL,LHCL.N0000,LANKA HOSPITALS,40.7,223732169,9105899278.3
LHL,LHL.N0000,LIGHTHOUSE HOTEL,36.9,46000000,1697400000
LIOC,LIOC.N0000,LANKA IOC,19,532465705,10116848395
LION,LION.N0000,LION  BREWERY,602,80000000,48160000000
LITE,LITE.N0000,LAXAPANA,10.3,39000000,401700000
LLMP,LLMP.N0000,LUCKY LANKA,1.1,176028410,193631251
LLMP,LLMP.X0000,LUCKY LANKA,0.8,24000000,19200000
LLUB,LLUB.N0000,CHEVRON,74.9,240000000,17976000000
LMF,LMF.N0000,LMF,100.1,39998000,4003799800
LOFC,LOFC.N0000,LOLC FINANCE,3.9,5250000000,20475000000
LOLC,LOLC.N0000,L O L C HOLDINGS,177.5,475200000,84348000000
LPL,LPL.N0000,LAUGFS POWER,5,335000086,1675000430
LPL,LPL.X0000,LAUGFS POWER,4,52000000,208000000
LPRT,LPRT.N0000,LAKE HOUSE PRIN.,150,2937245,440586750
LVEF,LVEF.N0000,LVL ENERGY,7.5,582278117,4367085877.5
LVEN,LVEN.N0000,LANKA VENTURES,40,50000000,2000000000
LWL,LWL.N0000,LANKA WALLTILE,72.5,54600000,3958500000
MADU,MADU.N0000,MADULSIMA,6.8,169501097,1152607459.6
