"Market Capitalization of Listed Companies as at December , 2021",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
AAF,AAF.N0000,ASIA ASSET,8.4,124195533,1043242477.2
AAIC,AAIC.N0000,Softlogic Life,71,375000000,26625000000
ABAN,ABAN.N0000,ABANS,210.25,5110560,1074495240
ABL,ABL.N0000,AMANA BANK,4.4,2691151194,11841065253.6
ACAP,ACAP.N0000,ASIA CAPITAL,8.6,131329995,1129437957
ACL,ACL.N0000,ACL,100.25,239574720,24017365680
ACME,ACME.N0000,ACME,17.2,41161913,707984903.6
AEL,AEL.N0000,ACCESS ENG SL,31.9,1000000000,31900000000
AFSL,AFSL.N0000,ABANS FINANCIAL,32,66561573,2129970336
AGAL,AGAL.N0000,AGALAWATTE,53.7,156250000,8390625000
AGST,AGST.N0000,AGSTAR PLC,10.6,307526310,3259778886
AGST,AGST.X0000,AGSTAR PLC,5,17473690,87368450
AHPL,AHPL.N0000,AHOT PROPERTIES,44.1,442775300,19526390730
AHUN,AHUN.N0000,A.SPEN.HOT.HOLD.,42.3,336290010,14225067423
AINS,AINS.N0000,ARPICO INSURANCE,25.9,66230407,1715367541.3
AINV,AINV.N0000,ADAM INVESTMENTS,0.2,898552400,179710480
ALHP,ALHP.N0000,ANILANA HOTELS,1.4,1281320814,1793849139.6
ALLI,ALLI.N0000,ALLIANCE,104.75,33696000,3529656000
ALUF,ALUF.N0000,UNISYST,21.9,44116400,966149160
ALUM,ALUM.N0000,ALUMEX PLC,15.9,598605680,9517830312
AMCL,AMCL.N0000,CAPITAL LEASING,22.4,20000000,448000000
AMF,AMF.N0000,AMF CO LTD,13.6,113327268,1541250844.8
AMSL,AMSL.N0000,ASIRI SURG,17.3,528457545,9142315528.5
APLA,APLA.N0000,ACL PLASTICS,570.75,4212500,2404284375
ASCO,ASCO.N0000,LANKA REALTY ,26,211370428,5495631128
ASHO,ASHO.N0000,LANKA ASHOK,698.25,3620843,2528253624.75
ASIR,ASIR.N0000,ASIRI,32.5,1137533596,36969841870
ASIY,ASIY.N0000,ASIA SIYAKA,3.2,260000000,832000000
ASPH,ASPH.N0000,INDUSTRIAL ASPH.,0.7,3749411250,2624587875
ASPM,ASPM.N0000,SPENCEPLANTATION,45.5,21300000,969150000
ATL,ATL.N0000,AMANA TAKAFUL,12.7,180000130,2286001651
ATLL,ATLL.N0000,AMANA LIFE,19,50000000,950000000
AUTO,AUTO.N0000,AUTODROME,109.5,12000000,1314000000
BALA,BALA.N0000,BALANGODA,30.3,23636363,716181798.9
BBH,BBH.N0000,BROWNS BEACH,12.5,129600000,1620000000
BERU,BERU.N0000,BERUWALA RESORTS,1.5,600000000,900000000
BFL,BFL.N0000,BAIRAHA FARMS,286.5,16000000,4584000000
BFN,BFN.N0000,ORIENT FINANCE,16,211101155,3377618480
BIL,BIL.N0000,BROWNS INVSTMNTS,16.3,14369717460,234226394598
BLI,BLI.N0000,BIMPUTH FINANCE,8.1,107733344,872640086.4
BLUE,BLUE.N0000,BLUE DIAMONDS,0.9,206601782,185941603.8
BLUE,BLUE.X0000,BLUE DIAMONDS,0.5,194633623,97316811.5
BOGA,BOGA.N0000,BOGALA GRAPHITE,101.75,94632904,9628897982
BOPL,BOPL.N0000,BOGAWANTALAWA,22.5,83750000,1884375000
BPPL,BPPL.N0000,BPPL HOLDINGS,28.2,306843357,8652982667.4
BREW,BREW.N0000,CEYLON BEVERAGE,825.25,20988090,17320421272.5
BRR,BRR.N0000,BANSEI RESORTS,10.8,53728000,580262400
BRWN,BRWN.N0000,BROWNS,369.5,212625000,78564937500
BUKI,BUKI.N0000,BUKIT DARAH,402.5,102000000,41055000000
CABO,CABO.N0000,CARGO BOAT,68,18031995,1226175660
CALF,CALF.N0000,DIALOG FINANCE,83.5,117399866,9802888811
CALT,CALT.N0000,CALT,18,329417884,5929521912
CARE,CARE.N0000,PRINTCARE PLC,48.6,85966670,4177980162
CARG,CARG.N0000,CARGILLS,215.25,257677731,55465131597.75
CARS,CARS.N0000,CARSONS,307,196386914,60290782598
CCS,CCS.N0000,COLD STORES,530,95040000,50371200000
CDB,CDB.N0000,CDB,173.75,59449080,10329277650
CDB,CDB.X0000,CDB,88.8,10343668,918517718.4
CERA,CERA.N0000,LANKA CERAMIC,150,6000000,900000000
CFI,CFI.N0000,CFI,89.9,7019579,631060152.1
CFIN,CFIN.N0000,CENTRAL FINANCE,93,227354462,21143964966
CFLB,CFLB.N0000,FORT LAND,25.4,240000000,6096000000
CFT,CFT.N0000,CFT,3.2,140196000,448627200
CFVF,CFVF.N0000,FIRST CAPITAL,42.2,101250000,4272750000
CHL,CHL.N0000,DURDANS,151,25527272,3854618072
CHL,CHL.X0000,DURDANS,123.5,8345454,1030663569
CHMX,CHMX.N0000,CHEMANEX,77.3,15707312,1214175217.6
CHOT,CHOT.N0000,HOTELS CORP.,18.4,180030942,3312569332.8
CHOU,CHOU.N0000,CITY HOUSING,3.6,13379850,48167460
CIC,CIC.N0000,CIC,65,291600000,18954000000
CIC,CIC.X0000,CIC,49.1,87480000,4295268000
CIND,CIND.N0000,CENTRAL IND.,211.75,21788936,4613807198
CINS,CINS.N0000,CEYLINCO INS.,2249.75,20000000,44995000000
CINS,CINS.X0000,CEYLINCO INS.,1197,6414480,7678132560
CINV,CINV.N0000,CEYLON INV.,53.6,101338041,5431718997.6
CIT,CIT.N0000,CIT,136.75,6908737,944769784.75
CITH,CITH.N0000,CITRUS HIKKADUWA,6.8,284898354,1937308807.2
CITW,CITW.N0000,CITRUS WASKADUWA,3.7,559857096,2071471255.2
CLC,CLC.N0000,COMM LEASE & FIN,29.9,6377711170,190693563983
CLND,CLND.N0000,COLOMBO LAND,34.4,199881008,6875906675.2
COCO,COCO.N0000,RENUKA FOODS,20.5,117960106,2418182173
COCO,COCO.X0000,RENUKA FOODS,14,4773346,66826844
COCR,COCR.N0000,COM.CREDIT,30.4,318074365,9669460696
COLO,COLO.N0000,C M HOLDINGS,149,15200000,2264800000
COMB,COMB.N0000,COMMERCIAL BANK,79.3,1124480528,89171305870.4
COMB,COMB.X0000,COMMERCIAL BANK,72,69740771,5021335512
COMD,COMD.N0000,COMMERCIAL DEV.,136,12000000,1632000000
CONN,CONN.N0000,HAYLEYS LEISURE,22.5,107989958,2429774055
COOP,COOP.N0000,COOP INSURANCE,7,1652177600,11565243200
CPRT,CPRT.N0000,CEYLON PRINTERS,52,600170,31208840
CRL,CRL.N0000,SOFTLOGIC FIN,13,492726902,6405449726
CSD,CSD.N0000,SEYLAN DEVTS,18,147964860,2663367480
CSF,CSF.N0000,NATION LANKA,1.3,1353792606,1759930387.8
CTBL,CTBL.N0000,CEYLON TEA BRKRS,4.2,182400000,766080000
CTC,CTC.N0000,CEYLON TOBACCO,878,187323751,164470253378
CTEA,CTEA.N0000,DILMAH CEYLON,747.5,20737500,15501281250
CTHR,CTHR.N0000,C T HOLDINGS,166.5,201406978,33534261837
CTLD,CTLD.N0000,C T LAND,30,81250000,2437500000
CWL,CWL.N0000,CHRISSWORLD,21.3,30000000,639000000
CWM,CWM.N0000,C.W.MACKIE,68,35988556,2447221808
DFCC,DFCC.N0000,DFCC BANK PLC,60,320522436,19231346160
DIAL,DIAL.N0000,DIALOG,10.9,8200607505,89386621804.5
DIMO,DIMO.N0000,DIMO,618,9231494,5705063292
DIPD,DIPD.N0000,DIPPED PRODUCTS,50.7,598615120,30349786584
DIST,DIST.N0000,DISTILLERIES,17,4600000000,78200000000
DOCK,DOCK.N0000,DOCKYARD,79.4,71858924,5705598565.6
DPL,DPL.N0000,DANKOTUWA PORCEL,14.6,162552920,2373272632
EAST,EAST.N0000,EAST WEST,10.4,138240000,1437696000
EBCR,EBCR.N0000,E B CREASY,26.5,253545800,6718963700
ECL,ECL.N0000,E - CHANNELLING,26.2,122131415,3199843073
EDEN,EDEN.N0000,EDEN HOTEL LANKA,33.3,528000000,17582400000
ELPL,ELPL.N0000,ELPITIYA,150,72866428,10929964200
EMER,EMER.N0000,EASTERN MERCHANT,9,117446000,1057014000
EML,EML.N0000,EML CONSULTANTS,25,90900000,2272500000
ETWO,ETWO.N0000,EQUITY TWO PLC,50.8,31000000,1574800000
EXPO,EXPO.N0000,EXPOLANKA,375.25,1954915000,733581853750
FCT,FCT.N0000,FC TREASURIES,40.3,153900000,6202170000
GEST,GEST.N0000,GESTETNER,75.4,2657812,200399024.8
GHLL,GHLL.N0000,GALADARI,22.2,500829564,11118416320.8
GLAS,GLAS.N0000,PGP GLASS,18.2,950086080,17291566656
GOOD,GOOD.N0000,GOOD HOPE,1005,3883782,3903200910
GRAN,GRAN.N0000,GRAIN ELEVATORS,121.75,60000000,7305000000
GREG,GREG.N0000,AMBEON HOLDINGS,48.9,356869666,17450926667.4
GSF,GSF.N0000,PRIME FINANCE,18.8,121000000,2274800000
GUAR,GUAR.N0000,CEYLON GUARDIAN,104,82978868,8629802272
HAPU,HAPU.N0000,HAPUGASTENNE,44.9,46315789,2079578926.1
HARI,HARI.N0000,HARISCHANDRA,3998.25,1919600,7675040700
HASU,HASU.N0000,HNB ASSURANCE,48.4,150000000,7260000000
HAYC,HAYC.N0000,HAYCARB,76.8,297123750,22819104000
HAYL,HAYL.N0000,HAYLEYS,130,750000000,97500000000
HBS,HBS.N0000,hSENID BIZ,34.6,276695376,9573660009.6
HDFC,HDFC.N0000,HDFC,30.5,64710520,1973670860
HEXP,HEXP.N0000,HAYLEYS FIBRE,81.3,24000000,1951200000
HHL,HHL.N0000,HEMAS HOLDINGS,66.9,596546025,39908929072.5
HNB,HNB.N0000,HNB,135,420859924,56816089740
HNB,HNB.X0000,HNB,122.25,105044649,12841708340.25
HNBF,HNBF.N0000,HNB FINANCE,10.4,1421380624,14782358489.6
HNBF,HNBF.X0000,HNB FINANCE,9.6,298200000,2862720000
HOPL,HOPL.N0000,HORANA,30.1,25000000,752500000
HPFL,HPFL.N0000,LOTUS HYDRO,10.2,109088112,1112698742.4
HPL,HPL.N0000,HATTON,12.6,236666671,2982000054.6
HPWR,HPWR.N0000,RESUS ENERGY,40.9,79030655,3232353789.5
HSIG,HSIG.N0000,HOTEL SIGIRIYA,85,5859000,498015000
HUNA,HUNA.N0000,HUNAS FALLS,1100.5,5625000,6190312500
HUNT,HUNT.N0000,HUNTERS,650,5145000,3344250000
HVA,HVA.N0000,HVA FOODS,6.7,66428660,445072022
IDL,IDL.N0000,SERENDIB ENG.GRP,7,32383250,226682750
INDO,INDO.N0000,INDO MALAY,1123.2,4811400,5404164480
JAT,JAT.N0000,JAT HOLDINGS,21.5,510407773,10973767119.5
JETS,JETS.N0000,JETWING SYMPHONY,12.6,502188559,6327575843.4
JINS,JINS.N0000,JANASHAKTHI INS.,30.7,226526153,6954352897.1
JKH,JKH.N0000,JKH,150,1319776451,197966467650
JKL,JKL.N0000,JOHN KEELLS,71.9,60800000,4371520000
KAHA,KAHA.N0000,KAHAWATTE,27.6,99406691,2743624671.6
KAPI,KAPI.N0000,MTD WALKERS,14.8,167647568,2481184006.4
KCAB,KCAB.N0000,KELANI CABLES,489.75,21800000,10676550000
KDL,KDL.N0000,KELSEY,35.3,17429274,615253372.2
