"Market Capitalization of Listed Companies as at December, 2022",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
AAF,AAF.N0000,ASIA ASSET,7.7,124195533,956305604.1
AAIC,AAIC.N0000,Softlogic Life,86.6,375000000,32475000000
ABAN,ABAN.N0000,ABANS,143.5,5110560,733365360
ABL,ABL.N0000,AMANA BANK,2.9,2783949511,8073453581.9
ACAP,ACAP.N0000,ASIA CAPITAL,4.1,131329995,538452979.5
ACL,ACL.N0000,ACL,70.1,239574720,16794187872
ACME,ACME.N0000,ACME,6.9,95000000,655500000
AEL,AEL.N0000,ACCESS ENG SL,10.7,1000000000,10700000000
AFS,AFS.N0000,ALPHA FIRE,11.7,2760000,32292000
AFSL,AFSL.N0000,ABANS FINANCIAL,20.8,73693171,1532817956.8
AGAL,AGAL.N0000,AGALAWATTE,31.9,156250000,4984375000
AGST,AGST.N0000,AGSTAR PLC,15.4,461289465,7103857761
AGST,AGST.X0000,AGSTAR PLC,5,26210535,131052675
AHPL,AHPL.N0000,AHOT PROPERTIES,37.4,442775300,16559796220
AHUN,AHUN.N0000,A.SPEN.HOT.HOLD.,50.8,336290010,17083532508
AINS,AINS.N0000,ARPICO INSURANCE,22.7,66230407,1503430238.9
ALHP,ALHP.N0000,ANILANA HOTELS,0.9,1281320814,1153188732.6
ALLI,ALLI.N0000,ALLIANCE,57,33696000,1920672000
ALUF,ALUF.N0000,UNISYST,5.7,44116400,251463480
ALUM,ALUM.N0000,ALUMEX PLC,7.2,598605680,4309960896
AMCL,AMCL.N0000,CAPITAL LEASING,22.4,20000000,448000000
AMF,AMF.N0000,AMF CO LTD,8.1,113327268,917950870.8
AMSL,AMSL.N0000,ASIRI SURG,13,528457545,6869948085
APLA,APLA.N0000,ACL PLASTICS,365,4212500,1537562500
ASCO,ASCO.N0000,LANKA REALTY ,10.1,211370428,2134841322.8
ASHO,ASHO.N0000,LANKA ASHOK,615,3620843,2226818445
ASIR,ASIR.N0000,ASIRI,25.7,1137533596,29234613417.2
ASIY,ASIY.N0000,ASIA SIYAKA,4.1,260000000,1066000000
ASPH,ASPH.N0000,INDUSTRIAL ASPH.,0.3,3749411250,1124823375
ASPM,ASPM.N0000,SPENCEPLANTATION,56.8,21300000,1209840000
ATL,ATL.N0000,AMANA TAKAFUL,12.2,180000130,2196001586
ATLL,ATLL.N0000,AMANA LIFE,31.6,50000000,1580000000
AUTO,AUTO.N0000,AUTODROME,111.5,12000000,1338000000
BALA,BALA.N0000,BALANGODA,82,47272726,3876363532
BBH,BBH.N0000,BROWNS BEACH,12.7,129600000,1645920000
BERU,BERU.N0000,BERUWALA RESORTS,1.2,600000000,720000000
BFL,BFL.N0000,BAIRAHA FARMS,157.5,17600000,2772000000
BFN,BFN.N0000,ORIENT FINANCE,8.5,211101155,1794359817.5
BIL,BIL.N0000,BROWNS INVSTMNTS,7,14369717460,100588022220
BLI,BLI.N0000,BIMPUTH FINANCE,7.2,107733344,775680076.8
BLUE,BLUE.N0000,BLUE DIAMONDS,0.9,206601782,185941603.8
BLUE,BLUE.X0000,BLUE DIAMONDS,0.3,194633623,58390086.9
BOGA,BOGA.N0000,BOGALA GRAPHITE,45.8,94632904,4334187003.2
BOPL,BOPL.N0000,BOGAWANTALAWA,44.9,83750000,3760375000
BPPL,BPPL.N0000,BPPL HOLDINGS,22.9,306843357,7026712875.3
BREW,BREW.N0000,CEYLON BEVERAGE,900,20988090,18889281000
BRR,BRR.N0000,BANSEI RESORTS,10,53728000,537280000
BRWN,BRWN.N0000,BROWNS,118,212625000,25089750000
BUKI,BUKI.N0000,BUKIT DARAH,291.75,102000000,29758500000
CABO,CABO.N0000,CARGO BOAT,45.4,18031995,818652573
CALF,CALF.N0000,DIALOG FINANCE,63,117399866,7396191558
CALT,CALT.N0000,CALT,19.9,329417884,6555415891.6
CARE,CARE.N0000,PRINTCARE PLC,54.8,85966670,4710973516
CARG,CARG.N0000,CARGILLS,234.75,257677731,60489847352.25
CARS,CARS.N0000,CARSONS,269.75,196386914,52975370051.5
CCS,CCS.N0000,COLD STORES,36.9,950400000,35069760000
CDB,CDB.N0000,CDB,190,59512375,11307351250
CDB,CDB.X0000,CDB,53.4,10343668,552351871.2
CERA,CERA.N0000,LANKA CERAMIC,99.1,6000000,594600000
CFI,CFI.N0000,CFI,68,8610121,585488228
CFIN,CFIN.N0000,CENTRAL FINANCE,62.5,227354462,14209653875
CFLB,CFLB.N0000,FORT LAND,28.3,240000000,6792000000
CFVF,CFVF.N0000,FIRST CAPITAL,27.9,405000000,11299500000
CHL,CHL.N0000,DURDANS,145,25527272,3701454440
CHL,CHL.X0000,DURDANS,110,8345454,917999940
CHMX,CHMX.N0000,CHEMANEX,72,15707312,1130926464
CHOT,CHOT.N0000,HOTELS CORP.,17,180030942,3060526014
CHOU,CHOU.N0000,CITY HOUSING,3.6,13379850,48167460
CIC,CIC.N0000,CIC,85,291600000,24786000000
CIC,CIC.X0000,CIC,55.6,87480000,4863888000
CIND,CIND.N0000,CENTRAL IND.,58,23466490,1361056420
CINS,CINS.N0000,CEYLINCO INS.,2249.5,20000000,44990000000
CINS,CINS.X0000,CEYLINCO INS.,1026.75,6414480,6586067340
CINV,CINV.N0000,CEYLON INV.,31.2,100344530,3130749336
CIT,CIT.N0000,CIT,130.75,7012368,916867116
CITH,CITH.N0000,CITRUS HIKKADUWA,5,284898354,1424491770
CITW,CITW.N0000,CITRUS WASKADUWA,2.5,559857096,1399642740
CLND,CLND.N0000,COLOMBO LAND,15.7,199881008,3138131825.6
COCO,COCO.N0000,RENUKA FOODS,21.7,117960106,2559734300.2
COCO,COCO.X0000,RENUKA FOODS,16.5,4773346,78760209
COCR,COCR.N0000,COM.CREDIT,22.5,318074365,7156673212.5
COLO,COLO.N0000,C M HOLDINGS,67.1,15200000,1019920000
COMB,COMB.N0000,COMMERCIAL BANK,50.2,1167236442,58595269388.4
COMB,COMB.X0000,COMMERCIAL BANK,41.3,72541605,2995968286.5
COMD,COMD.N0000,COMMERCIAL DEV.,95.5,12000000,1146000000
CONN,CONN.N0000,HAYLEYS LEISURE,21.1,107989958,2278588113.8
COOP,COOP.N0000,COOP INSURANCE,4,1652177600,6608710400
CPRT,CPRT.N0000,CEYLON PRINTERS,74.7,600170,44832699
CRL,CRL.N0000,SOFTLOGIC FIN,11.3,609210803,6884082073.9
CSD,CSD.N0000,SEYLAN DEVTS,11.8,147964860,1745985348
CSF,CSF.N0000,NATION LANKA,0.5,2933836839,1466918419.5
CTBL,CTBL.N0000,CEYLON TEA BRKRS,4.2,182400000,766080000
CTC,CTC.N0000,CEYLON TOBACCO,625,187323751,117077344375
CTEA,CTEA.N0000,DILMAH CEYLON,1122.25,20737500,23272659375
CTHR,CTHR.N0000,C T HOLDINGS,175,201406978,35246221150
CTLD,CTLD.N0000,C T LAND,24.7,81250000,2006875000
CWL,CWL.N0000,CHRISSWORLD,10.4,30000000,312000000
CWM,CWM.N0000,C.W.MACKIE,81.9,35988556,2947462736.4
DFCC,DFCC.N0000,DFCC BANK PLC,32,402666056,12885313792
DIAL,DIAL.N0000,DIALOG,8.5,8247640305,70104942592.5
DIMO,DIMO.N0000,DIMO,599,9231494,5529664906
DIPD,DIPD.N0000,DIPPED PRODUCTS,29.1,598615120,17419699992
DIST,DIST.N0000,DISTILLERIES,13.2,4600000000,60720000000
DOCK,DOCK.N0000,DOCKYARD,59,71858924,4239676516
DPL,DPL.N0000,DANKOTUWA PORCEL,24,162552920,3901270080
EAST,EAST.N0000,EAST WEST,8,138240000,1105920000
EBCR,EBCR.N0000,E B CREASY,20.6,253545800,5223043480
ECL,ECL.N0000,E - CHANNELLING,13,122131415,1587708395
EDEN,EDEN.N0000,EDEN HOTEL LANKA,17.6,528000000,9292800000
ELPL,ELPL.N0000,ELPITIYA,86,72866428,6266512808
EMER,EMER.N0000,EASTERN MERCHANT,12.9,117446000,1515053400
EML,EML.N0000,EML CONSULTANTS,3.9,90900000,354510000
