"Market Capitalization of Listed Companies as at Dec, 2023",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
AAF,AAF.N0000,ASIA ASSET,12.1,124195533,1502765949.3
AAIC,AAIC.N0000,SOFTLOGIC LIFE,53.8,375000000,20175000000
ABAN,ABAN.N0000,ABANS,150.25,5110560,767861640
ABL,ABL.N0000,AMANA BANK,2.3,5511257461,12675892160.3
ACAP,ACAP.N0000,ASIA CAPITAL,3.1,131329995,407122984.5
ACL,ACL.N0000,ACL,68.8,239574720,16482740736
ACME,ACME.N0000,ACME,5.8,95000000,551000000
AEL,AEL.N0000,ACCESS ENG SL,20.3,1000000000,20300000000
AFS,AFS.N0000,ALPHA FIRE,35.9,7590000,272481000
AFSL,AFSL.N0000,ABANS FINANCIAL,22.1,73693171,1628619079.1
AGAL,AGAL.N0000,AGALAWATTE,32.6,156250000,5093750000
AGPL,AGPL.N0000,AGARAPATANA,7.5,500000000,3750000000
AGST,AGST.N0000,AGSTAR PLC,8.5,461289465,3920960452.5
AGST,AGST.X0000,AGSTAR PLC,6.2,26210535,162505317
AHPL,AHPL.N0000,AHOT PROPERTIES,58,442775300,25680967400
AHUN,AHUN.N0000,A.SPEN.HOT.HOLD.,63,336290010,21186270630
AINS,AINS.N0000,ARPICO INSURANCE,22.5,66230407,1490184157.5
ALHP,ALHP.N0000,ANILANA HOTELS,0.9,1281320814,1153188732.6
ALLI,ALLI.N0000,ALLIANCE,80,33696000,2695680000
ALUF,ALUF.N0000,UNISYST,5.8,44116400,255875120
ALUM,ALUM.N0000,ALUMEX PLC,8.1,598605680,4848706008
AMCL,AMCL.N0000,CAPITAL LEASING,22.4,20000000,448000000
AMF,AMF.N0000,AMF CO LTD,17.5,113327268,1983227190
AMSL,AMSL.N0000,ASIRI SURG,12.9,528457545,6817102330.5
APLA,APLA.N0000,ACL PLASTICS,345.5,4212500,1455418750
ASCO,ASCO.N0000,LANKA REALTY ,10.6,211370428,2240526536.8
ASHO,ASHO.N0000,LANKA ASHOK,749.5,3620843,2713821828.5
ASIR,ASIR.N0000,ASIRI,24.6,1137533596,27983326461.6
ASIY,ASIY.N0000,ASIA SIYAKA,4.1,260000000,1066000000
ASPH,ASPH.N0000,INDUSTRIAL ASPH.,0.4,3749411250,1499764500
ASPM,ASPM.N0000,SPENCEPLANTATION,56.8,18792783,1067430074.4
ATL,ATL.N0000,AMANA TAKAFUL,11.7,203630643,2382478523.1
ATLL,ATLL.N0000,AMANA LIFE,28.2,50000000,1410000000
AUTO,AUTO.N0000,AUTODROME,105.5,12000000,1266000000
BALA,BALA.N0000,BALANGODA,50.8,47272726,2401454480.8
BBH,BBH.N0000,BROWNS BEACH,12.8,129600000,1658880000
BERU,BERU.N0000,BERUWALA RESORTS,1.1,900000000,990000000
BFL,BFL.N0000,BAIRAHA FARMS,185.5,17600000,3264800000
BFN,BFN.N0000,ORIENT FINANCE,8,211101155,1688809240
BIL,BIL.N0000,BROWNS INVSTMNTS,4.7,14369717460,67537672062
BLI,BLI.N0000,BIMPUTH FINANCE,7.2,107733344,775680076.8
BLUE,BLUE.N0000,BLUE DIAMONDS,0.3,699524300,209857290
BLUE,BLUE.X0000,BLUE DIAMONDS,0.2,225976714,45195342.8
BOGA,BOGA.N0000,BOGALA GRAPHITE,50,94632904,4731645200
BOPL,BOPL.N0000,BOGAWANTALAWA,38.9,83750000,3257875000
BPPL,BPPL.N0000,BPPL HOLDINGS,19.6,306843357,6014129797.2
BREW,BREW.N0000,CEYLON BEVERAGE,1330,20988090,27914159700
BRR,BRR.N0000,BANSEI RESORTS,12.4,53728000,666227200
BRWN,BRWN.N0000,BROWNS,100,212625000,21262500000
BUKI,BUKI.N0000,BUKIT DARAH,385,102000000,39270000000
CABO,CABO.N0000,CARGO BOAT,53.7,18031995,968318131.5
CALF,CALF.N0000,DIALOG FINANCE,53.2,117399866,6245672871.2
CALT,CALT.N0000,CALT,53.1,329417884,17492089640.4
CARE,CARE.N0000,PRINTCARE PLC,45.4,85966670,3902886818
CARG,CARG.N0000,CARGILLS,338.5,257677731,87223911943.5
CARS,CARS.N0000,CARSONS,242.25,196386914,47574729916.5
CCS,CCS.N0000,COLD STORES,42.4,950400000,40296960000
CDB,CDB.N0000,CDB,200,59718692,11943738400
CDB,CDB.X0000,CDB,80.3,10343668,830596540.4
CERA,CERA.N0000,LANKA CERAMIC,94.2,6000000,565200000
CFI,CFI.N0000,CFI,61.3,8787041,538645613.3
CFIN,CFIN.N0000,CENTRAL FINANCE,105.25,227354462,23929057125.5
CFLB,CFLB.N0000,FORT LAND,30.9,240000000,7416000000
CFVF,CFVF.N0000,FIRST CAPITAL,28.1,405000000,11380500000
CHL,CHL.N0000,DURDANS,120,27122726,3254727120
CHL,CHL.X0000,DURDANS,104,8867044,922172576
CHMX,CHMX.N0000,CHEMANEX,68.6,15707312,1077521603.2
CHOT,CHOT.N0000,HOTELS CORP.,19,180030942,3420587898
CHOU,CHOU.N0000,CITY HOUSING,3.6,13379850,48167460
CIC,CIC.N0000,CIC,64,291600000,18662400000
CIC,CIC.X0000,CIC,42.5,87480000,3717900000
CIND,CIND.N0000,CENTRAL IND.,87.3,24195193,2112240348.9
CINS,CINS.N0000,CEYLINCO INS.,2450,20000000,49000000000
CINS,CINS.X0000,CEYLINCO INS.,820,6414480,5259873600
CINV,CINV.N0000,CEYLON INV.,45,99360760,4471234200
CIT,CIT.N0000,CIT,100,7096600,709660000
CITH,CITH.N0000,CITRUS HIKKADUWA,5.2,284898354,1481471440.8
CITW,CITW.N0000,CITRUS WASKADUWA,2.6,559857096,1455628449.6
CLND,CLND.N0000,COLOMBO LAND,17,199881008,3397977136
COCO,COCO.N0000,RENUKA FOODS,16.5,120003545,1980058492.5
COCO,COCO.X0000,RENUKA FOODS,15.1,4871200,73555120
COCR,COCR.N0000,COM.CREDIT,29.1,318074365,9255964021.5
COLO,COLO.N0000,C M HOLDINGS,78.1,15200000,1187120000
COMB,COMB.N0000,COMMERCIAL BANK,95.5,1236525395,118088175222.5
COMB,COMB.X0000,COMMERCIAL BANK,80.4,77595733,6238696933.2
COMD,COMD.N0000,COMMERCIAL DEV.,111.75,12000000,1341000000
CONN,CONN.N0000,HAYLEYS LEISURE,21,107989958,2267789118
COOP,COOP.N0000,COOP INSURANCE,2.4,1652177600,3965226240
CPRT,CPRT.N0000,CEYLON PRINTERS,105,600170,63017850
CRL,CRL.N0000,SOFTLOGIC FIN,5.9,609210803,3594343737.7
CSD,CSD.N0000,SEYLAN DEVTS,14.4,147964860,2130693984
CSF,CSF.N0000,NATION LANKA,0.4,6996774035,2798709614
CTBL,CTBL.N0000,CEYLON TEA BRKRS,4.2,182400000,766080000
CTC,CTC.N0000,CEYLON TOBACCO,953.75,187323751,178660027516.25
CTEA,CTEA.N0000,DILMAH CEYLON,990.25,20737500,20535309375
CTHR,CTHR.N0000,C T HOLDINGS,281.5,201406978,56696064307
CTLD,CTLD.N0000,C T LAND,23.5,81250000,1909375000
CWL,CWL.N0000,CHRISSWORLD,9,30000000,270000000
CWM,CWM.N0000,C.W.MACKIE,83.5,35988556,3005044426
DFCC,DFCC.N0000,DFCC BANK PLC,79.6,421948655,33587112938
DIAL,DIAL.N0000,DIALOG,9,8247640305,74228762745
DIMO,DIMO.N0000,DIMO,511.5,9231494,4721909181
DIPD,DIPD.N0000,DIPPED PRODUCTS,27.9,598615120,16701361848
DIST,DIST.N0000,DISTILLERIES,28,4600000000,128800000000
DOCK,DOCK.N0000,DOCKYARD,50.5,71858924,3628875662
DPL,DPL.N0000,DANKOTUWA PORCEL,21,162552920,3413611320
EAST,EAST.N0000,EAST WEST,7.4,138240000,1022976000
EBCR,EBCR.N0000,E B CREASY,22.7,253545800,5755489660
ECL,ECL.N0000,E - CHANNELLING,14,122131415,1709839810
EDEN,EDEN.N0000,EDEN HOTEL LANKA,10.1,1584000000,15998400000
ELPL,ELPL.N0000,ELPITIYA,85,72866428,6193646380
EMER,EMER.N0000,EASTERN MERCHANT,6.8,117446000,798632800
EML,EML.N0000,EML CONSULTANTS,3.4,90900000,309060000
ETWO,ETWO.N0000,EQUITY TWO PLC,38,31000000,1178000000
EXPO,EXPO.N0000,EXPOLANKA,143.25,1954915000,280041573750
EXT,EXT.N0000,EXTERMINATORS,7.3,52852459,385822950.7
FCT,FCT.N0000,FC TREASURIES,25.1,615600000,15451560000
GEST,GEST.N0000,GESTETNER,109.5,2657812,291030414
GHLL,GHLL.N0000,GALADARI,16,500829564,8013273024
GLAS,GLAS.N0000,PGP GLASS,28,950086080,26602410240
GOOD,GOOD.N0000,GOOD HOPE,1200.5,3883782,4662480291
GRAN,GRAN.N0000,GRAIN ELEVATORS,158.5,60000000,9510000000
GREG,GREG.N0000,AMBEON HOLDINGS,34.5,356869666,12312003477
GUAR,GUAR.N0000,CEYLON GUARDIAN,83.3,82059441,6835551435.3
HAPU,HAPU.N0000,HAPUGASTENNE,30,46315789,1389473670
HARI,HARI.N0000,HARISCHANDRA,4000,1919600,7678400000
HASU,HASU.N0000,HNB ASSURANCE,56.6,150000000,8490000000
HAYC,HAYC.N0000,HAYCARB,64.3,297123750,19105057125
HAYL,HAYL.N0000,HAYLEYS,71.4,750000000,53550000000
HBS,HBS.N0000,hSENID BIZ,11.5,276695376,3181996824
HDFC,HDFC.N0000,HDFC,31.6,64710520,2044852432
HELA,HELA.N0000,HELA,5,1317381560,6586907800
HEXP,HEXP.N0000,HAYLEYS FIBRE,50.6,24000000,1214400000
HHL,HHL.N0000,HEMAS HOLDINGS,66.7,596672617,39798063553.9
HNB,HNB.N0000,HNB,169.25,446651811,75595819011.75
HNB,HNB.X0000,HNB,140,113086576,15832120640
HNBF,HNBF.N0000,HNB FINANCE,5,1421380624,7106903120
HNBF,HNBF.X0000,HNB FINANCE,5.2,298200000,1550640000
HOPL,HOPL.N0000,HORANA,41.7,25000000,1042500000
HPFL,HPFL.N0000,LOTUS HYDRO,8.8,109088112,959975385.6
HPL,HPL.N0000,HATTON,29,236666671,6863333459
HPWR,HPWR.N0000,RESUS ENERGY,15,86184827,1292772405
HSIG,HSIG.N0000,HOTEL SIGIRIYA,56,17577000,984312000
HUNA,HUNA.N0000,HUNAS HOLDINGS,25.1,843750000,21178125000
HUNT,HUNT.N0000,HUNTERS,611.25,5145000,3144881250
HVA,HVA.N0000,HVA FOODS,3.8,116250155,441750589
IDL,IDL.N0000,SERENDIB ENG.GRP,3.8,32383250,123056350
INDO,INDO.N0000,INDO MALAY,1316,4811400,6331802400
JAT,JAT.N0000,JAT HOLDINGS,15.3,510407773,7809238926.9
JETS,JETS.N0000,JETWING SYMPHONY,8.4,602188559,5058383895.6
JINS,JINS.N0000,JANASHAKTHI INS.,38.5,226526153,8721256890.5
JKH,JKH.N0000,JKH,191,1388048382,265117240962
JKL,JKL.N0000,JOHN KEELLS,64.2,60800000,3903360000
KAHA,KAHA.N0000,KAHAWATTE,16,99406691,1590507056
KCAB,KCAB.N0000,KELANI CABLES,244,21800000,5319200000
KDL,KDL.N0000,KELSEY,21.5,17429274,374729391
KFP,KFP.N0000,KEELLS FOOD,151.75,25500000,3869625000
KGAL,KGAL.N0000,KEGALLE,118,25000000,2950000000
KHC,KHC.N0000,KANDY HOTELS,8.4,754309253,6336197725.2
KHL,KHL.N0000,KEELLS HOTELS,18.8,1456146780,27375559464
KOTA,KOTA.N0000,KOTAGALA,6.2,338512500,2098777500
KPHL,KPHL.N0000,KAPRUKA ,7.5,164130360,1230977700
KVAL,KVAL.N0000,KELANI VALLEY,72.6,68000000,4936800000
KZOO,KZOO.N0000,SHAW WALLACE,8.1,181723089,1471957020.9
LALU,LALU.N0000,LANKA ALUMINIUM,16.8,68514115,1151037132
LAMB,LAMB.N0000,KOTMALE HOLDINGS,390,31400000,12246000000
LCBF,LCBF.N0000,LCB FINANCE PLC,1.7,790168780,1343286926
LCEY,LCEY.N0000,LANKEM CEYLON,64.5,51470757,3319863826.5
LDEV,LDEV.N0000,LANKEM DEV.,18,120000000,2160000000
LFIN,LFIN.N0000,LB FINANCE,62.3,554057136,34517759572.8
LGIL,LGIL.N0000,LOLC GENERAL INS,7.6,1200000000,9120000000
LGL,LGL.N0000,LAUGFS GAS,35.8,335000086,11993003078.8
LGL,LGL.X0000,LAUGFS GAS,24,52000000,1248000000
LHCL,LHCL.N0000,LANKA HOSPITALS,120.25,223732169,26903793322.25
LHL,LHL.N0000,LIGHTHOUSE HOTEL,31.5,46000000,1449000000
LIOC,LIOC.N0000,LANKA IOC,102,532465705,54311501910
LION,LION.N0000,LION  BREWERY,920.25,80000000,73620000000
LITE,LITE.N0000,LAXAPANA,15.2,66224939,1006619072.8
LLUB,LLUB.N0000,CHEVRON,90.3,240000000,21672000000
LMF,LMF.N0000,LMF,228.75,39998000,9149542500
LOFC,LOFC.N0000,LOLC FINANCE,4.6,33079212299,152164376575.4
LOLC,LOLC.N0000,L O L C HOLDINGS,355.25,475200000,168814800000
LPL,LPL.N0000,LAUGFS POWER,8.8,335000086,2948000756.8
LPL,LPL.X0000,LAUGFS POWER,7.8,52000000,405600000
LPRT,LPRT.N0000,LAKE HOUSE PRIN.,166,2937245,487582670
LUMX,LUMX.N0000,LUMINEX,6.5,271250000,1763125000
LVEF,LVEF.N0000,LVL ENERGY,5.5,582278117,3202529643.5
LVEN,LVEN.N0000,LANKA VENTURES,35,50000000,1750000000
LWL,LWL.N0000,LANKA WALLTILE,42.2,273000000,11520600000
MADU,MADU.N0000,MADULSIMA,11.1,169501097,1881462176.7
MAL,MAL.N0000,MALWATTE,60,202792331,12167539860
MAL,MAL.X0000,MALWATTE,38.9,20250660,787750674
MARA,MARA.N0000,MARAWILA RESORTS,2.6,351923389,915000811.4
MASK,MASK.N0000,MASKELIYA,34.7,53953489,1872186068.3
MBSL,MBSL.N0000,MERCHANT BANK,4.4,524539637,2307974402.8
MCPL,MCPL.N0000,MAHAWELI COCONUT,25.8,34996115,902899767
MDL,MDL.N0000,MYLAND,9.3,36250000,337125000
MEL,MEL.N0000,MACKWOODS ENERGY,1.8,100000000,180000000
MELS,MELS.N0000,MELSTACORP,84.3,1165397072,98242973169.6
MERC,MERC.N0000,MERCANTILE INV,2600,3006000,7815600000
MFL,MFL.N0000,MULTI FINANCE,12.5,63610181,795127262.5
MGT,MGT.N0000,HAYLEYS FABRIC,40.5,415481776,16827011928
MHDL,MHDL.N0000,MILLENNIUM HOUSE,2.9,134681320,390575828
MRH,MRH.N0000,MAHAWELI REACH,12.2,47066447,574210653.4
MSL,MSL.N0000,MERC. SHIPPING,161.25,2844990,458754637.5
MULL,MULL.N0000,MULLERS,1,283000000,283000000
NAMU,NAMU.N0000,NAMUNUKULA,380.5,23750000,9036875000
NDB,NDB.N0000,NAT. DEV. BANK,64.9,399464362,25925237093.8
NEH,NEH.N0000,NUWARA ELIYA,1650.25,2186040,3607512510
NEST,NEST.N0000,NESTLE,1120.25,53725463,60185949925.75
NHL,NHL.N0000,NAWALOKA,4,1409505596,5638022384
NTB,NTB.N0000,NATIONS TRUST,107.5,276248008,29696660860
NTB,NTB.X0000,NATIONS TRUST,99.8,43371952,4328520809.6
ODEL,ODEL.N0000,ODEL PLC,14,272129431,3809812034
OFEQ,OFEQ.N0000,OFFICE EQUIPMENT,95,833560,79188200
ONAL,ONAL.N0000,ON'ALLY,25,93003087,2325077175
OSEA,OSEA.N0000,OVERSEAS REALTY,15,1243029582,18645443730
PABC,PABC.N0000,PAN ASIA,19.1,442561629,8452927113.9
PACK,PACK.N0000,EX-PACK,12.4,333333333,4133333329.2
PALM,PALM.N0000,PALM GARDEN HOTL,41.2,475937000,19608604400
PAP,PAP.N0000,PANASIAN POWER,3.4,625000000,2125000000
PARA,PARA.N0000,PARAGON,40,1000280,40011200
PARQ,PARQ.N0000,SWISSTEK,15.6,136860000,2135016000
