"Market Capitalization of Listed Companies as at  31 Dec, 2025",,,,,
COMPANY CODE,SECURITY TYPE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
AAF,AAF.N0000,ASIA ASSET,53,124195533,6582363249
AAIC,AAIC.N0000,Softlogic Life,77.6,316406250,24553125000
ABAN,ABAN.N0000,ABANS,1247.25,5110560,6374145960
ABL,ABL.N0000,AMANA BANK,30,551125746,16533772380
ACAP,ACAP.N0000,ASIA CAPITAL,6,131329995,787979970
ACL,ACL.N0000,ACL,89.8,718724160,64541429568
ACME,ACME.N0000,ACME,6.4,95000000,608000000
AEL,AEL.N0000,ACCESS ENG SL,73.3,1000000000,73300000000
AFS,AFS.N0000,ALPHA FIRE,26.5,37950000,1005675000
AFSL,AFSL.N0000,ABANS FINANCIAL,69.5,73693171,5121675384.5
AGAL,AGAL.N0000,AGALAWATTE,53,156250000,8281250000
AGPL,AGPL.N0000,AGARAPATANA,19.8,500000000,9900000000
AGST,AGST.N0000,AGSTAR PLC,8.9,461289465,4105476238.5
AGST,AGST.X0000,AGSTAR PLC,11.4,26210535,298800099
AHPL,AHPL.N0000,AHOT PROPERTIES,60,442775300,26566518000
AHUN,AHUN.N0000,A.SPEN.HOT.HOLD.,113.25,336290010,38084843632.5
AINS,AINS.N0000,ARPICO INSURANCE,36.4,66230407,2410786814.8
ALHP,ALHP.N0000,ANILANA HOTELS,0.9,1281320814,1153188732.6
ALLI,ALLI.N0000,ALLIANCE,353.5,33696000,11911536000
ALUM,ALUM.N0000,ALUMEX PLC,20.4,598605680,12211555872
AMCL,AMCL.N0000,CAPITAL LEASING,22.4,20000000,448000000
AMF,AMF.N0000,AMF CO LTD,69.8,113327268,7910243306.4
AMSL,AMSL.N0000,ASIRI SURG,13.7,528457545,7239868366.5
APLA,APLA.N0000,ACL PLASTICS,191.5,42125000,8066937500
ASCO,ASCO.N0000,LANKA REALTY ,38.9,211370428,8222309649.2
ASHO,ASHO.N0000,LANKA ASHOK,3801,3620843,13762824243
ASIR,ASIR.N0000,ASIRI,30,1137533596,34126007880
ASIY,ASIY.N0000,ASIA SIYAKA,9.5,260000000,2470000000
ASPH,ASPH.N0000,INDUSTRIAL ASPH.,0.4,3749411250,1499764500
ATL,ATL.N0000,AMANA TAKAFUL,24.9,246655997,6141734325.3
ATLL,ATLL.N0000,AMANA LIFE,35.1,50000000,1755000000
AUTO,AUTO.N0000,AUTODROME,210,12000000,2520000000
BALA,BALA.N0000,BALANGODA,71.2,47272726,3365818091.2
BBH,BBH.N0000,BROWNS BEACH,25.8,129600000,3343680000
BERU,BERU.N0000,BERUWALA RESORTS,3.8,700544295,2662068321
BFL,BFL.N0000,BAIRAHA FARMS,83.5,88000000,7348000000
BFN,BFN.N0000,ORIENT FINANCE,39.1,211101155,8254055160.5
BIL,BIL.N0000,BROWNS INVSTMNTS,6.6,14369717460,94840135236
BLI,BLI.N0000,BIMPUTH LANKA,7.2,107733344,775680076.8
BLUE,BLUE.N0000,BLUE DIAMONDS,0.3,699524300,209857290
BLUE,BLUE.X0000,BLUE DIAMONDS,0.2,225976714,45195342.8
BOGA,BOGA.N0000,BOGALA GRAPHITE,158.5,94632904,14999315284
BOPL,BOPL.N0000,BOGAWANTALAWA,77.5,83750000,6490625000
BPPL,BPPL.N0000,BPPL HOLDINGS,20,306843357,6136867140
BREW,BREW.N0000,CEYLON BEVERAGE,2556,20988090,53645558040
BRR,BRR.N0000,BANSEI RESORTS,22.7,53728000,1219625600
BRWN,BRWN.N0000,BROWNS,162,212625000,34445250000
BUKI,BUKI.N0000,BUKIT DARAH,1030,102000000,105060000000
CABO,CABO.N0000,CARGO BOAT,165,18031995,2975279175
CALF,CALF.N0000,DIALOG FINANCE,93.7,117399866,11000367444.2
CALH,CALH.N0000,CAL HOLDINGS PLC,17.9,2072049345,37089683275.5
CALT,CALT.N0000,CALT,52.8,329417884,17393264275.2
CARE,CARE.N0000,PRINTCARE PLC,53.5,85966670,4599216845
CARG,CARG.N0000,CARGILLS,767,257677731,197638819677
CARS,CARS.N0000,CARSONS,755,196386914,148272120070
CBNK,CBNK.N0000,CARGILLS BANK,9.6,945642858,9078171436.8
CCS,CCS.N0000,COLD STORES,109,950400000,103593600000
CDB,CDB.N0000,CDB,382.5,61374456,23475729420
CDB,CDB.X0000,CDB,300.25,10343668,3105686317
CERA,CERA.N0000,LANKA CERAMIC,170.25,6000000,1021500000
CFI,CFI.N0000,CFI,410,8853693,3630014130
CFIN,CFIN.N0000,CENTRAL FINANCE,268,227354462,60930995816
CFLB,CFLB.N0000,FORT LAND,80,240000000,19200000000
CFVF,CFVF.N0000,FIRST CAPITAL,62.1,405000000,25150500000
CHL,CHL.N0000,DURDANS,270,31762723,8575935210
CHL,CHL.X0000,DURDANS,199.25,10133765,2019152676.25
CHMX,CHMX.N0000,CHEMANEX,167.25,16152353,2701481039.25
CHOT,CHOT.N0000,HOTELS CORP.,42.5,180030942,7651315035
CHOU,CHOU.N0000,CITY HOUSING,3.6,13379850,48167460
CIC,CIC.N0000,CIC,34.8,1458000000,50738400000
CIC,CIC.X0000,CIC,26.1,437400000,11416140000
CIND,CIND.N0000,CENTRAL IND.,255.5,24195193,6181871811.5
CINS,CINS.N0000,CEYLINCO HOLD,3200,20000000,64000000000
CINS,CINS.X0000,CEYLINCO HOLD,1796.5,6414480,11523613320
CINV,CINV.N0000,CEYLON INV.,124,97200743,12052892132
CIT,CIT.N0000,CIT,477.75,7148780,3415329645
CITH,CITH.N0000,CITRUS HIKKADUWA,4.1,542663531,2224920477.1
CITW,CITW.N0000,CITRUS WASKADUWA,2,936683988,1873367976
CLND,CLND.N0000,COLOMBO LAND,46.5,199881008,9294466872
COCO,COCO.N0000,RENUKA FOODS,52.2,180005317,9396277547.4
COCO,COCO.X0000,RENUKA FOODS,44.3,7306800,323691240
COCR,COCR.N0000,COM.CREDIT,126.25,318074365,40156888581.25
COLO,COLO.N0000,C M HOLDINGS,55,152000000,8360000000
COMB,COMB.N0000,COMMERCIAL BANK,200.75,1539161949,308986761261.75
COMB,COMB.X0000,COMMERCIAL BANK,190.5,96341685,18353090992.5
COMD,COMD.N0000,COMMERCIAL DEV.,278,12000000,3336000000
CONN,CONN.N0000,HAYLEYS LEISURE,39.3,107989958,4244005349.4
COOP,COOP.N0000,COOP INSURANCE,4.4,1652177600,7269581440
CPRT,CPRT.N0000,CEYLON PRINTERS,670,600170,402113900
CRL,CRL.N0000,SOFTLOGIC FIN,5.6,962573191,5390409869.6
CSD,CSD.N0000,SEYLAN DEVTS,30.1,139688298,4204617769.8
CSF,CSF.N0000,NATION LANKA,0.1,6996774035,699677403.5
CSLK,CSLK.N0000,CABLE SOLUTIONS,14.8,470666600,6965865680
CTBL,CTBL.N0000,CEYLON TEA BRKRS,8.9,182400000,1623360000
CTC,CTC.N0000,CEYLON TOBACCO,1725.5,187323751,323227132350.5
CTEA,CTEA.N0000,DILMAH CEYLON,1198.25,20737500,24848709375
CTHR,CTHR.N0000,C T HOLDINGS,670,201406978,134942675260
CTLD,CTLD.N0000,C T LAND,37.2,81250000,3022500000
CWL,CWL.N0000,CHRISSWORLD,12.8,30000000,384000000
CWM,CWM.N0000,C.W.MACKIE,151.25,35988556,5443269095
DFCC,DFCC.N0000,DFCC BANK PLC,148,438404250,64883829000
DIAL,DIAL.N0000,DIALOG,29.8,9200334994,274169982821.2
DIMO,DIMO.N0000,DIMO,2016.25,9231494,18612999777.5
DIPD,DIPD.N0000,DIPPED PRODUCTS,61.1,598615120,36575383832
DIST,DIST.N0000,DISTILLERIES,59,4600000000,271400000000
DOCK,DOCK.N0000,DOCKYARD,177.5,395224082,70152274555
DPL,DPL.N0000,DANKOTUWA PORCEL,17.2,162552920,2795910224
EAST,EAST.N0000,EAST WEST,68.9,138240000,9524736000
EBCR,EBCR.N0000,E B CREASY,64.8,278900380,18072744624
ECL,ECL.N0000,E - CHANNELLING,15.8,122131415,1929676357
EDEN,EDEN.N0000,EDEN HOTEL LANKA,13.6,1584000000,21542400000
ELPL,ELPL.N0000,ELPITIYA,164,72866428,11950094192
EMER,EMER.N0000,EASTERN MERCHANT,10.7,117446000,1256672200
EML,EML.N0000,EML CONSULTANTS,4.6,90900000,418140000
ETWO,ETWO.N0000,EQUITY TWO PLC,71.8,31000000,2225800000
EXT,EXT.N0000,EXTERMINATORS,7,52852459,369967213
FCT,FCT.N0000,FC TREASURIES,37.5,615600000,23085000000
GEST,GEST.N0000,GESTETNER,222.5,2657812,591363170
GHLL,GHLL.N0000,GALADARI,18.5,500829564,9265346934
GLAS,GLAS.N0000,PGP GLASS,54.9,950086080,52159725792
GRAN,GRAN.N0000,GRAIN ELEVATORS,400,60000000,24000000000
GREG,GREG.N0000,AMBEON HOLDINGS,154.5,356869666,55136363397
GUAR,GUAR.N0000,CEYLON GUARDIAN,265,80057991,21215367615
HAPU,HAPU.N0000,HAPUGASTENNE,53,46315789,2454736817
HARI,HARI.N0000,HARISCHANDRA,5090.25,1919600,9771243900
HASU,HASU.N0000,HNB ASSURANCE,114.75,150000000,17212500000
HAYC,HAYC.N0000,HAYCARB,106.75,297123750,31717960312.5
HAYL,HAYL.N0000,HAYLEYS,195.75,750000000,146812500000
HBS,HBS.N0000,hSENID BIZ,17.5,285254759,4991958282.5
HDFC,HDFC.N0000,HDFC,57.9,64710520,3746739108
HELA,HELA.N0000,HELA,3.1,1636746787,5073915039.7
HEXP,HEXP.N0000,HAYLEYS FIBRE,91.6,24000000,2198400000
HHL,HHL.N0000,HEMAS HOLDINGS,34.7,2993105150,103860748705
HNB,HNB.N0000,HNB,398.5,455968474,181703436889
HNB,HNB.X0000,HNB,318.75,115852722,36928055137.5
HNBF,HNBF.N0000,HNB FINANCE,7.5,1717501587,12881261902.5
HNBF,HNBF.X0000,HNB FINANCE,7.6,360325000,2738470000
HOPL,HOPL.N0000,HORANA,52.7,25000000,1317500000
HPFL,HPFL.N0000,LOTUS HYDRO,13.8,109088112,1505415945.6
HPL,HPL.N0000,HATTON,25.9,236666671,6129666778.9
HPWR,HPWR.N0000,RESUS ENERGY,46.8,86184827,4033449903.6
HSIG,HSIG.N0000,HOTEL SIGIRIYA,100,17577000,1757700000
HUNA,HUNA.N0000,HUNAS HOLDINGS,20.3,849030000,17235309000
HUNT,HUNT.N0000,HUNTERS,1240,5145000,6379800000
HVA,HVA.N0000,HVA FOODS,3.4,244526188,831389039.2
INME,INME.N0000,INSUREME,1815.25,2055290,3730865172.5
JAT,JAT.N0000,JAT HOLDINGS,48.2,521725550,25147171510
JETS,JETS.N0000,JETWING SYMPHONY,20.1,602188559,12103990035.9
JFP,JFP.N0000,JF PACKAGING LTD,14.7,172130944,2530324876.8
JINS,JINS.N0000,JANASHAKTHI INS.,129.5,226526153,29335136813.5
JKH,JKH.N0000,JKH,21.7,17688350775,383837211817.5
JKL,JKL.N0000,JOHN KEELLS,85,60800000,5168000000
KAHA,KAHA.N0000,KAHAWATTE,20.6,99406691,2047777834.6
KCAB,KCAB.N0000,KELANI CABLES,127.25,218000000,27740500000
KDL,KDL.N0000,KELSEY,21.5,17429274,374729391
KFP,KFP.N0000,KEELLS FOOD,171,25500000,4360500000
KGAL,KGAL.N0000,KEGALLE,135,25000000,3375000000
KHC,KHC.N0000,KANDY HOTELS,18.6,754309253,14030152105.8
