Sector Market Capitalisation - Monthly 2006,,,,,,,,,,,,
SECTOR,January,February,March,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",100559188970,104830534313,106320464241,105238902261.5,103076834307.5,98362297051.75,100820791441.5,103249511002.25,110197733352.25,118521485539.25,125112380132.5,125110797361.5
"BEVERAGE, FOOD & TOBACCO",49914694017,52894078894.25,54281602739,54822468035,52761158549.75,53927652005.5,56834506627.75,57206127705.25,62614416679.75,68078629905.5,78336000336,77048390028.25
CHEMICALS & PHARMACEUTICALS,4403315916,5574980703.25,6209681013.25,6014648571.75,6025289993.1,5484401789.85,5488288399.35,5417452571,6064499099.5,6022536266,7703817926,7382373233.5
CONSTRUCTION & ENGINEERING,1648752010,1678690807.5,1795808472.25,1683719583,1691732082.5,1598900348.5,1767775220.25,1904208230,2037340652.75,2066647591.25,2657033099.5,2526676773.5
DIVERSIFIED HOLDINGS,121472264209,132548425475.5,132449552555.75,126927198395.25,122233618373.5,117832510596.75,117904651052.5,118451718262,125255387427.5,134434142812,156596128078.5,156811397619.5
FOOTWEAR & TEXTILES,4203691405,4631606128.25,4508847220.25,4435351748.5,4465905079,4158033906.5,4214740405,4461705894,4688782759.5,4519264795,4744305390,4737413264
HEALTH CARE,10858253886,10827212719.65,10741756179.5,10312330547.65,9796651624.8,10846367086.4,13743112140.65,13692091317.25,14092697180.9,14400954045.4,15756854544.3,15290231196.95
HOTELS & TRAVELS,54143939242,54987371989.25,56737025869,55315670438.5,51524127971.25,47296606884.75,49802439358.25,49571572910,55994378347.75,54524665378.75,52768625556,51090396566.5
INVESTMENT TRUSTS,5218377077,5273851723.75,5339525367.75,5446233179.25,4951063970.5,4437630476,4427383830.75,4388053082,5020040123.75,5186417120.5,5454754962.75,5967722606.25
INFORMATION TECHNOLOGY,209368140,191920795,244262830,218091812.5,183197122.5,178835286.25,178835286.25,178835286.25,213729976.25,283519356.25,300966701.25,270433847.5
LAND & PROPERTY,20857464688,21389536173,23036117052.5,20318016807,19290716848,18660213839,20823212353.5,20093995584,21369876596.5,21153143840,20203994353.5,19360840083.5
MANUFACTURING,34933293029,35104092326.95,34993558729.7,34494301852.35,32842898932.75,32146062498.05,33917560033.25,34777551744.9,38628384824.1,39628004168.65,42333911508.75,42165283352.15
MOTORS,7145057392,8516511559,8509719443.25,8260140211.5,8391247137.5,8805207357.25,8391485881.75,9138155730,15484138542.5,14613969642.25,14928985231.25,14331613322.75
OIL PALMS,20974233800,21371077581,20554653981,24277959413.25,24303669270,21434635711.75,21824026645,21940635063,22491291874,20893749873,21840632460,21096226540
PLANTATIONS,8455289195,10968052077.44,10632226437.44,10115949332.94,11620849731.44,11367649596.44,12171319297.94,12451525163.19,12707679524.69,12537727572.94,13316496228.69,12777207185.44
POWER & ENERGY,17002381082,16085360002.75,16329265573.5,15032225174.75,15596474743.25,16570534110.2,16336740688.05,16145401527.75,18923754224.6,17460329410.75,17002617888.4,17210568747.3
SERVICES,2037231000,2024768590,1974143050,1930585892,1815374157,1671708468.25,1689643339.5,1690868730,1891204315,1864255335,1828279495,1716797977.75
STORES & SUPPLIES,3701596815,4522507222.5,5343033003.75,5339341597.5,5340830812.25,5271718543.75,5294261735,5296835172.5,4592232445,4879713021,4852132170,5274015500
TELECOMMUNICATION,174957603347,171753099618.75,180556178260,190758900629.5,189810471901.25,178705319531.75,187462399444.75,185565541988.25,198926769357.75,202536489357.75,257786258835.75,246275890194.5
TRADING,7132049337,7073204324.25,7688563383,7348899318.5,6867412528.5,6553667179.25,7234552813.25,7454267496.5,8267024183.75,8303106413.25,8122009502,8318710843.25
ASPI,649828044555,672246883025.04,688245985401.89,688290934802.19,672589525136.34,645309952267.94,670327725994.24,673076054460.09,729461361487.79,751908751444.49,851646184400.14,834762986244.09
MPI,378379305560,382142705057.9,392715476530.75,390834320618.15,384844068405.05,372806982531.65,397287954142.15,395981289818.25,425638274629.65,457244338204.25,552330149009.5,541618186001.5
