Sector Market Capitalisation - Monthly 2011,,,,,,,,,,,,
SECTOR ,January,February,March ,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",527969519465.3,528033683714.4,534693957812.4,531646966868,563124003053.6,519376627907,567989002610.1,550937169824,556259778998.4,510495075143.3,506910453063.2,499180051844.5
"BEVERAGE, FOOD & TOBACCO",289023613426.6,294132242554.3,291907466322.4,305773739831.8,304719405165.9,284673337745.2,280125607794.3,296772693207.8,299232619375.1,288788469893,290622672157.6,301815880834.1
CONSTRUCTION & ENGINEERING,19711367812,20364750742.8,18980192452.1,28695391130,27287908370.8,24142572371.2,25124307022,23695489044,24126855165.3,22049218001,21855099995,21718086730.8
CHEMICALS & PHARMACEUTICALS,30298548003.1,35129285113.6,31887159264.1,35808015761.7,36562273542.1,32673602563.9,33230464478,30002023022.3,29890467638.1,26698566764.8,25296751663.1,25599840861.2
DIVERSIFIED HOLDINGS,506454128139.5,543219374254.6,515254989911.9,526520464835.5,529515055705.6,513877769183,568802556238.3,571641798260.5,557141868588.8,519035320350.4,486033818096.9,487027953443.8
FOOTWEAR & TEXTILES,11109697236,11312664181.6,10250308715.2,10438144969.2,10572461962.8,10123564712,9609032220,9835223232.8,10280332909.8,9477076524,10097827388,10136330411.4
HOTELS & TRAVELS,211222455508.1,208984432375.3,197046624651.6,197964242327.5,197349495269,182962982863.3,181246912997.6,182125585771.3,178855697875.2,168495235794.5,159820687871.9,160774097290.6
HEALTH CARE,33615284069.6,33651396686.8,34608939972.2,35158175711.1,36827259642.3,33318906595.9,32887351085.2,39959474806.4,39787413277.9,34758538088.6,34716383192.5,35610370789.1
INVESTMENT TRUSTS,74873074098.4,159866445101,86889404665.3,87515651300.1,80046421275.6,73273353137.5,77871489521.8,72636585870.6,71613367702.7,62244424649.9,61135095167.8,56065082445.5
INFORMATION TECHNOLOGY,6696955620,5191703844.2,4413754078.4,4858086440.2,4807751379.9,4971121068.2,4787974401,4986400108.9,4894877230.6,4308797804.5,4250797996.2,4171437804.1
LAND & PROPERTY,34123562596.8,35803095825.4,33762904620.5,35017958324.6,39975296472,41237377457.8,39966395533.4,51777395814.5,49293506701.1,43533177245.1,45220134856.1,43770633775.1
MANUFACTURING,139666409267.1,141407662180.4,135943322861.9,139024567429.8,136731712437.4,125346118097.6,125122281539.6,132416406980.6,131522969800.6,122074332210,119838196519.4,119510473738.9
MOTORS,39553590644.4,42420704905.5,37863083929.3,51945998622.2,53601688982.3,48801563540.1,47699357590.1,43245160994.3,42499746267,39509769889.4,36653370353,38326112167.5
OIL PALMS,110646998120,173004057738.2,147515770533.7,149719222182,135296973080,137327774674.5,142684985060,144801231905.7,141391708012.7,136683558198.7,138937456763.1,137407487994
POWER & ENERGY,47552310219,46150499433.5,41319105163.8,40598553093,42967319290.8,41229478703.4,41731773934.2,43354207036.5,42195483864,39725659574.4,39584647480.7,38844725208.7
PLANTATIONS,51031571990.3,51766024118.7,47885615268.8,45836117529.6,47550619559,42085144925.7,39570199622.8,35502657851.7,33438445664.7,28912096358.8,26634177941.3,26628874341.9
STORES & SUPPLIES,15419783307.3,21698309513.4,18661579317.2,22515468734.9,21391740863,13340031907.5,11719473160,13198282862.3,13355787150,11066750692.7,9942275019.1,9231872317.5
SERVICES,7745414245,7579035870,7273324250,8271493525,9104390049.5,8319270975,7648734901,7642174150,8063723717.5,7421961088,7571528987.5,6849487978.5
TELECOMMUNICATION,193915615498,199871653498,188386693252.5,185851125890.5,184129936369,170303039804.5,163884832602,167498934283,155582476602,155305175080.5,152685937240,150154751559
TRADING,37009664198.6,40282834234,40502332427.6,44001963562,53654280441,44370810289.4,43000936674.8,44583655942.8,46076680668.4,40394958289,40638975067.4,41049552071.4
ASPI,2387639563465.1,2599869855885.7,2425046529470.9,2487161348068.7,2515215992911.6,2351754448522.7,2444703668986.2,2466612550970,2435503807209.9,2270978161640.6,2218446286819.8,2213873103607.6
MPI,909087740053.7,910027299015.5,879031378225.5,873172061800.8,880479082691.3,809666136344.9,782412863836.3,783370964758.8,760768028042.3,708828106031.8,663825993170.7,658388914563.6
