Sector Market Capitalisation - Monthly 2016,,,,,,,,,,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",638450803484,623615165718.5,618251791010.1,,,,,,,,,,669529770612.4,660323334529.1,632556759541.3,650483991234.4,669007106798.5,680819331626.3,664540630639.7,637343431206.1,653858175254.5
"BEVERAGE, FOOD & TOBACCO",533210086081.5,531434728548.4,520977113136.9,,,,,,,,,,551707352703.7,574511561293.1,562059576222.8,551360253239.4,553466437457,536533350097.9,529015425451,547290440682.9,533894068227.6
CONSTRUCTION & ENGINEERING,39616365425.2,36120642641.6,34390613698.8,,,,,,,,,,38452853786,36825907774.4,35148695914,36630699737.6,40776148068,41777820904.8,39282618371.2,36539470330.4,37555661714.4
CHEMICALS & PHARMACEUTICALS,18364364335.7,18878352387.2,18559976108,,,,,,,,,,19212876002.9,18878020979,19123991888.8,18490808892,18812765329.5,18960033643.5,18480910153.4,17251768525.4,17181540033
DIVERSIFIED HOLDINGS,472607880590,466421370456.5,429425843199.4,,,,,,,,,,460642460375.7,458028506995.4,435321086876.7,452796084487.6,467111936811.1,470413001634.4,460309839430,441695953875.2,514109206154.1
FOOTWEAR & TEXTILES,12060345414.7,11355042289.2,11784173949.2,,,,,,,,,,12616565670.7,12189552429,11886060237.2,12126399662.4,12100818557.3,12205664651.2,11895510845.1,11592537895.8,11989178607.8
HOTELS & TRAVELS,330410308072.7,323188366459.1,319400352320,,,,,,,,,,334354273817,336525367707.1,328124431000,329499716906.5,332756521338.5,331357788071.7,329162543829.9,321659322536.1,321238217222.9
HEALTH CARE,52091710284.5,52821386232.2,52511533184.5,,,,,,,,,,61646760816.6,63989787511.5,61510272261,62653111414.3,67856884593.5,66588955446.1,65241530359.9,59758523035.2,59611307360.7
INVESTMENT TRUSTS,29931290793.2,25883340611.6,24551418487.9,,,,,,,,,,30415300219.3,29468332524.8,27295883713.4,28414872417.4,27682396848.4,27243253738.4,25543242873.6,23628107144.7,23973713112.4
INFORMATION TECHNOLOGY,1121309593.6,1048030744.6,1011391320.1,,,,,,,,,,1316719857.6,1182375301.1,1072457027.6,1011391320.1,1121309593.6,1084670169.1,962538754.1,840407339.1,889259905.1
LAND & PROPERTY,47398490483.2,46686908490.6,46968273447.4,,,,,,,,,,50640350270.7,50081568785.9,48044445864.1,48472993772.5,50432523590.7,47700957686.9,46553765073.1,42848369013.6,51345172116.2
MANUFACTURING,158203896380.7,149678187049.9,148551449567.7,,,,,,,,,,166678318049.5,166155231170.8,159761850389.1,169217999108.2,176590144978.2,183438661337.6,177856910660.2,171011001075.4,170390289033.3
MOTORS,23709154477.5,23872481941.7,23014799773.1,,,,,,,,,,23935451745.5,25561082536.2,23576249926,23866672247.6,23411247482.6,23460947386.6,23309480502,22537044291.4,21597118916.7
OIL PALMS,85929815333.7,85940015333.7,80829815333.7,,,,,,,,,,83086177384,83106577384,75456577384,75725754280,74114154280,71808766194,75045060742.7,74606911425,75116911425
POWER & ENERGY,45146048988.8,43428417675.3,43735961160.5,,,,,,,,,,49300469585.6,48069120733.4,44719269206.3,46801532452.4,48104032763.7,45652274683.3,44319119292.4,43618060493,42530661594.2
PLANTATIONS,23169604861.2,22370726224.2,22200377715.9,,,,,,,,,,24308145142,23814626095.2,22792978222,22688757072.4,22377008356.9,21900259320.7,22107775377.5,21668441351.4,21989421578.8
STORES & SUPPLIES,6401644941.6,6094451237.8,6616008835.1,,,,,,,,,,6672548635.6,6805943267.2,6628929446.3,6705958266.6,6749027960.4,7173780429.5,6889178949.8,6718951953.5,6748694100
SERVICES,6902025688.2,6577562725,5999842869,,,,,,,,,,6889022655,6502136372,5820368115,5827032683,5729061172,5711333111,5592157355,5195159610,5222741799
TELECOMMUNICATION,155260939731,144788370050,153095107731,,,,,,,,,,159152342933.5,163585204136,152919003412,156361382455,157629166136,164135425498,159350355657.5,148226367412,150484633252.5
TRADING,26669737275,25877616018.4,24278090814.6,,,,,,,,,,25982997128.2,25580644797,23813291976,25629438826,26959012066.4,27714766458,26921286190,25485118865.2,25680212875.2
ASPI MKT CAP,2706655822236,2646081162835.5,2586153933662.9,,,,,,,,,,2776540757391.5,2791184882322.2,2677632178623.6,2724764850475,2782787704182,2785681042089,2732379880508,2659515388061,2745406184283
S&P MKT CAP,1244125947172.4,1319694446938.4,1215975266229.2,,,,,,,,,,1302652798874.4,1323745639954.4,1277006974917.2,1296474172709.8,1342039082982.5,1343795771981.5,1319381415646.5,1295386026424.1,1295470670347.7
