Sector Market Capitalisation - Monthly 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,July,August,September,October,November,December,January,February,March,April,May,June
"BANKS, FINANCE & INSURANCE",780234108250.1,805064671090.5,809698587934.15,817559927096.8,810458606905.7,769382889780.7,,,,,,,,,,,,,,,,,,,765094389724.8,761713855446.3,737713106430.6,745155246446,756718598984.3,784242027257.3,779379176151.2,739676018931.7,706744080791.6,696684821334.6,668538528622.3,676217261812.2
"BEVERAGE, FOOD & TOBACCO",595247267690.9,640501389018.9,634994988161.1,631542630521.1,642046873201.2,647414904174.8,,,,,,,,,,,,,,,,,,,655785549971.7,678092543034.6,656862750051.8,651756572217.9,651941792991.4,650715232256.4,649792710169.8,637603602210.9,612497482116.3,606771621470.7,592044944212.4,591200187107.4
CONSTRUCTION & ENGINEERING,34011017700.4,32126877243.6,30777065836,30047219030.4,27127815528,23400620228.8,,,,,,,,,,,,,,,,,,,23953374443.6,21482594776.8,19467493994.4,22060959585.2,22772205112.4,20431479422.4,21537368396,20629565902.4,19697706978.4,19429989130.4,18433527712.8,20622130206.4
CHEMICALS & PHARMACEUTICALS,17147874253.2,16937785368,16949060699.4,17289542106.9,16678694543.4,16137806083.4,,,,,,,,,,,,,,,,,,,15717789880.9,15578066447.6,14849484514.9,15494433788,15468871203,15476338396,15761409356,14831454091.5,14668847813,14959911357.5,15642478515.8,16502285858.4
DIVERSIFIED HOLDINGS,577380359538.4,595468854278.6,589071472298.9,599196004054,568052908181.8,546908033341.36,,,,,,,,,,,,,,,,,,,523416113451.8,514953969714.1,494844323563.7,518620578244.2,538309331400.5,537300912572.6,510905303836.6,504119290684.6,474311595118.2,464942163977.6,450059810855.7,449707490950.8
FOOTWEAR & TEXTILES,10826892966.1,11027346224.6,11712651130.5,10519449191.7,9729425066.6,8354244830,,,,,,,,,,,,,,,,,,,8571948374.8,8844077805.8,8263252094.6,8760981450.6,9069677730.8,8829742571.3,9354684870.4,9114749710.9,8868375697.1,9447743882.4,7690322763.6,8405755664.4
HOTELS & TRAVELS,311531402724.7,314725366232,315224899038.2,315422892172.3,307730775127.6,305207900104,,,,,,,,,,,,,,,,,,,301365938595.7,297012435632,294322269315.6,296976973612.3,297085007893.5,296527637710.5,295522864123.4,292480343033.4,289328621900.5,286488598605.5,279042957512.8,282442328439.3
HEALTH CARE,58734085906.7,56949039566.2,59844063520,56009067112.3,56196997041.6,55521541982.2,,,,,,,,,,,,,,,,,,,54359793166.4,51818472993.9,48985972863.3,49370974362.7,48939615396.5,50499010722.3,48994416813.2,48872262951.7,46666010224.7,45856070816,45513134668.8,48172175232.1
INVESTMENT TRUSTS,21881825296.8,22241314093.5,21194076653.1,21678938596.8,20349206647.8,18526341523.8,,,,,,,,,,,,,,,,,,,18266364215.5,18557718716.3,18828090104.2,19914026327.5,18751448382.1,19025632149,19011195336.8,17756841523.4,17467841490.8,17013427093.4,17219183551.2,17348449621.9
INFORMATION TECHNOLOGY,767128490.1,767128490.1,718275924.1,730489065.6,693849641.1,632783933.6,,,,,,,,,,,,,,,,,,,608357650.6,632783933.6,596144509.1,583931367.6,571718226.1,559505084.6,583931367.6,535078801.6,522865660.1,522865660.1,425160528.1,535078801.6
