Sector Market Capitalisation - Monthly 2020,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
Automobiles & Components,3545640000,3031080000,2661240000,Market Closed Due To COVID-19,3207960000,3392880000,3730560000,5137560000,6399840000,6407880000,7541520000,6954600000
Banks,352989476976.3,333408522550.3,246449942294.4,,254499956911.2,289288156985.4,277858904941.1,297575310163.4,309830782595.7,291785067659.2,302292483850.3,318887100149.5
Capital Goods,428960650310.1,391208507193,305363064177.5,,316051577539.6,345469628305.4,334113681400.6,378860848626.7,420109056249.4,402264937541.8,473454920310.1,513109339588.2
Commercial & Professional Services,3199361450,2902632051,2607816397.5,,3130367704.5,2924947055.5,2997597154,3066370490,3249243733.7,3178158028.7,3677559593.8,3652025872.4
Consumer Durables & Apparel,45051863489.4,39404174390.7,27759467810.2,,31334420680.2,36640492049.9,37559497518.2,37951568442.6,48378598194.3,42398334435.5,49377002100,53206650431.4
Consumer Services,298198531059.4,287903481301.5,271642903374.9,,273900597297.7,280308810153.3,282522056565,90766847364,96930846291.4,90155032607.1,104781975912.9,119727113181.4
Diversified Financials,308254542071.4,272723428894.3,219231009301.7,,253984870173.9,267054002615.8,271785570124.6,275408814063.4,309567102226.4,289476548757.5,302053499837.7,318641860529.2
Energy,15490984048.8,13704518068.6,11794258921.6,,12533014180.6,15257911545,14164499140.5,275408814063.4,20253809800.6,18129340113,18751100582.1,21811234062.4
Food & Staples Retailing,85194279798.7,81735640493.5,76518260176.1,,78976111777.2,79473824589.4,78838279454.5,77175082387.8,82352775817.4,81162618007.8,81796458212.2,86637997364.4
"Food, Beverage & Tobacco",704001863261.2,684323683349.9,573423270582.9,,595053681983.7,606452069437.6,624819514137.6,636588743889.6,741217643400.1,698123256735.1,746215464539.5,820548382375.1
Health Care Equipment & Services,47439005561.1,45388603918.4,38196971022.4,,42692900189.5,43519027308.1,43797969259.9,45433276144.5,50014169412.3,55117009753.2,57384464557.5,74637836761.9
Household & Personal Products,5937866319.7,5538969955.6,4557071213.2,,4925283241.6,5170757927.2,5385548277.1,5784444641.2,6490184362.3,6060603662.5,6459500026.6,7523253727.6
Insurance,101433131107.9,102026075334.3,87111342842,,90027447824.6,100319048591.1,94142595050.6,95013104638.8,100485397363.4,95601163161.6,99430423597.3,106474252912.3
Materials,69562779843.4,62514643261.2,46475109315,,55882709219.9,64106841922.5,72072337578.6,79389438857.2,95979278958.8,111505252322.5,130055270826.4,144091091336.3
"Pharmaceuticals, Biotechnology & Life Sciences",5609415807,5609415807,5609415807,,5609415807,5609415807,5609415807,5609415807,,,,
Real Estate,57110945025,52859161643,49177381510.9,,51997331330.3,51286741181,53634248783.7,53571359963.7,58387302867,52795905149.2,54634188615,58026471332
Retailing,43534309266.7,40151433679.8,32334075042.6,,37095512379.4,37153662265.4,39317411246,39759581678.7,49138655509.5,47560446691.9,55462543033.2,61496394774.7
Telecommunication Services,156845460062.5,148978983179,108929036442.5,,133426515412,146628283498,142736880295.5,143727362455,150535816616,143505854334,155926278349.5,161818042902
Transportation,9721333000,7563245027,4044398027,,5217347027,6390296027,7563245027,10302402019,22627185988,35529624988,53124144487,56923832687
Utilities,19024088508.5,18178706639.2,14380744648.1,,16447240759.7,18226330093.4,19016423635.9,20137591707.9,23892996705.5,23506263671.9,25690948774.3,26480576928.5
