Sector Market Capitalisation - Monthly 2025,,,,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December,October,November,December
Automobiles & Components,6906360000,6448080000,6504360000,6464160000,6874200000,7187760000,8301300000,7879200000,7629960000,,,,7396800000,7332480000,7203840000
Banks,855819422651.75,828553985331.5,802069678094.95,756466860194.2,808373603104.1,872347868498.2,962425874235.95,1059315910382.85,1070504637840.25,,,,1099549205826.15,1110509398259.35,1088258687988.8
Capital Goods,1053014930287.2,988183476828.9,953578515443.05,980279182485.15,1033403883888.05,1112587136976.5,1208370992599.9,1206275484624.75,1237538198127.15,,,,1258501266156,1309100073365.25,1359157049873.45
Commercial & Professional Services,7376438374.6,7017999540,6930929530.8,7517411783.9,7137930855.5,7109641156.5,7628262497.45,7265361825.4,7411159768,,,,8636950193.9,8310740601.4,7909983668
Consumer Durables & Apparel,147605941251.4,134654523298.8,125014263016.9,117979982585.3,121861961910.2,118833030444.2,129203984779.1,150089916526.1,147178064968.6,,,,169903266628.4,161345821637.3,154240362657.9
Consumer Services,292715406410.8,265347079116.9,252016367070.8,258345981884.8,259661133707.6,269572248656.1,294233065486.4,324251149501,358901953744.5,,,,350488321620.7,337327652217.9,320271238681.1
Diversified Financials,976391190857.95,893765742273.65,838303518049.55,855702778161.9,937116165504.3,985630320522.65,1021858456441.15,1073323770366.6,1099291224269.05,,,,1170980350445.9,1171814379234.85,1150879453826.45
Energy,84394589508.05,79233378413.2,78225647003.2,79259978396,80776009917.8,79329176772.9,85327604457.4,84565238709.4,89478846371.4,,,,97332425215.75,95361462387.15,95681982111.2
Food & Staples Retailing,178260374927.9,183943065502.5,192046777035,197288851933.9,228653414888.05,261697354271.5,274265546201.3,328469596500.7,339870985747.7,,,,345543792743.55,340034533734,333670422844.2
"Food, Beverage & Tobacco",1433816739395.15,1365598726102.45,1332744583189.75,1374112136263.75,1474823832790.7,1532141536384.7,1597458148252.25,1721657728045.6,1849425550401.3,,,,1900608862207.2,1892712455567.85,1861248977054.9
Health Care Equipment & Services,70829020152.2,68559841748.7,67932744985.5,68698927592.6,71306576253.5,81548819697.35,86773437806,95066082094.85,97509402884.35,,,,106798525084.45,99187324558.55,97247117440.05
Household & Personal Products,8653021161.3,8070018783,8070018783,7732491090.3,7947281440.2,7763175426,8254124797.2,8254124797.2,8591652489.9,,,,9634919903.7,8438230811.4,8376862140
Insurance,200338572648.5,209030050371.8,183518274850.5,183128207771.2,190105977898.1,196515421635,217800397015.7,226076353197.35,227979475996.05,,,,252163189662.7,234868916138,234685839297.1
Materials,272275661901.15,264057414819.75,254625249570.5,263729812557.45,278879336929.9,299106994499.7,316932828216.95,333944806017.75,357005351938.45,,,,363961150036.2,361541554131.75,374955800276.85
Real Estate M & D,71623794967.1,69848420209.9,67292967056.7,65937025056.6,73685401369.1,83773920767.1,105103835848.8,124232546453.2,133605583722.2,,,,144648724160.95,139208235636,138148349548.8
Retailing,101494797617.9,95454992405.6,95604151341.9,106288511205.8,115065232520.8,125414461280.2,164022788747.5,172954208828.5,215911029852.6,,,,241749036291.9,231329903213.2,226357212967.2
Software & Services,3508633535.7,3280429728.5,3194853300.8,3337480680.3,3337480680.3,3308955204.4,3537159011.6,3451582583.9,3423057108,,,,3423057108,4991958282.5,4991958282.5
Telecommunication Services,246085382917.2,241014171417.8,240397848414.2,236951010914.8,276552109393.8,286364316385.4,288186779884.8,364483597343.4,366085916838,,,,390262138826,421451009827.2,423070932821.2
Transportation,26000199557.1,25180700046.9,25189037428.8,24862767486,26482924842,26993215356.9,29295292558.5,42221177522.25,50384841884.25,,,,52406247417,52246233025.5,51626177945.25
Utilities,76817797684,74869077401.3,73110404928.3,72666093824.1,78156501684.8,80722492352.8,86712268351.6,91667849974.9,110696402742.8,,,,148483737482.1,135672368362.8,130641412108
