Sector Trading Statistics Monthly 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",45798,271301697,9876499175,61,55,38279,209689736,8714000700,61,55,30422,159290909,6641706005,61,55,35182,130749181,5091969619,61,55,49688,233374284,14875736181,61,55,37559,241697048,6337332762,61,55,33165,174777710,8479581647,61,54,48095,210620709,10170886619,60,54,31926,114675553,5103102304,60,54,34043,153094152,6517449116,60,54,20626,100114587,3671313802,60,54,17047,103919096,4317424784,60,54
"Beverage, Food & Tobacco",6130,40781189,1679099807,21,21,4576,27479548,1165810905,21,20,3224,11970814,904186931,21,20,4241,19337750,1490770773,21,20,8294,20651529,1700909091,21,20,5723,18581697,1074180218,21,20,8168,29143006,1646209548,21,20,13907,29714081,2936933368,21,20,9235,16382760,1324436080,21,20,8476,54073372,2526006171,21,20,4230,13304641,1256746487,21,20,3200,6249630,1507444263,21,20
Construction & Engineering,11803,58682953,1879739893,4,4,4057,13497709,415076942,4,4,4971,24329637,580275710,4,4,5108,16690116,390191550,4,4,4311,14700249,378153717,4,4,4625,16135396,426309022,4,4,6404,20113611,616184480,4,4,7024,27505266,944169589,4,4,1931,6135727,178513884,4,4,2803,21482132,536720786,4,4,3558,28018431,699988684,4,4,3143,30454991,693309841,4,4
Chemicals & Pharmaceuticals,1103,8958619,138911428,10,10,1152,9906018,108630364,10,10,1002,6446850,34152891,10,10,1392,13205879,86444416,10,10,1334,9254065,139653914,10,10,1178,6726978,119935272,10,10,2382,11740044,443350904,10,10,2647,9160487,303088199,10,10,1421,13709491,60538745,10,10,2204,8784989,74429115,10,10,1580,21799163,85769867,10,10,2036,15372496,580768871,10,10
Diversified,15795,103224960,4891495967,19,19,22655,109346238,7408276639,19,19,17186,139344968,4595364835,19,19,16224,215333789,2614556004,19,19,16309,137054757,3073816088,19,19,14207,106486068,3812503795,19,19,23478,135467356,5701056053,19,19,22717,466514902,8271199089,19,19,23435,144478853,4245754768,19,19,13480,97005599,3911703929,19,19,10663,54829349,3080496107,19,18,6917,292243102,3750477669,19,18
Footwear & Textiles,1851,5477259,72744789,3,3,2035,7676245,115955086,3,3,1510,69807291,1613488433,3,3,3331,10223383,159470670,3,3,1569,3355647,62536661,3,3,1982,6920194,24070911,3,3,1916,7047022,95730147,3,3,1949,11112593,219871100,3,3,863,3852210,73899577,3,3,5448,16005094,354867101,3,3,1594,3456947,81102017,3,3,971,1964005,42601325,3,3
Hotels & Travels,7916,25193345,199331964,37,36,5697,25232731,146433637,37,36,5022,14739623,83825224,37,35,5656,29902630,206605463,37,35,9306,32347103,280618896,37,35,9936,104465800,607964558,37,35,8830,31915912,284999489,37,35,7532,53884296,678730030,37,35,5218,20255804,458448293,37,35,5122,20786957,374205338,37,35,4566,12663634,186633787,37,35,3850,16745362,240863366,37,35
Healthcare,1671,15306309,344246133,5,5,998,4380728,82233199,5,5,1238,4003995,66929575,5,5,1488,10722988,98223674,6,6,1168,4980489,109709096,6,6,1269,4850631,157149800,6,6,1302,40061296,867397264,6,6,3320,11972327,367961232,6,6,1796,17389403,172683471,6,6,2240,7762213,187001267,6,6,3906,24082695,689883301,6,6,1831,328014265,7907891784,6,6
Investment Trusts,6775,12688676,498862582,9,9,4602,5365457,312766802,9,9,2362,4743718,243399200,9,9,2932,3728567,203251379,9,9,3760,15897288,334960332,9,9,2387,8114423,358747677,9,9,2862,18413359,337161134,9,9,2919,24224201,422265281,9,9,1860,3162586,94447198,9,9,5319,11145165,254960132,9,9,1761,2796951,94284999,9,9,1338,1520694,39008794,9,9
Information Technology,548,7863277,6052755,2,2,496,5016306,6511372,2,2,728,16995215,4712353,2,2,565,5336304,17677428,2,2,797,6972148,21955055,2,2,380,9274103,4559878,2,2,441,6038907,3893228,2,2,694,5672484,5752130,2,2,456,4522308,9026038,2,2,364,4991396,2659632,2,2,233,5195008,4552828,2,2,235,4994881,1770237,2,2
Land & Property,4785,25891717,347473382,19,17,3153,39644646,322013025,19,18,2759,10263968,157200798,19,18,3182,6930622,114999869,19,18,5398,15072604,255399789,19,18,6786,18550756,331818076,19,18,4622,12204204,299292819,19,18,4745,9779865,218305780,19,18,2621,4679173,86962591,19,18,4212,19306965,419464925,19,18,1977,5106283,109012763,19,17,1745,4496857,77164472,19,17
Manufacturing,24837,270339219,2926952604,37,35,21041,159205790,2637076398,37,36,15348,114379195,1248399154,37,35,16393,71496910,1637878647,37,36,35076,145658586,3893012331,37,35,18413,75765637,1575292572,37,36,23980,168030490,4286527868,37,36,44063,218602576,5732227847,37,36,22762,73720298,3071386695,37,35,39397,115771676,3887291737,37,36,20598,74135961,2168343804,37,36,11288,25096243,752287833,37,35
