Sector Trading Statistics Monthly 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",24029,146361399,4006853855,61,55,17371,128288659,3070816498,62,55,24371,145336452,4909676585,62,55,26116,150114757,4467264885,62,55,27193,147726593,6250261030,62,55,23947,189679341,3955702864,62,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23546,212231503,2446811489,62,55,28916,177063626,5756091146,63,56,33735,264900434,5306503950,63,56,24222,102303832,3150866592,63,56,16085,107444987,2461891149,63,55,15640,188983930,15416826143,63,57
"Beverage, Food & Tobacco",6029,46543917,1215906959,21,20,4161,10361938,718023590,21,20,4580,13671510,1832046161,21,20,7842,24926115,1208509515,21,20,8006,23173607,2372680823,21,20,4259,8987807,851442604,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5344,19836688,657788125,21,20,8407,24702165,2413647480,21,20,5498,22743822,2814043615,21,20,3338,16446869,965202502,21,19,3594,10637838,650389248,21,19,2691,9661543,1057595014,21,19
Construction & Engineering,3203,8438487,197795062,4,4,1783,8110600,177576449,4,4,5246,25057215,537169038,4,4,7353,21763411,539295268,4,4,4293,13747386,362133678,4,4,2947,11654852,270163207,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,11263524,266935372,4,4,6150,25235795,652613834,4,4,5130,17994219,517978542,4,4,3775,17520960,299503509,4,4,2759,12519792,314468786,4,4,1370,6937644,171009260,4,4
Chemicals & Pharmaceuticals,1576,20377239,229471647,10,10,639,2947577,71898757,10,9,642,4196221,63336635,10,9,496,1320027,75323679,10,9,739,2675217,30328575,10,9,509,885332,43509138,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,2507314,78123319,10,9,925,2283493,69312067,10,9,683,3600094,57986173,10,9,590,1457773,72087659,10,9,475,1429129,32481495,10,9,438,964294,28485169,10,9
Diversified,11156,56950619,3068523924,19,18,8875,361369988,5345674626,19,18,8867,102494737,4256385027,18,18,10426,94385920,2944084469,18,18,11434,76571566,3212032953,18,18,9951,94493038,2084811076,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19904,161691811,2691524009,18,18,16639,153270920,3614132539,18,18,22615,164208740,2007783367,18,18,7178,102892585,2392035557,18,18,5655,58164589,2426169711,18,18,5681,66807640,4197282909,19,19
Footwear & Textiles,1782,4146146,82786594,3,3,821,1925790,36997722,3,3,877,2157402,40584598,3,3,1151,2619405,54142746,3,3,1741,6913409,143257502,3,3,1768,11110129,230491358,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,3193472,59334641,3,3,1273,2979262,64081756,3,3,728,2515881,50916370,3,3,1136,1733487,33148399,3,3,963,1239198,23921162,3,3,639,2485421,38254769,3,3
Hotels & Travels,4151,71725643,1492911719,37,35,3280,17412974,183375728,37,35,3564,30944032,220974862,37,35,5864,19461369,254023359,37,35,11875,48649136,337923181,37,35,6774,36330800,251247741,37,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010,15026624,141045804,37,35,8203,37178534,279057718,37,35,6770,113664459,871165568,37,35,8292,39656551,253932798,37,35,4091,13763384,94167288,37,35,2902,7630309,79563042,37,35
Healthcare,1561,3936035,82150005,6,6,1088,41915887,193516508,6,6,1161,317277608,1447955384,6,6,1953,63467843,1560499915,6,6,3284,21063176,523971551,6,6,2092,13788401,110348308,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066,2405126,38795833,6,6,1794,16582432,159880367,6,6,992,5413633,132185813,6,6,911,4187863,49583066,6,6,820,5975140,91662021,6,6,521,1517448,17839319,6,6
Investment Trusts,1952,9403564,184464269,9,9,1384,1630414,43528419,9,9,2113,5555399,88238151,9,9,3359,4761378,138121309,9,9,2652,3339183,113930778,9,9,1915,2105873,81047352,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637,2845249,83664465,9,9,1865,4105614,93134159,9,9,1469,4136726,73746287,9,9,1668,3965823,78049303,9,9,1087,1309067,39466020,9,9,811,985627,28867061,9,9
