Sector Trading Statistics Monthly 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",15707,129165710,8155542327,70,56,42162,314613110,11397594462,71,56,29664,461416288,20949984619,71,56,20559,163771486,5847351112,71,56,26238,173523884,5110877145,71,56,20408,81818452,4312626415,71,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19912,171846696,2965658495,71,55,20217,139219241,4232508097,71,55,21546,101797227,3412949217,71,55,20780,106605572,4211797665,71,55,21484,110621828,6114727054,71,55,24916,172631094,7605957622,71,55
"Beverage, Food & Tobacco",3038,8699656,1648063131,23,19,4186,15902086,1003421105,23,20,3693,9284963,1147969479,23,20,5979,11315451,574849163,23,21,3642,29602726,915592600,23,21,2601,44937725,1050826905,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2634,8134287,671994865,23,21,3054,15278766,1321527928,23,21,2670,13368652,1110665060,23,21,3258,15769468,734248727,23,21,3028,23111910,933737068,23,21,1739,6793392,608933424,23,21
Construction & Engineering,3477,11967681,123343086,4,4,5920,37697335,516165938,4,4,3208,12546723,213968495,4,4,2243,10180980,195031165,4,4,2726,8258566,121297791,4,4,2973,8244032,103676781,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728,7426864,84294272,4,4,3066,5254249,56629808,4,4,4682,8756266,108577151,4,4,5226,17274469,222801598,4,4,14453,42135335,646967501,4,4,4758,12775505,180458213,4,4
Chemicals & Pharmaceuticals,626,3886816,40085263,12,10,834,2237068,43876272,12,10,956,3603214,43800336,12,9,371,530321,18072295,12,8,575,976659,39362393,12,8,595,1879981,55033239,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,870751,20877704,12,8,392,416985,16727283,12,8,492,1106973,11381990,12,7,587,1240722,9775155,12,8,574,567282,8072000,12,8,546,1132784,6375010,12,8
Diversified,9805,77593704,5211793343,19,19,15389,145940914,4008771518,19,19,12468,163021956,5989647630,19,19,7427,87738820,3330062013,19,19,11508,165044282,6107747560,19,19,7282,82658438,4541915143,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10158,100922525,3214635196,19,19,8318,69219612,5066413493,19,19,7489,90408659,4713826210,19,19,9447,140704032,8964933969,19,19,9298,112466432,8731274488,19,19,5737,69491656,7016607857,19,19
Footwear & Textiles,421,1231946,17986048,3,2,631,1242053,18238456,3,2,718,1430171,24415950,3,2,648,1309799,18060533,3,2,614,742280,9836784,3,2,755,1700535,19685343,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,1081638,10512115,2,2,638,1977297,20606752,2,2,415,1050282,11733991,2,2,511,1008730,9453240,2,2,2087,253920141,6281598627,2,2,893,22647613,503003234,2,2
Hotels & Travels,3820,11802195,48506186,40,36,6013,29374211,211313188,40,36,8988,37610674,193180778,40,36,3757,11099701,78911473,40,36,5133,10152650,75226890,40,36,3589,14588747,80964852,40,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520,37574280,340604939,39,36,4264,26734997,285441159,39,36,3457,31526889,125132346,39,36,4507,20317792,84410720,39,36,4309,8394181,59915026,39,36,2565,6536785,40788970,39,36
Healthcare,691,2962430,31127493,7,6,684,2093450,25696708,7,6,997,4778628,177116988,7,6,514,956356,21952853,7,6,673,1809485,45880861,7,6,611,1901175,23101490,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,1391099,48449660,7,6,618,1436479,40054602,7,6,758,1617190,19668055,7,6,615,1044898,16659362,7,6,448,390356,4716526,7,6,404,354365,5139868,7,6
Investment Trusts,807,5280196,119144697,10,9,1858,4337902,75695300,10,9,1733,2337936,112990202,10,9,965,876336,22173309,10,9,989,1639379,32371910,10,9,1212,3448678,92997045,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585,4019499,66707308,10,9,1462,1811474,33170050,10,9,2838,10923436,253030965,10,9,1666,3704819,56838770,10,9,1165,1843231,31581267,10,9,760,846944,13399283,10,9
