Sector Trading Statistics Monthly 2019 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"Banks, Finance & Insurance",24047,62159199,4303644038,71,55,19126,58188047,3536161107,71,55,21888,82904387,4821698488,71,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16131,53130482,1959431205,71,54,18749,66965508,1831788601,68,53,15438,169225677,2487502200,68,54,45350,2782743374,14443907089,68,53,31498,88501923,4027153932,68,53,26844,80070754,3081317109,68,53,34397,162661514,4929027083,67,53,34428,161089895,5748032468,67,53,34809,176503132,3821293519,67,54
"Beverage, Food & Tobacco",3810,7539825,405334923,23,20,2240,4636781,778483491,23,20,2981,24153792,1123500814,23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184,7216550,301275471,23,21,4441,12541208,237020584,23,21,2677,9285465,995296207,23,21,6757,18493803,689474854,23,21,4140,8402591,384749609,23,21,4905,27509244,785100038,23,21,6624,23797182,1143875756,23,21,9046,50825080,1237720102,23,20,3555,8152056,546439075,23,20
Construction & Engineering,9524,17892902,210017736,4,4,4775,18421239,234361532,4,4,1961,6182711,62331553,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2598,15116447,157000391,4,3,2688,9677801,77601554,4,3,3061,46862972,606644095,4,3,10807,51746855,815365128,4,3,12334,51659245,875400885,4,3,5529,19289183,310859435,4,3,11806,41376725,790740960,4,3,16549,77141037,1659092352,4,3,5349,14601505,309442130,4,3
Chemicals & Pharmaceuticals,750,1257566,15224439,12,8,581,1456789,52503036,12,8,405,400107,4920868,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,161802,2995129,12,8,633,477871,8834316,12,8,647,2000987,67149929,12,8,1680,2628949,88160172,12,8,1394,1937959,60933343,12,8,767,3999187,63226899,12,8,1592,9366459,86077471,12,7,1896,8989827,86261416,12,7,1581,4285807,141980821,12,7
Diversified,4909,149452322,5138565054,19,17,4474,72322757,6610123908,19,17,4577,60758979,4271193342,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422,38874966,4017799285,19,16,6600,39628471,3503922622,19,16,6402,57604424,1303007099,18,16,17538,176548825,4610592632,18,16,15952,286095670,5844321228,18,16,18606,338104658,4055177548,18,16,13355,139133048,3113216224,18,16,14369,148271500,7876924555,18,15,10030,132626055,2849755788,18,15
Footwear & Textiles,1181,4564869,43639716,2,2,404,858379,8066706,2,2,430,1254860,20683960,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,874114,8806418,2,2,610,982491,8031153,2,2,582,2943853,25010714,2,2,4040,24013332,269208451,2,2,6416,33539866,457538911,2,2,2610,14049665,266026233,3,3,4792,22055526,461973370,3,3,7038,36091791,862235100,3,3,3562,18731569,542177667,3,3
Hotels & Travels,7816,19365376,975985632,39,36,3807,50658104,734347430,39,36,3488,13652146,186189637,39,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3719,9992440,51431198,38,36,3687,6921785,53553595,38,36,3179,4239118,29073007,38,36,8156,19398647,129738010,38,36,4314,19606971,142676389,38,36,4564,25278534,233177503,38,36,19820,83737637,511413389,38,36,15269,60002882,489570100,38,36,7187,19808108,182181718,38,36
Healthcare,608,9071301,196685422,7,6,449,38734177,846466116,7,6,567,693634,21331393,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,1522971,23147961,7,6,605,1142903,27327583,7,6,467,4779850,94211677,7,6,1151,13503119,425944553,7,6,645,1366591,24750557,7,6,831,1951321,73784468,7,6,1390,2383530,27685233,7,6,1129,2740687,73334206,7,6,915,1222692,21674375,7,6
Investment Trusts,1109,1841954,35906274,10,9,808,1103534,26922780,10,9,887,1467413,34949614,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,564603,8823608,10,9,1055,1081109,18639458,10,9,813,1533867,22812903,10,9,2522,5333877,76347813,10,9,3750,9202051,122156065,11,10,5083,31232975,150024112,11,10,3838,12607316,153801427,11,10,5017,12021900,218056669,11,10,2505,10911695,118713707,11,10
