Sector Trading Statistics Monthly 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector ,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Automobiles & Components,471,472119,26986997,1,1,366,200127,11546414,1,1,563,325556,18977883,1,1,181,59273,3492511,1,1,507,228877,12670226,1,1,441,156620,9250875,1,1,999,617819,41661683,1,1,2006,1129263,81503066,1,1,555,299890,20216214,1,1,485,124366,8059314,1,1,221,81362,5168442,1,1,213,442518,26737139,1,1
Banks,14119,155501660,1487286325,16,12,29692,162191166,4481926294,16,12,39078,167931259,6843875319,16,12,12601,29988188,1076853755,16,12,15036,43081969,2261303035,16,12,22153,153135489,6540080056,16,12,74503,282744329,14793156206,16,12,84565,356111368,17410398037,16,12,25725,59932242,3623985655,16,12,24223,249187229,2765002269,16,12,18890,59226035,3062318598,16,12,19960,56325227,2853858968,16,12
Capital Goods,47570,83210984,4473693047,31,26,43612,143624020,10599898893,31,26,68211,163145508,8513957825,31,27,26219,60219563,3519549533,31,26,28421,49607413,2591115159,31,27,34319,122767301,7874450902,31,27,73050,194692679,12817031916,31,27,59294,150912967,12575245758,31,26,33990,79682770,6233225741,31,26,25631,53243603,4920143438,31,26,21227,59164379,5705988331,31,26,19099,45790693,2052462906,31,27
Commercial & Professional Services,2768,5899958,87541699,7,5,3239,10773430,65222185,7,5,3743,13934494,120085569,7,5,1201,3496016,26333474,7,5,1825,3866000,27892021,7,5,2369,3366852,51273512,7,5,4862,17783412,111617049,7,5,2739,4218437,62187102,7,6,1406,2500527,54983691,7,6,1856,2351312,29208276,7,6,1600,1564238,12008896,7,6,910,555782,8301441,7,6
Consumer Durables & Apparel,14871,58604366,951968542,14,12,11546,51644959,1209427902,14,12,9904,18781610,362121892,14,12,8213,60053645,261431675,14,13,10684,113593102,390245346,14,13,11804,101384895,508709624,14,13,20300,186917810,4243603871,14,13,26645,131148209,3001114072,14,13,10847,42693442,1127392214,14,13,7438,26705317,571251698,14,13,6896,25895125,508062649,14,13,4993,33240546,323371801,14,13
Consumer Services,15428,53345820,629071058,37,35,11531,41448007,655125126,37,35,25666,84577809,1071197016,37,35,13376,105740212,657742007,37,35,8810,29828936,460697599,37,35,12515,40021340,491652396,37,35,33479,185703185,2022147986,37,35,36785,180516954,2663178812,37,35,22262,84404720,1449444142,37,35,13321,60025442,614251789,37,35,9798,28783765,472609697,37,35,7048,20846899,303157183,37,35
Diversified Financials,70632,489862246,5727521708,49,41,37527,253906059,1956586310,48,40,45093,432651621,3259597141,48,40,22685,138255570,974523645,48,40,22497,175692030,812762087,48,40,40702,305102143,3720945717,48,36,92701,622439330,9227915005,48,36,122154,563214739,13172635358,49,37,54606,208381816,4236236345,49,37,67982,219456855,4487633986,49,37,40203,207799592,3585230219,49,37,23492,217485417,4898294301,49,37
Energy,13704,16887757,3270022506,3,2,11281,14098815,2499052316,3,2,11642,11337991,1815718301,3,2,5019,5803111,704841577,3,2,9400,8876494,1234021433,3,2,6857,8036032,1005300748,3,2,17388,27798264,3181039849,3,2,11292,16819757,1759651747,3,2,5316,7989998,839936503,3,2,7059,7161259,729851810,3,2,4445,7066246,718488322,3,2,2528,3387383,347879502,3,2
Food & Staples Retailing,1133,12706083,42947399,4,3,1044,8147350,29593077,4,3,912,5323177,67113146,4,3,683,4550130,244200828,4,3,927,3238498,55858707,4,3,995,13870945,429313895,4,3,1996,20000007,732713306,4,3,1763,31043966,65979982,4,3,799,14218700,158931573,4,3,853,10546625,279225587,4,3,659,4970167,185455788,4,3,582,7531827,1220977443,4,3
"Food, Beverage & Tobacco",45120,276383749,3667025280,48,45,46043,205707577,3509169315,48,45,54432,344606324,7718331712,48,45,29439,109179901,1668059278,48,45,39289,153218118,2343333081,48,45,36069,208904047,2769869475,48,44,76004,644571984,13205248781,48,44,65967,291350627,8697926388,48,44,38687,229276279,4491050941,49,45,28498,100635687,1665112819,49,45,33955,153008145,4407174963,49,45,23803,130215403,2286777482,49,45
Health Care Equipment & Services,3478,5283731,113469434,9,8,3513,6882061,116883940,9,8,9448,16582313,368734181,9,8,4306,5704870,111262901,9,8,3490,4811988,87509986,9,8,5303,12507787,146438719,9,8,3369,6559491,71519869,9,7,3049,8826348,75619816,9,7,1548,3052255,59557081,9,7,5333,5790929,232560733,9,7,3023,3747431,130927345,9,7,1291,3026951,45321983,9,7
Household & Personal Products,154,642427,14764954,2,1,157,352809,7967084,2,2,145,700911,15280241,2,2,99,361710,7482062,2,1,176,1118337,22260509,2,2,237,929682,18120193,2,1,305,356617,7834950,2,2,343,1979323,40480199,2,2,194,1368087,27885255,2,2,124,1490761,29616134,2,2,87,896651,17984050,2,2,130,176837,4003839,2,2
Insurance,77491,513436564,10433483447,13,12,44623,211403640,4885204054,13,12,26082,443695661,4329270687,13,12,13878,38922389,543262206,13,12,11071,26969450,389679601,13,11,17637,80800514,888759043,13,12,30956,163847621,2419677699,13,12,23087,117260997,2162449380,13,12,11953,51949752,899088304,13,12,10569,34726996,539003328,13,12,6845,18316893,424442092,13,12,8642,120905957,1170352886,13,12
Materials,35747,222459021,3434022434,23,20,34080,150190641,2932352917,23,20,43099,157028028,3055712619,23,20,20276,71785304,1711786100,23,20,23568,89088191,1108408129,23,20,26192,107278628,2182055597,23,20,51021,226223759,5675498852,23,20,33608,119732347,3156536686,23,20,24665,84968156,2106890628,23,20,18297,48764987,1079612329,23,20,12928,37246239,655581556,23,20,11217,368671957,5169131853,23,20
Real Estate Management & Development,11420,33524827,293485626,19,17,7683,22762147,205818759,19,18,10377,30566082,341034074,19,18,5605,14720201,157753435,19,18,5596,15577752,202435709,19,18,5582,11452741,101381756,19,18,12488,43793646,457626778,19,18,7707,18369994,200431515,19,18,4995,11040302,120757885,19,18,3995,8894670,75976580,19,18,5880,18869966,184660850,19,18,3238,7788595,94059240,19,18
Retailing,5459,16096958,146989282,14,14,5755,16569124,177795737,14,14,7829,24360112,260349673,14,14,4524,14698656,197419213,14,14,4753,8154742,97450901,14,14,6313,12773773,168056383,14,14,15219,72204244,690689689,14,14,9235,27595611,354416545,14,14,3373,47390888,347164168,14,14,3462,51052554,360048584,14,14,2965,6229091,55529321,14,14,2246,5163032,42812337,14,14
Software & Services,669,2895978,48895916,1,1,1027,3461053,55871520,1,1,1170,1641299,26092867,1,1,948,684276,9846029,1,1,1238,1988384,26111989,1,1,1308,4679091,56703657,1,1,2833,7658697,100185709,1,1,2301,14374145,183892020,1,1,631,739803,9122915,1,1,762,1254807,15081578,1,1,573,1530983,18739843,1,1,440,522879,6180379,1,1
Telecommunication Services,3139,13702037,205610452,2,2,7240,39381257,1017871005,2,2,20065,70861350,2024904664,2,2,7769,75503057,1084288771,2,2,5023,35808227,461278809,2,2,9230,36911267,775609922,2,2,6664,63035352,951405387,2,2,5522,47234635,660897482,2,2,2258,5926309,115208853,2,2,8100,24882849,602475558,2,2,5394,30363668,1672514447,2,2,3184,11546121,198187502,2,2
Transportation,13313,10827322,1950638914,3,3,10673,14926766,2707977244,3,3,23375,11942614,1756064808,3,3,18409,13557847,2199632976,3,3,10758,8388876,1236173730,3,3,7675,10363480,1334546329,3,3,15161,14869424,2052824640,3,3,8690,11271408,1491692787,3,3,3522,2997796,369536278,3,3,4664,3909336,476184607,3,3,3543,11693233,1495419161,3,3,6364,8581332,1194849086,3,3
Utilities,4797,14446287,132987039,10,8,3613,40721046,258292895,10,8,3256,120697184,751112435,10,8,2637,19639623,266490537,10,8,2830,13554003,174641236,10,8,2875,29232514,201345494,10,8,5610,43649742,295334851,10,8,8507,67842387,1055412974,10,8,3760,31647205,488437702,10,8,2996,10857946,110807559,10,8,2658,39196360,412996613,10,8,2522,24464183,373292564,10,8
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
