Sector Trading Statistics - 2000,,,,,
SECTOR,TRADES,SHARE,TURNOVER,LISTED,TRADED
,(No.),VOLUME (No.),(Rs.),,
"BANKS, FINANCE & INSURANCE",44307,125466857,4400973540,28,28
"BEVERAGE, FOOD & TOBACCO",9392,36086771,371444932,19,20
CONSTRUCTION & ENGINEERING,2025,9376991,120145232,4,4
CHEMICALS & PHARMACEUTICALS,2202,2724193,73223695,11,11
FOOTWEAR & TEXTILES,1310,4718891,8457553,8,5
HOTELS & TRAVELS,9276,92749820,597887231,41,39
INVESTMENT TRUSTS,378,270450,5801686,5,5
LAND & PROPERTY,2700,7583207,62156696,18,19
MANUFACTURING,23423,82127577,790766630,38,36
MOTORS,1185,1043608,31331796,8,7
OIL PALMS,7,660,192500,5,3
STORES & SUPPLIES,258,396283,22022639,6,6
SERVICES,578,331907,11692647,9,5
TRADING,2155,3372699,46828390,14,11
PLANTATIONS,44982,36373784,522668630,18,17
DIVERSIFIED HOLDINGS,15683,45345678,3530440531,7,10
POWER & ENERGY,0,0,0,0,0
HEALTH CARE,403,618571,19885524,0,1
INFORMATION TECHNOLOGY,0,0,0,0,0
TELECOMMUNICATION,13,0,0,0,1
,160277,448587947,10615919852,,
