Sector Trading Statistics 2007,,,,,
Sector,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
"BANKS, FINANCE & INSURANCE",152899,449750111,23613771912,32,32
"BEVERAGE, FOOD & TOBACCO",57559,108219319,6254802670,18,18
CONSTRUCTION & ENGINEERING,17070,30187774,1112516026,3,3
CHEMICALS & PHARMACEUTICALS,47333,58939054,2776805090,9,9
FOOTWEAR & TEXTILES,31216,38602543,1844724721,4,4
HOTELS & TRAVELS,65696,124113340,2092484435,33,33
INVESTMENT TRUSTS,18975,12865883,966537647,5,5
LAND & PROPERTY,102988,152339719,4435576451,21,19
MANUFACTURING,112293,431880565,7266596036,31,32
MOTORS,7781,7908794,971910484,7,7
OIL PALMS,4658,724065,632649269,5,5
STORES & SUPPLIES,2422,15939591,705315123,6,6
SERVICES,2385,1093782,75642518,7,6
TRADING,44639,171160643,2032861170,11,11
PLANTATIONS,53301,81158245,1979481472,18,18
DIVERSIFIED HOLDINGS,47995,171117607,22759086185,11,11
POWER & ENERGY,22572,108745648,1562129886,4,3
HEALTH CARE,32428,196231382,3292432580,6,6
INFORMATION TECHNOLOGY,8271,12622709,297315455,1,1
TELECOMMUNICATION,44447,713710699,20108714943,2,2
