Sector Trading Statistics 2008,,,,,
Sector,Trades (No.),Share Volume (No.),Turnover (Rs.),Listed,Traded
"BANKS, FINANCE & INSURANCE",99054,329984360,10088325002,33,33
"BEVERAGE, FOOD & TOBACCO",50684,108559581,5650069991,18,18
CONSTRUCTION & ENGINEERING,10898,14107188,685046958,3,3
CHEMICALS & PHARMACEUTICALS,35451,54373899,1723166263,9,9
FOOTWEAR & TEXTILES,9881,7454780,402439879,4,4
HOTELS  & TRAVELS,66004,135528534,4021231217,32,33
INVESTMENT TRUSTS,11876,10789596,556096232,7,7
LAND & PROPERTY,73655,120880736,2042709032,20,18
MANUFACTURING,121645,409901016,6415681656,32,32
MOTORS,14333,65731053,10721487505,7,7
OIL PALMS,4728,840127,568363189,5,5
STORES & SUPPLIES,2594,24623787,266489776,5,6
SERVICES,1225,745586,81478243,7,6
TRADING,51105,97309939,1549252672,10,10
PLANTATIONS,85083,103669040,3414760940,18,18
DIVERSIFIED HOLDINGS,52735,161959613,12375226536,11,11
POWER & ENERGY,30026,275117552,1954095830,4,3
HEALTH CARE,18056,134814377,887918941,6,6
INFORMATION TECHNOLOGY,6514,8214365,114195862,1,1
TELECOMMUNICATION,30697,1090336294,46755587589,2,2
