Sector Trading Statistics - 2015,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
BANKS FINANCE & INSURANCE,420952,2102278780,89782745132,60,54
"BEVERAGE, FOOD & TOBACCO",79404,287670017,19212733642,21,21
CONSTRUCTION & ENGINEERING,59738,277746218,7738634098,4,4
CHEMICALS & PHARMACEUTICALS,19431,135065079,2175673984,10,10
FOOTWEAR & TEXTILES,203066,2001329941,55356700943,19,19
HOTELS & TRAVELS,25019,146897890,2916337815,3,3
INVESTMENT TRUSTS,78651,388133197,3748660044,37,36
LAND & PROPERTY,22227,473527339,11051309797,6,6
MANUFACTURING,38877,111801085,3194115507,9,9
MOTORS,5937,82872337,89122934,2,2
OIL PALMS,45985,171927660,2739108290,19,18
STORES & SUPPLIES,293196,1512202581,33816677488,37,36
SERVICES,10503,10356248,1233723243,6,6
TRADING,2292,141443,110923255,5,5
PLANTATIONS,91581,875636618,11158556135,8,8
DIVERSIFIED HOLDINGS,30254,62521678,980302691,19,18
POWER & ENERGY,8182,835582,184896883,4,4
HEALTH CARE,11749,104194184,482307045,8,8
INFORMATION TECHNOLOGY,16629,473238127,5407831029,2,2
TELECOMMUNICATION,42239,195259162,1856392769,8,8
