Sector Trading Statistics - 2016 ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
BANK FINANCE INS,285171,1960435513,61199566183,63,59
BEV FOOD TOBACCO,63749,231693819,16757275636,21,20
CONSTRUCTION ENG,46614,180243885,4306642005,4,4
CHEMICALS PHARMS,8310,44643710,852344310,10,10
DIVERSIFIED,138381,1493302153,38240440165,19,19
FOOTWEAR TEXTILE,13781,43019002,857917617,3,3
HOTELS TRAVELS,70776,451443815,4459388808,37,35
HEALTH CARE,17243,497530592,4408388089,6,6
INVESTMENT TRUST,22912,44143917,1046257571,9,9
IT,6381,57809885,127912262,2,2
LAND PROPERTY,27156,110750586,2336561675,18,17
MANUFACTURING,241762,1011280355,29396013583,37,36
MOTORS,7530,3298070,683917686,6,6
OIL PALMS,2655,431785,147039754,5,5
POWER & ENERGY,45548,363457506,4043568438,8,8
PLANTATIONS,17286,40827408,702275195,19,17
STORES SUPPLIES,2585,314125,106414086,4,4
SERVICES,7116,33324312,169172874,8,8
TELECOM,9659,416960757,4603726231,2,2
TRADING,22234,210894250,2490625565,8,8
