Sector Trading Statistics - 2024 (January to December) ,,,,,
SECTOR,TRADES(No),SHARES(No),TURNOVER(Rs),LISTED,TRADED
Automobiles & Components,7796,8140963,617301213,1,1
Banks,454234,1961112163,143040115836,17,13
Capital Goods,538029,2529227183,122835141298,31,29
Commercial & Professional Services,20964,32655351,359957240,7,7
Consumer Durables & Apparel,123047,1331797669,19819999495,12,12
Consumer Services,286213,2448332655,19294676123,37,35
Diversified Financials,556763,5257555718,62466105138,44,37
Energy,44351,79370104,8916203632,3,2
Food & Staples Retailing,9546,111345014,647069720,4,3
"Food, Beverage & Tobacco",584077,3915132955,67631205264,49,46
Health Care Equipment & Services,32473,156221895,1215797013,9,8
Household & Personal Products,2712,17510907,615015166,2,2
Insurance,159008,793082927,13435662663,13,12
Materials,337089,1920505626,40101175228,23,20
Real Estate Management & Development,71647,539059592,7686660640,19,18
Retailing,91864,487864970,7203898384,14,14
Software & Services,16454,48796102,571814849,1,1
Telecommunication Services,67124,640814425,7631813972,2,2
Transportation,31722,74510915,5316549214,3,4
Utilities,88954,896656934,8229208904,10,8
