Sector Ratios - 2006,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"BANKS, FINANCE & INSURANCE",2.1,11.5,1.3,2.1,12,1.4,2.1,12,1.4,2,12.2,1.4,2.3,9.3,0.6,2.3,8.3,0.6,2.3,8.5,0.6,2.2,8.7,0.6,2.1,9.3,0.7,1.9,10,0.7,1.8,10,0.7,2.4,8.5,1.4
"BEVERAGE, FOOD & TOBACCO",4.9,10.1,1.9,4.6,10.7,2,4.6,10.7,2,4.5,11,2.1,4.9,10.3,2,4.5,10.2,2,4.3,10.8,2.2,4.3,10.8,2.2,3.9,11.9,2.4,3.6,12.9,2.6,2.9,11.5,2.9,3.1,10.5,2.8
CHEMICALS & PHARMACEUTICALS,3.8,4.7,0.7,2.9,6,0.9,2.9,6,0.9,2.6,6.6,1,2.6,6.4,1,3.4,5,0.8,3.4,5,0.8,3.4,4.9,0.7,3.1,5.5,0.8,3.1,5.5,0.8,2.2,6.2,1,2.4,7.5,0.9
CONSTRUCTION & ENGINEERING,6.3,8.3,0.8,6.1,8.5,0.9,6.1,8.5,0.9,5.9,9.1,0.9,8.3,21.3,0.9,8.7,20.2,0.8,7.8,22.3,0.9,7.1,24,1,6.7,25.7,1.1,6.6,26.1,1.1,5,33.5,1.4,5.2,26.5,1.3
DIVERSIFIED HOLDINGS,1.3,17.4,1.9,1.2,19,2.1,1.2,19,2.1,1.2,19,2,1.3,17.6,1.9,1.9,14,1.5,1.9,14,1.5,1.9,14,1.5,1.8,14.9,1.6,1.7,15.9,1.7,1.5,18.6,2,1.4,18.6,2
FOOTWEAR & TEXTILES,4.3,10.6,1.9,3.9,11.7,2.1,3.9,11.7,2.1,4.2,11.4,2.1,4.1,11.3,2,4.5,10.5,1.9,4.5,10.7,1.9,4.3,11.3,2,4.1,11.9,2.1,4.3,11.4,2,4.6,10.6,2.1,4.8,10.6,2.1
HEALTH CARE,2.5,17,2,2.4,17,2,2.4,17,2,2.4,16.9,2,2.6,15.4,1.8,2.4,15.6,2,2,19.8,2.5,2,19.7,2.5,1.9,20.3,2.6,1.8,20.8,2.7,2.6,25,2.4,2.5,29.5,2.2
HOTELS & TRAVELS,3.4,25,1.6,3.2,25.4,1.6,3.2,25.4,1.6,3,26.2,1.7,3.4,24.9,1.5,3.7,16.8,1.3,3.6,17.7,1.3,3.6,17.6,1.3,3.1,19.9,1.5,3.2,19.4,1.5,3,21.5,1.4,3.1,22.8,1.3
