Sector Ratios - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April ,,,May,,,June ,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"BANKS, FINANCE & INSURANCE",2.2,9.4,1.5,2.2,9.3,1.5,2,8.9,1.7,8.6,1.7,1.9,7.6,1.3,2.3,8.1,1.4,2.1,8,1.3,2.2,8.3,1.4,2.1,8.2,1.4,2.2,2,8.6,1.5,2,8.6,1.4,2,8.8,1.5
"BEVERAGE, FOOD & TOBACCO",2.9,11.4,3,2.8,11.5,3,4.8,9.6,2.7,10,2.8,4.6,8.9,2.5,5.2,9.1,2.6,5,8.8,2.5,5.3,9.2,2.6,5,9.9,2.8,4.7,4.8,9,2.2,4.9,8.7,2.2,4.8,8.9,2.2
CHEMICALS & PHARMACEUTICALS,2.2,8.4,1,2.3,8,1,2.5,7.2,0.9,6.6,0.8,2.7,5.6,0.7,3.2,5.9,0.7,3.1,5.6,0.7,3.2,5.7,0.7,3.2,6.1,0.7,3,2.8,6.6,0.8,3.3,5.4,0.7,3.3,5.4,0.7
CONSTRUCTION & ENGINEERING,4.3,31.9,1.6,4.4,31.4,1.6,1.8,4.7,1.2,4.8,1.2,1.9,4.2,1.1,2.1,4.6,1.2,2,4.5,1.2,2,4.8,1.2,1.9,4.9,1.3,1.8,1.8,5.2,1.3,1.6,6.3,1.6,1.6,6.3,1.6
DIVERSIFIED HOLDINGS,1.2,21.8,2.4,1.3,20.6,2.2,1.4,20,2.2,19.6,2.2,1.4,17.3,1.9,1.6,18.1,2,1.6,16.7,1.9,1.7,17.3,1.9,1.7,17,1.9,1.7,1.7,17.3,1.9,1.7,17.4,1.9,1.6,15.7,1.8
FOOTWEAR & TEXTILES,4.6,11.1,2.2,4.7,11.1,2.2,5.1,10.5,2.1,10,2,5.4,8.1,1.6,6.4,8.9,1.8,5.9,8.9,1.8,5.8,10,2,5,10.2,2,4.7,4.2,5.6,1.5,4.2,5.7,1.5,4.1,5.7,1.5
HEALTH CARE,2.3,32.1,2.4,2,35.9,2.7,2.3,32.1,2.4,31.8,2.4,2.2,27.1,2.1,2.6,28.2,2.1,2.6,28.6,2.2,2.5,36.5,2.8,1.9,35.8,2.7,1.9,1.7,38.8,3,1.9,35.8,2.6,1.9,36.7,2.7
HOTELS & TRAVELS,3.1,23,1.3,3.1,22.6,1.3,3.4,20.8,1.2,20.5,1.2,3.4,18.1,1,3.8,20.4,1.2,3.3,19.1,1.1,3.6,20.6,1.2,3.5,22.8,1.3,3,3.3,21.7,1.2,3.4,21.9,1.2,3.2,23.2,1.2
