Sector Ratios - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"BANKS, FINANCE & INSURANCE",3.3,9.3679,1.5153,3.5,8.8859,1.4389,3.3,9.0441,1.4339,3.2,9.481,1.5031,3.1,9.5642,1.5163,4.3,9.8846,1.4794,4,10.8109,1.514,3.8,11.3495,1.5894,3.6,12.0955,1.6939,3.4,13.3518,1.7553,2.7,12.9519,1.6912,2.6,13.4938,1.762
"BEVERAGE, FOOD & TOBACCO",2.7,25.5178,5.7276,3,22.2094,4.9321,3,21.9405,4.8461,2.9,22.7151,5.0171,3,22.1234,4.8864,3,22.571,4.9816,2.8,23.7046,5.4123,2.7,24.6312,5.6239,2.7,24.2106,5.5278,2.8,22.0293,5.126,2.8,22.6179,4.9733,2.8,22.6206,4.9739
CHEMICALS & PHARMACEUTICALS,3.3,9.7085,1.2679,3.6,8.9039,1.1628,3.6,8.9402,1.176,3.4,9.4975,1.2493,3.4,9.3192,1.2258,3.4,9.9411,1.2609,2.8,12.1886,1.3804,2.8,12.3266,1.396,2.6,13.3947,1.517,2.6,35.8896,1.4591,1.4,34.7826,1.4141,1.4,34.7872,1.4143
CONSTRUCTION & ENGINEERING,2.9,11.2723,1.5633,3,10.6842,1.4817,3.1,10.6083,1.4712,2.9,11.2292,1.5573,2.9,11.108,1.5405,2,16.537,1.5952,2,17.1118,1.6507,1.9,18.3465,1.7698,1.8,19.6254,1.8931,1.7,17.983,1.8306,1.3,17.4957,2.0241,1.4,16.8836,1.9533
DIVERSIFIED HOLDINGS,1.3,24.2022,2.0137,1.3,21.3994,1.8879,1.3,21.5478,1.9191,1.3,22.6183,2.0144,1.3,22.6612,2.0182,1.3,22.4514,1.9995,1.2,24.2702,2.1615,1.2,25.0303,2.2292,1.1,26.2349,2.3365,1.5,22.4062,2.0308,1.6,22.4552,1.9155,1.6,23.0095,1.9628
FOOTWEAR & TEXTILES,0,,0.9692,0,,0.9047,0,,0.8569,0,,0.9332,0,,0.9251,0,,0.9912,0,,1.048,0,,1.1626,0,200.8521,1.4369,0.9,137.1158,1.4696,0.5,123.346,1.322,0.5,122.1329,1.309
HEALTH CARE,0.9,32.4638,2.9908,0.9,33.3228,2.8549,2.8,16.0034,2.7129,2.8,16.2035,2.7468,2.9,15.5091,2.6291,3,15.068,2.5543,3.7,14.1717,2.5658,3.6,14.6786,2.6576,3.1,16.6033,3.0061,3.2,17.8015,2.98,3.8,20.3552,2.8207,3.8,20.5046,2.8414
HOTELS & TRAVELS,3.1,47.106,2.8836,3.3,46.3544,2.8115,3.3,46.455,2.8078,3,47.7997,2.8891,2.9,49.4364,2.988,2.9,50.5603,2.9768,2.8,52.29,3.0827,2.7,52.7895,3.1122,2.7,56.3495,3.3484,2.9,52.8565,3.0226,0.8,48.7139,3.5955,0.8,49.0113,3.6175
