Sector Ratios - 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"BANKS, FINANCE & INSURANCE",3.3,10.0555,1.31,3.3,9.8219,1.2796,3.1,9.2987,1.2358,2.8,10.0699,1.3383,3.1,8.218,1.2465,3.9,7.4581,1.1936,3.9,7.7721,1.2326,3.8,7.9304,1.2566,3.7,8.0268,1.2638,3.8,7.8541,1.2296,4,7.5326,1.1793,3.3,7.0417,1.15
"BEVERAGE, FOOD & TOBACCO",2.8,19.9583,4.7114,2.8,19.8919,4.6957,3,18.1324,4.6449,2.9,19.202,4.9188,2.5,17.8823,3.9509,2.7,17.1771,3.8433,2.9,16.4053,3.7596,2.9,16.5296,3.7586,3,16.0282,3.6439,3.1,15.8003,3.5927,3,16.3461,3.7168,3,14.3983,3.4515
CHEMICALS & PHARMACEUTICALS,3,15.8666,1.4018,2.9,16.3107,1.441,3,16.2689,1.4141,2.9,16.8412,1.4639,3.8,11.5855,0.9344,3.7,10.6905,0.9466,3.7,10.1414,0.9138,4,10.9344,0.9243,4,11.02,0.9315,4.1,10.7415,0.908,4.4,10.0271,0.8476,3.8,10.3522,0.742
CONSTRUCTION & ENGINEERING,2.6,20.0429,1.2398,2.9,18.2743,1.1304,3,17.399,1.0763,2.7,19.4542,1.2034,2,29.4348,1.064,1.4,34.4932,1.0177,1.4,35.9476,1.0606,2.5,44.9069,1.1404,2.4,46.01,1.1684,2.6,43.2621,1.0986,2.7,40.241,1.0219,2.7,36.5772,1.0296
DIVERSIFIED HOLDINGS,1.8,17.323,1.5594,1.8,17.0962,1.5389,2,15.7194,1.4422,1.8,16.8621,1.547,3.1,14.0816,1.1396,3.3,14.2223,1.0831,2.9,15.5895,1.1261,2.8,16.0824,1.1617,2.8,16.1381,1.169,2.9,15.7044,1.145,3,15.0693,1.0987,2.6,17.3557,1.2491
FOOTWEAR & TEXTILES,0.3,,1.2185,0.3,,1.1472,0.3,         N/A,1.1906,0.3,,1.2747,0.3,35.6669,0.6602,0.7,23.9918,0.6438,0.7,24.4769,0.6568,0.7,25.4636,1.0753,0.7,25.6842,1.0846,0.7,25.0316,1.057,0.8,24.394,1.0301,0,22.7706,0.9601
HEALTH CARE,2,28.7244,2.6482,2,29.1268,2.6852,2,28.9559,2.6695,1.7,33.9932,3.1339,2.1,18.2029,3.0129,2.2,16.8714,2.8703,1.2,13.7641,2.9237,1.1,14.9073,3.1665,1.2,14.6288,3.1073,1.2,14.3328,3.0445,1.3,13.1282,2.7886,1.1,12.8295,2.7558
HOTELS & TRAVELS,0.6,129.1106,4.4279,0.6,126.2885,4.3311,0.6,124.8083,4.2804,0.6,130.6517,4.4808,1.3,57.8077,2.1596,1.4,47.3152,2.0979,1.4,45.4991,2.1067,1.4,56.4363,2.112,1.4,56.1991,2.1031,1.5,65.7773,2.0889,1.6,64.2779,2.0413,1.1,62.3749,1.9906
