Sector Ratios - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"BANKS, FINANCE & INSURANCE",2.5,6.7189,1.0403,2.5,6.8922,1.0692,2.5,6.8704,1.0736,2.5,6.1164,1.0216,2.6,6.0252,1.0126,2.7,5.7202,0.9612,,,,,,,,,,,,,,,,,,,3.2,5.2019,0.9318,2.9,5.2516,0.9063,3,5.0794,0.8775,3,5.1324,0.8861,2.9,5.2044,0.897,2.8,5.3841,0.9216
"BEVERAGE, FOOD & TOBACCO",3.6,18.6337,5.9343,3.3,20.201,6.3897,3.1,20.6183,6.204,3.7,20.2745,6.154,3.6,20.6117,6.2563,3.6,20.7438,6.3148,,,,,,,,,,,,,,,,,,,3.8,19.6299,6.0594,3.5,18.7349,6.3005,3.6,18.3379,6.0856,3.6,18.3121,6.0304,3.6,17.8603,6.0178,3.6,17.7311,5.9961
CHEMICALS & PHARMACEUTICALS,3.2,11.3588,0.7214,3.2,11.2197,0.7125,2.6,10.666,0.7183,2.6,10.3178,0.7349,2.7,11.2278,0.7137,2.8,10.8636,0.6906,,,,,,,,,,,,,,,,,,,3.1,8.3842,0.6631,3.8,5.5247,0.7898,4,5.2554,0.7529,3.2,5.3008,0.6378,3,5.3641,0.6395,3,5.6886,0.6494
CONSTRUCTION & ENGINEERING,3.5,35.6776,0.9327,3.7,51.1719,0.8858,3.9,49.0219,0.8486,4,98.5052,0.8385,4.4,88.9344,0.757,5.1,76.7153,0.653,,,,,,,,,,,,,,,,,,,5.5,,0.6768,6.1,19.2694,0.5742,6.7,17.4619,0.5203,5.9,19.7881,0.5896,5.7,20.4261,0.6087,6.9,22.089,0.5568
DIVERSIFIED HOLDINGS,3,11.2264,1.0739,2.9,11.728,1.1011,2.9,11.6003,1.0902,2.9,11.7589,1.0992,3,11.7147,1.0412,3.1,11.2787,1.0024,,,,,,,,,,,,,,,,,,,3.1,10.3574,0.9205,3.1,9.668,0.8939,3.2,9.2905,0.859,3.1,9.8727,0.9012,2.9,10.3577,0.9373,2.8,10.6627,0.9292
FOOTWEAR & TEXTILES,1,43.7425,0.8155,1,40.3295,0.8261,0.9,42.8358,0.8774,1,40.978,0.7845,1.1,37.9005,0.7256,1.3,21.7975,0.8309,,,,,,,,,,,,,,,,,,,0.0,98.2269,0.863,0.0,101.3453,0.8904,0.0,94.6895,0.8319,0,100.3931,0.882,0,70.5697,0.9081,0,68.7028,0.8841
HEALTH CARE,2.5,16.2682,2.1288,2.6,15.7738,2.0641,2.4,14.3982,2.1154,2.6,13.6333,1.9795,2.2,15.1226,2.0012,2.2,14.9408,1.9772,,,,,,,,,,,,,,,,,,,2.7,16.4281,1.9557,3.6,15.8093,1.9196,3.8,15.0472,1.7801,3.7,15.1891,1.8225,3.6,15.4734,1.8068,3.5,15.9664,1.8644
HOTELS & TRAVELS,1.3,53.6379,1.7792,1.3,57.2331,1.7822,1.3,72.1416,1.7856,1.3,77.2898,1.7841,1.3,84.9456,1.7468,1.3,84.2492,1.7325,,,,,,,,,,,,,,,,,,,1.4,73.7886,1.6678,1,58.2661,1.6408,1,57.7512,1.6272,1,58.5,1.642,1,61.9521,1.648,1,64.4858,1.6535
INVESTMENT TRUSTS,2.6,7.7267,0.4995,2.6,8.3985,0.5091,2.7,7.5345,0.4824,2.6,7.6652,0.4947,2.8,7.195,0.4643,3.1,6.5505,0.4227,,,,,,,,,,,,,,,,,,,4.5,7.8495,0.4172,4.6,7.9389,0.4096,4.5,8.0568,0.4162,4.3,10.5826,0.4433,2.7,20.0135,0.4236,2.7,32.0859,0.428
INFORMATION TECHNOLOGY,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,0,,,0,,
LAND & PROPERTY,6.4,8.9661,0.6627,6.2,9.3813,0.6936,5.8,9.7567,0.7147,3.9,5.4594,0.6779,4,5.3852,0.6688,4.2,5.1137,0.6351,,,,,,,,,,,,,,,,,,,4.4,5.1873,0.6382,4.6,5.3425,0.6314,4.7,5.1738,0.6119,4.6,5.3242,0.6289,4.6,5.3787,0.6291,4.5,5.4172,0.6027
MANUFACTURING,6.7,7.7937,1.1818,6.3,7.5465,1.1292,6.5,7.4145,1.1355,6.4,7.5162,1.0982,6.9,7.0022,1.021,7.4,6.4954,0.937,,,,,,,,,,,,,,,,,,,7.4,7.4938,0.9666,7.9,7.3056,0.9046,8.6,6.7401,0.8306,8.3,6.9357,0.8635,8.2,7.0275,0.8649,6.8,7.6513,0.857
MOTORS,3.9,11.5667,0.6269,4.2,11.2175,0.6273,4.2,11.6879,0.6217,4.1,12.0026,0.6384,4.1,11.9023,0.6331,4.2,11.6374,0.619,,,,,,,,,,,,,,,,,,,4.7,10.232,0.5786,5.3,9.387,0.5597,5.5,9.617,0.5491,5.5,11.4558,0.5501,5.5,11.319,0.5435,6.1,12.2887,0.5511
OIL PALMS,3.4,4.4331,1.0217,3.3,4.4883,1.0344,2.7,6.9892,0.9708,1.6,20.3335,1.005,1.6,,0.9993,1.7,,0.9592,,,,,,,,,,,,,,,,,,,1.1,,0.9599,0.3,35.2542,0.9672,0.3,28.179,0.9382,0.3,28.5282,0.9498,0.3,29.0322,0.9723,0.3,28.4099,0.9565
PLANTATIONS,2.6,3.0942,0.8186,2.4,3.2175,0.8541,2.6,2.9665,0.793,2,6.017,0.8264,2.2,5.537,0.754,2.4,5.071,0.6905,,,,,,,,,,,,,,,,,,,4.1,5.5452,0.7286,4.6,5.9686,0.7175,4.7,5.9012,0.6994,4.7,5.9372,0.7036,4.8,6.1175,0.6879,4.6,6.648,0.699
POWER & ENERGY,2.9,,1.3151,2.8,,1.3382,2.7,,1.3645,2.7,,1.321,2.8,,1.2938,3,,1.216,,,,,,,,,,,,,,,,,,,3.2,,1.2061,3.8,,1.394,3.9,,1.3437,3.9,,1.34,3.1,,1.3349,3.2,79.6348,1.2854
SERVICES,2.8,,1.4205,2.6,,1.4904,2.7,,1.4365,2.8,,1.4484,2.8,,1.4394,2.9,,1.388,,,,,,,,,,,,,,,,,,,4.7,58.4371,1.3065,5.2,17.1713,1.2166,5.2,17.256,1.2226,5.1,17.5672,1.2577,5.2,11.1451,1.2307,4.7,11.2893,1.2246
STORES & SUPPLIES,2.2,149.6543,0.7146,2.2,142.2883,0.705,2,,0.7048,2,,0.7102,2,,0.7015,2,,0.6878,,,,,,,,,,,,,,,,,,,0.3,13.2296,0.512,0.6,11.1936,0.4983,0.5,11.4255,0.5086,0.6,11.112,0.4947,0.5,14.634,0.5381,0.5,13.0861,0.5162
TELECOMMUNICATION,3,13.2195,1.2532,3,13.1305,1.2448,3,13.1827,1.2497,2.9,11.2851,1.2496,2.9,11.1446,1.234,3,10.8929,1.2061,,,,,,,,,,,,,,,,,,,3.3,9.9783,1.1625,3.9,8.7402,0.9915,4,8.5051,0.9649,4.1,8.3728,0.9499,4.1,8.3552,0.9479,4.3,7.9065,0.897
TRADING,5.1,6.8379,0.7567,5.3,7.393,0.7333,5.2,7.3779,0.7399,5.2,7.4662,0.7469,5.7,6.8586,0.6861,6.2,6.2191,0.6221,,,,,,,,,,,,,,,,,,,4.6,8.5818,0.847,3.5,15.421,0.8538,3.8,28.168,0.7958,3.6,29.8126,0.8607,3.6,29.2101,0.85,3.5,31.862,0.8738
** BASED ON DIVIDEND PAYING COMPANIES OF THE SECTOR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
